sample,clean_reads,clean_gbases,primary_reads,primary_mapped_reads,mapping_rate_pct,properly_paired_pct,coverage_before_X,coverage_after_X
557,242695082,32.97,242695082,14385154,5.93,5.48,65.11,3.86
558,256049586,34.79,256049586,17431175,6.81,6.43,68.7,4.68
553,213443402,28.97,213443402,22555219,10.57,9.88,57.22,6.05
564,302799684,41.15,302799684,33947819,11.21,10.21,81.26,9.11
563,210766172,28.65,210766172,34222193,16.24,14.57,56.58,9.19
549,283747192,38.58,283747192,46519060,16.39,14.65,76.18,12.49
560,350883060,47.63,350883060,59839347,17.05,16.09,94.07,16.04
555,211327912,28.69,211327912,48595930,23.0,20.69,56.66,13.03
562,299122834,40.6,299122834,87623985,29.29,26.9,80.19,23.49
561,308423220,41.84,308423220,109876791,35.63,33.57,82.62,29.43
556,208804396,28.35,208804396,106177921,50.85,45.57,55.99,28.47
554,321759102,43.72,321759102,201827013,62.73,55.74,86.35,54.16
550,251576030,34.18,251576030,171670859,68.24,61.78,67.49,46.06
547,244927122,33.27,244927122,167439643,68.36,61.35,65.71,44.92
551,201342146,27.35,201342146,141637097,70.35,63.12,54.02,38.0
548,194279034,26.39,194279034,141500307,72.83,62.53,52.12,37.96
559,364479000,49.48,364479000,273283086,74.98,68.66,97.72,73.27
552,253444792,34.41,253444792,194634415,76.8,70.99,67.95,52.18
