sample	plant_pct	bacteria_pct	fungi_pct	unclassified_pct	plant_to_bacteria
547	6.80	1.54	0.02	91.35	4.42
548	3.75	0.42	0.03	95.39	8.93
549	2.13	3.10	0.08	94.48	0.69
550	6.09	1.33	0.04	92.19	4.58
551	6.80	1.49	0.02	91.32	4.56
552	6.80	1.62	0.02	91.10	4.20
553	0.88	2.94	0.75	95.18	0.30
554	4.54	1.52	0.04	93.63	2.99
555	1.47	4.35	0.05	93.92	0.34
556	3.76	3.51	0.04	92.46	1.07
557	0.66	5.84	0.21	93.12	0.11
558	0.76	6.59	0.12	92.38	0.12
559	4.91	1.03	0.02	93.62	4.77
560	1.72	3.49	0.11	94.45	0.49
561	3.23	2.29	0.24	93.87	1.41
562	2.00	3.14	0.05	94.56	0.64
563	1.44	4.85	0.11	93.37	0.30
564	0.87	3.17	0.07	95.68	0.27
