sample	mean_GC	median_GC	p10_GC	p90_GC	frac_GC_lt_30	frac_GC_gt_50
547	42.3	39	26	66	0.185	0.254
548	38.0	36	24	55	0.248	0.165
549	53.1	52	36	71	0.034	0.535
550	42.7	40	28	62	0.121	0.229
551	43.1	40	29	65	0.113	0.236
552	42.4	40	30	61	0.096	0.202
553	52.5	52	39	67	0.031	0.581
554	43.7	40	28	66	0.127	0.267
555	53.5	54	32	72	0.070	0.574
556	47.3	44	28	71	0.133	0.386
557	60.5	62	45	74	0.013	0.798
558	60.8	63	44	74	0.012	0.805
559	41.5	38	28	63	0.138	0.193
560	54.8	55	36	72	0.035	0.606
561	48.9	49	32	66	0.056	0.444
562	50.1	50	30	71	0.091	0.466
563	54.8	55	34	73	0.056	0.619
564	52.8	52	36	71	0.051	0.546
