.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
547_R1	1	1	1	1	0.25	1	1	1	1	1
547_R2	1	1	1	1	0.25	1	1	1	1	1
548_R1	1	1	1	0.5	0.5	1	1	1	1	1
548_R2	1	1	1	0.5	0.5	1	1	1	1	1
549_R1	1	1	1	1	0.25	1	1	1	1	1
549_R2	1	1	1	1	0.25	1	1	1	1	1
550_R1	1	1	1	1	0.25	1	1	1	1	1
550_R2	1	1	1	1	0.25	1	1	1	1	1
551_R1	1	1	1	0.5	0.25	1	1	1	1	1
551_R2	1	1	1	1	0.25	1	1	1	1	1
552_R1	1	1	1	1	0.25	1	1	1	1	1
552_R2	1	1	1	1	0.25	1	1	1	1	1
553_R1	1	1	1	0.5	0.5	1	1	1	1	1
553_R2	1	1	1	0.5	0.5	1	1	1	1	1
554_R1	1	1	1	0.5	0.25	1	1	1	1	1
554_R2	1	1	1	1	0.25	1	1	1	1	1
555_R1	1	1	1	1	0.25	1	1	1	1	1
555_R2	1	1	1	1	0.25	1	1	1	1	1
556_R1	1	1	1	1	0.25	1	1	1	1	1
556_R2	1	1	1	1	0.25	1	1	1	1	1
557_R1	1	1	1	1	0.25	1	1	1	1	1
557_R2	1	1	1	1	0.25	1	1	1	1	1
558_R1	1	1	1	1	0.25	1	1	1	1	1
558_R2	1	1	1	1	0.25	1	1	1	1	1
559_R1	1	1	1	1	0.25	1	1	1	1	1
559_R2	1	1	1	1	0.25	1	1	1	1	1
560_R1	1	1	1	1	0.25	1	1	1	1	1
560_R2	1	1	1	1	0.25	1	1	1	1	1
561_R1	1	1	1	0.5	1	1	1	1	1	1
561_R2	1	1	1	1	1	1	1	1	1	1
562_R1	1	1	1	1	0.5	1	1	1	1	1
562_R2	1	1	1	1	0.5	1	1	1	1	1
563_R1	1	1	1	1	0.25	1	1	1	1	1
563_R2	1	1	1	1	0.5	1	1	1	1	1
564_R1	1	1	1	1	0.5	1	1	1	1	1
564_R2	1	1	1	1	0.25	1	1	1	1	1
