Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
547_R1 - polya	(1, 0.007069214965914356)	(2, 0.014246586562504729)	(3, 0.018889189604078992)	(4, 0.02307558309821532)	(5, 0.026545540565091723)	(6, 0.02985123006658049)	(7, 0.03244698920280488)	(8, 0.03561362017913877)	(9, 0.038762360584984897)	(10, 0.043535483470344874)	(12, 0.04882133384172913)	(14, 0.05430235407297988)	(16, 0.05967603088130406)	(18, 0.06491349539159641)	(20, 0.07002044005810304)	(22, 0.07482039879919467)	(24, 0.07970371133460427)	(26, 0.08470209276656017)	(28, 0.08951221660451983)	(30, 0.09452645558758987)	(32, 0.09942318605086531)	(34, 0.1041702862882431)	(36, 0.10882915348480623)	(38, 0.11372954338295416)	(40, 0.11856568986889603)	(42, 0.12338557219984903)	(44, 0.12817170640920011)	(46, 0.13279967171128437)	(48, 0.13749228702944943)	(50, 0.1423341259696374)	(52, 0.14708285262251408)	(54, 0.15175839057794083)	(56, 0.15649369930295165)	(58, 0.1614778495992923)	(60, 0.1664172734694135)	(62, 0.1714022369735036)	(64, 0.17618064570923495)	(66, 0.18081633648493894)	(68, 0.18568623109248272)	(70, 0.1905150587086796)	(72, 0.1953963382247156)	(74, 0.20019670356968194)	(76, 0.2049002971924645)	(78, 0.20979418142861686)	(80, 0.21468237321052314)	(82, 0.21956121310331078)	(84, 0.2243993926086263)	(86, 0.22932865138187947)	(88, 0.23440062811516)	(90, 0.23972307283526922)	(92, 0.24469705803474182)	(94, 0.24959744793288974)	(96, 0.2545661472819909)	(98, 0.2595763202263138)	(100, 0.26480239982811393)	(102, 0.26989795958612833)	(104, 0.27494554008692557)	(106, 0.2802663583915359)	(108, 0.2855359446079313)	(110, 0.2905839317126032)	(112, 0.29590271699784)	(114, 0.3011979192583428)	(116, 0.3063312931767064)	(118, 0.31145328218657775)	(120, 0.31673872595408725)	(122, 0.3219981470736146)	(124, 0.3270847615463851)	(126, 0.3322917307660733)	(128, 0.33745559997504104)	(130, 0.3427398239309264)	(132, 0.34804803751542035)	(134, 0.35345464923759695)	(136, 0.3588807779457603)	(138, 0.36406457074458937)
547_R2 - polya	(1, 0.007670175492753274)	(2, 0.014061988403381001)	(3, 0.018250821520765664)	(4, 0.022039556425424007)	(5, 0.02521106664825456)	(6, 0.028130482468757555)	(7, 0.03050504909713325)	(8, 0.03324474600500918)	(9, 0.03609991841330612)	(10, 0.040441227983711484)	(12, 0.04518873482496398)	(14, 0.050158247381814625)	(16, 0.05505375803346589)	(18, 0.059803297894092)	(20, 0.06452966133385897)	(22, 0.06905760208276167)	(24, 0.073811207982135)	(26, 0.07867744315480628)	(28, 0.08331638676150804)	(30, 0.08807568511512749)	(32, 0.0927695202449167)	(34, 0.09741334309811514)	(36, 0.10206245180168494)	(38, 0.1068872133791346)	(40, 0.11170140325584149)	(42, 0.11648713086131784)	(44, 0.12126553959704922)	(46, 0.12603093700878948)	(48, 0.13085529198236442)	(50, 0.13573128564802903)	(52, 0.14069103971188635)	(54, 0.14563208999750646)	(56, 0.1505938770807374)	(58, 0.15576872459432256)	(60, 0.1609980570271205)	(62, 0.16617046491745735)	(64, 0.1713131907249395)	(66, 0.17648031276490497)	(68, 0.18170476595120622)	(70, 0.1870150125550738)	(72, 0.19237771105878046)	(74, 0.197793268066201)	(76, 0.20327103546645398)	(78, 0.20887972931436738)	(80, 0.21450102788239717)	(82, 0.22013127173567087)	(84, 0.2258281986243989)	(86, 0.23145234341955176)	(88, 0.23726840524357334)	(90, 0.24342154167973934)	(92, 0.24928111011835613)	(94, 0.2552821767053761)	(96, 0.2613556187820967)	(98, 0.26736075140786386)	(100, 0.27363586900644643)	(102, 0.2797251686342811)	(104, 0.285879931485946)	(106, 0.2923010198755537)	(108, 0.29897623568686255)	(110, 0.30528144197217455)	(112, 0.3118834690860335)	(114, 0.3184163735411897)	(116, 0.32498953177994333)	(118, 0.3317163862833419)	(120, 0.3385355398663023)	(122, 0.3454059255374776)	(124, 0.35238487444320377)	(126, 0.35952931112594166)	(128, 0.36646678643644615)	(130, 0.3734725711979039)	(132, 0.38076907772978774)	(134, 0.38816154277610604)	(136, 0.3958581475207162)	(138, 0.40342138619441764)
548_R1 - polya	(1, 0.005995873472772895)	(2, 0.010042551168792399)	(3, 0.01341529391366789)	(4, 0.01653748421084948)	(5, 0.019582974779145175)	(6, 0.022638691977958994)	(7, 0.02528125330384082)	(8, 0.028154936479432128)	(9, 0.030936579980360368)	(10, 0.03557128893117169)	(12, 0.04122201362395808)	(14, 0.04686148902317455)	(16, 0.05242784401418646)	(18, 0.05788221740102498)	(20, 0.0635252721209228)	(22, 0.0687986341475906)	(24, 0.07447390275362048)	(26, 0.08053676065628707)	(28, 0.08640377858453166)	(30, 0.09245078520989515)	(32, 0.09849318985152548)	(34, 0.10444815680222591)	(36, 0.11030034611621922)	(38, 0.11616327339225659)	(40, 0.1224623664598917)	(42, 0.12864692126572388)	(44, 0.13471591514670134)	(46, 0.14075167247849488)	(48, 0.14692037600702396)	(50, 0.1531422580142473)	(52, 0.15942140915237207)	(54, 0.16555534213713957)	(56, 0.1716943884371661)	(58, 0.17793314438474434)	(60, 0.1843738762850554)	(62, 0.19075273707073181)	(64, 0.19704416016547832)	(66, 0.20323843027030272)	(68, 0.20965155026821486)	(70, 0.21598132322740432)	(72, 0.22243534974738893)	(74, 0.22870274026041787)	(76, 0.2349440528656256)	(78, 0.24153000291929394)	(80, 0.24807760310851934)	(82, 0.2546553718577732)	(84, 0.2611876321012214)	(86, 0.26770813171957375)	(88, 0.27435595288787673)	(90, 0.28124563386793316)	(92, 0.2878740244382517)	(94, 0.2945607068025235)	(96, 0.3012115959599819)	(98, 0.3077955006875466)	(100, 0.3143333855777798)	(102, 0.32107529174684946)	(104, 0.3276929443551239)	(106, 0.33448598367678417)	(108, 0.3414840669403327)	(110, 0.34835636264850833)	(112, 0.35528746148216317)	(114, 0.3621398152608285)	(116, 0.36907040276295744)	(118, 0.37603524947732203)	(120, 0.383177528231176)	(122, 0.39043639057293655)	(124, 0.3972048859813533)	(126, 0.4043313134579042)	(128, 0.41139484715676866)	(130, 0.41852638794857866)	(132, 0.4257182658604455)	(134, 0.43328904043300864)	(136, 0.44072789147188807)	(138, 0.44804146628692054)
548_R2 - polya	(1, 0.005185924335737908)	(2, 0.008081083435417264)	(3, 0.010563086662164631)	(4, 0.012927483637953636)	(5, 0.015164047732266159)	(6, 0.017436405033392097)	(7, 0.019455141897668695)	(8, 0.021542397186416685)	(9, 0.023681808290807082)	(10, 0.027117444813369)	(12, 0.03145302482152536)	(14, 0.03586121390636035)	(16, 0.04026838032814353)	(18, 0.04461316430376619)	(20, 0.0490397613235338)	(22, 0.05350828752842569)	(24, 0.058292816616327445)	(26, 0.06327062902102164)	(28, 0.06822082952331691)	(30, 0.07343487709297965)	(32, 0.07864790199959057)	(34, 0.08399438443446294)	(36, 0.0895050042891511)	(38, 0.09524827998812646)	(40, 0.10127687867855735)	(42, 0.1071909391071853)	(44, 0.11309579556834692)	(46, 0.11900372001866401)	(48, 0.12520566009637701)	(50, 0.13159270218646793)	(52, 0.1380252527823645)	(54, 0.14443479345959526)	(56, 0.15099210894781287)	(58, 0.1576992445731209)	(60, 0.16455159835178623)	(62, 0.17160234876250308)	(64, 0.17864951985253852)	(66, 0.18577441333451172)	(68, 0.19308338616581103)	(70, 0.20044656013885637)	(72, 0.20790177378656477)	(74, 0.21548686564185332)	(76, 0.2231721784762194)	(78, 0.2309991301432614)	(80, 0.23890994018055198)	(82, 0.2469179032077647)	(84, 0.25495398946890224)	(86, 0.26325034347672593)	(88, 0.2717225955294612)	(90, 0.2806136281019135)	(92, 0.2892060430632366)	(94, 0.2976655118278243)	(96, 0.30641848488828194)	(98, 0.315223613764382)	(100, 0.3240256746513266)	(102, 0.3328947199681649)	(104, 0.3419181874058268)	(106, 0.3511109055785635)	(108, 0.3604836124484192)	(110, 0.3697560983391972)	(112, 0.37899534768079146)	(114, 0.38861502767765965)	(116, 0.39825516093556407)	(118, 0.40808653218415736)	(120, 0.41818532982079937)	(122, 0.42856075781295655)	(124, 0.4387843203419196)	(126, 0.4491484990405068)	(128, 0.4596696565175472)	(130, 0.47041784519208973)	(132, 0.4812913100904793)	(134, 0.4925983841228371)	(136, 0.5041549879398369)	(138, 0.5156308013757436)
550_R1 - polya	(1, 0.005369364309592885)	(2, 0.011471130836791885)	(3, 0.015513610609293172)	(4, 0.01913757482887668)	(5, 0.022054501409818784)	(6, 0.0247772304330623)	(7, 0.026785788029830584)	(8, 0.029020248908003355)	(9, 0.031104107598573134)	(10, 0.03447402970696318)	(12, 0.03808372635087903)	(14, 0.04176753512395741)	(16, 0.04543430207054387)	(18, 0.04897107554993617)	(20, 0.052411542893571826)	(22, 0.05549056498696031)	(24, 0.058741590631453254)	(26, 0.0622589443550757)	(28, 0.06542357190247008)	(30, 0.06875623978550571)	(32, 0.07190699607877876)	(34, 0.07516515551110554)	(36, 0.07834325799107494)	(38, 0.08168860816359291)	(40, 0.08499551514611749)	(42, 0.08810267606929495)	(44, 0.09125065811174375)	(46, 0.0943510815686337)	(48, 0.0975375068010759)	(50, 0.10079526991185635)	(52, 0.1039927921475956)	(54, 0.10707102159789142)	(56, 0.11017263401942036)	(58, 0.1134470426351464)	(60, 0.11665685083882169)	(62, 0.11993046681145508)	(64, 0.12315493891234433)	(66, 0.12626764833717033)	(68, 0.12948934618723534)	(70, 0.13274156079636726)	(72, 0.13602032894910285)	(74, 0.1392816589538002)	(76, 0.1424831444050027)	(78, 0.14595412850770528)	(80, 0.1492432010206453)	(82, 0.1525104758485375)	(84, 0.15579835939683856)	(86, 0.15908584662359326)	(88, 0.16245299448115907)	(90, 0.1659838231373565)	(92, 0.16911595231795234)	(94, 0.17233566856028573)	(96, 0.17562672268095736)	(98, 0.17882305595205766)	(100, 0.18206179562861458)	(102, 0.1854602528883399)	(104, 0.18880045088075567)	(106, 0.19238755719653108)	(108, 0.195817323858416)	(110, 0.1990104865571457)	(112, 0.2022745908126673)	(114, 0.20561399616199044)	(116, 0.20893160382626577)	(118, 0.21223890713033666)	(120, 0.21557791615811345)	(122, 0.21892564425990937)	(124, 0.22227257971861264)	(126, 0.22566192158277254)	(128, 0.2289109656195339)	(130, 0.2322824730141092)	(132, 0.2354704835327367)	(134, 0.2387544038655745)	(136, 0.24225154519033446)	(138, 0.24561235190315905)
550_R2 - polya	(1, 0.005822756158587147)	(2, 0.011624903596765464)	(3, 0.015394714145396076)	(4, 0.018603333384432392)	(5, 0.02124442016913323)	(6, 0.023699235827061953)	(7, 0.025595238104674324)	(8, 0.027722692165339704)	(9, 0.029739176193034466)	(10, 0.03292322349619871)	(12, 0.03647505719435132)	(14, 0.04008158326589658)	(16, 0.04359497377405579)	(18, 0.046982334030484074)	(20, 0.05034829292341088)	(22, 0.053489537499572165)	(24, 0.05671400960046143)	(26, 0.06017548198605224)	(28, 0.06346613978517754)	(30, 0.06680752674223228)	(32, 0.07001337173044433)	(34, 0.07326201944565935)	(36, 0.07656139631880378)	(38, 0.08002326502594091)	(40, 0.08337733427247801)	(42, 0.08666878471469597)	(44, 0.08998282548505437)	(46, 0.09330915222334882)	(48, 0.09675160117471608)	(50, 0.10025587628730985)	(52, 0.10365591883322048)	(54, 0.10708528917355908)	(56, 0.11051505583544399)	(58, 0.11410612536668263)	(60, 0.1177292969431735)	(62, 0.121408349857696)	(64, 0.12497524377460889)	(66, 0.1285219252926593)	(68, 0.13210348310678616)	(70, 0.13573061789874025)	(72, 0.13946515582974806)	(74, 0.1432119797286919)	(76, 0.1468973737879556)	(78, 0.15077775804801047)	(80, 0.1545543060629286)	(82, 0.15832094603918861)	(84, 0.1620467648961773)	(86, 0.16589108389551677)	(88, 0.16982417892123272)	(90, 0.17387696305393843)	(92, 0.177728812162658)	(94, 0.18160126999178647)	(96, 0.1856643584846966)	(98, 0.18968781482297437)	(100, 0.19385077634555803)	(102, 0.1980521810581351)	(104, 0.20217630306917905)	(106, 0.20655208926213853)	(108, 0.21091836373798625)	(110, 0.21499928670048093)	(112, 0.2193615979608654)	(114, 0.22386420704864846)	(116, 0.22828557021943516)	(118, 0.2327108966056851)	(120, 0.23721746890893136)	(122, 0.24165983712167322)	(124, 0.246146197026057)	(126, 0.25094287670121224)	(128, 0.2555513036418637)	(130, 0.26024493971497475)	(132, 0.2650142732034336)	(134, 0.26974318189416746)	(136, 0.2748371027290654)	(138, 0.27981846824480744)
551_R1 - polya	(1, 0.00408220317891377)	(2, 0.009743241001466594)	(3, 0.013389903589031658)	(4, 0.01662874180469748)	(5, 0.01912023196020814)	(6, 0.021535502512232775)	(7, 0.023248958793197796)	(8, 0.02518810428967987)	(9, 0.027092604511850114)	(10, 0.030044876815708096)	(12, 0.03326985692164919)	(14, 0.036453757630906254)	(16, 0.039516894812562084)	(18, 0.042515690770495954)	(20, 0.04550656780858711)	(22, 0.04834995496460792)	(24, 0.05111217319224101)	(26, 0.05419164314607242)	(28, 0.057071160373875565)	(30, 0.05996206104895259)	(32, 0.06274110698125143)	(34, 0.06557063602754751)	(36, 0.0683853170991385)	(38, 0.07123365358006101)	(40, 0.07407060661370962)	(42, 0.07684470322110676)	(44, 0.07954950927988025)	(46, 0.08224590148632088)	(48, 0.0849883224143472)	(50, 0.08785497139740596)	(52, 0.09060481631278483)	(54, 0.09324132168791499)	(56, 0.0959807730210003)	(58, 0.09901074972581483)	(60, 0.10185710647677665)	(62, 0.10481927743043801)	(64, 0.10775620682710074)	(66, 0.11058969533331817)	(68, 0.11340289160743867)	(70, 0.11625964194069405)	(72, 0.11920795478463067)	(74, 0.1220637152529057)	(76, 0.12481059057334355)	(78, 0.1278187902485906)	(80, 0.13069187335402158)	(82, 0.13341004259002964)	(84, 0.1361504837880953)	(86, 0.138979022969411)	(88, 0.14202731217636178)	(90, 0.1449726554253574)	(92, 0.14771458142089355)	(94, 0.15051243478781884)	(96, 0.15347856520140155)	(98, 0.1563194776949715)	(100, 0.15926779053890813)	(102, 0.16215077229414246)	(104, 0.16506641959372792)	(106, 0.16823002807088805)	(108, 0.17125505545080089)	(110, 0.17398064867416146)	(112, 0.17678790575839998)	(114, 0.17979313583870601)	(116, 0.1828300415983829)	(118, 0.18578082910477037)	(120, 0.18870439532419855)	(122, 0.19158787201192304)	(124, 0.194496095324156)	(126, 0.19762258386455345)	(128, 0.20045755716824137)	(130, 0.20340537507968784)	(132, 0.20626064061547272)	(134, 0.20923468994889813)	(136, 0.2123591987593349)	(138, 0.2153718528269935)
551_R2 - polya	(1, 0.004963183011414559)	(2, 0.010617291779105018)	(3, 0.014404515193878073)	(4, 0.017625535839897812)	(5, 0.020143752349877597)	(6, 0.022509529652885333)	(7, 0.024303164997257726)	(8, 0.026309621312402783)	(9, 0.028152749905792075)	(10, 0.031166888770921178)	(12, 0.03448689591497472)	(14, 0.03784006353586958)	(16, 0.04118333250696105)	(18, 0.04448948154128986)	(20, 0.04764368630113679)	(22, 0.050711277875204144)	(24, 0.053780354246742004)	(26, 0.05695386137370552)	(28, 0.060013534027930165)	(30, 0.06323356480896958)	(32, 0.06637143679664093)	(34, 0.06945585607537402)	(36, 0.07263975678463108)	(38, 0.07588453419017893)	(40, 0.07922928795874093)	(42, 0.0825710721323619)	(44, 0.08584703028479039)	(46, 0.08897648842012887)	(48, 0.0922470023151655)	(50, 0.09555760574190583)	(52, 0.09885484599141159)	(54, 0.102110016979253)	(56, 0.10542556973089501)	(58, 0.10900987082469879)	(60, 0.11240708743721867)	(62, 0.11585924155614734)	(64, 0.1193272335147614)	(66, 0.12283531500507913)	(68, 0.12634587115784773)	(70, 0.12997372631078638)	(72, 0.13364167099542873)	(74, 0.13727645520322973)	(76, 0.14084937284975962)	(78, 0.14466084795655093)	(80, 0.14845401056120605)	(82, 0.15218233700964898)	(84, 0.15592254183785598)	(86, 0.15969194768298295)	(88, 0.16376870660450488)	(90, 0.16780141653440173)	(92, 0.17153914670015788)	(94, 0.17537487349896752)	(96, 0.17941104795629556)	(98, 0.18334477138815863)	(100, 0.18737649145307517)	(102, 0.19141514057285408)	(104, 0.19548299070955294)	(106, 0.19973990505749634)	(108, 0.20404631265445666)	(110, 0.2081052540063325)	(112, 0.2123750365990203)	(114, 0.21666164689637388)	(116, 0.2209249953666895)	(118, 0.2253224705418409)	(120, 0.22958532407966636)	(122, 0.2338402586976491)	(124, 0.23830900415138484)	(126, 0.2429405823943862)	(128, 0.24737864203373144)	(130, 0.2518107624831947)	(132, 0.25610974609280246)	(134, 0.26063788344535854)	(136, 0.265521877258346)	(138, 0.27032222748049495)
552_R1 - polya	(1, 0.0034944098224150696)	(2, 0.00780788347519112)	(3, 0.010511581676757704)	(4, 0.01298688707947363)	(5, 0.01483686875016396)	(6, 0.01648680983151613)	(7, 0.01775872145270169)	(8, 0.019184207542079935)	(9, 0.020524637002920693)	(10, 0.022574265482261515)	(12, 0.024929073994549335)	(14, 0.027369332916062312)	(16, 0.029750524734424265)	(18, 0.03200098136447859)	(20, 0.03423332408289993)	(22, 0.036293584640807945)	(24, 0.038357783005592685)	(26, 0.04061375256527444)	(28, 0.04265196140467273)	(30, 0.044837050440573255)	(32, 0.04694220199687604)	(34, 0.049067830148937855)	(36, 0.05117770707349273)	(38, 0.05339666124853318)	(40, 0.05558647565268578)	(42, 0.057786922135405566)	(44, 0.059827099878242224)	(46, 0.06172039742457665)	(48, 0.06370741477457736)	(50, 0.06570821444864666)	(52, 0.0677562678052368)	(54, 0.06966649792114119)	(56, 0.07164839612220214)	(58, 0.07387207566549468)	(60, 0.0758579116734324)	(62, 0.07799220300062301)	(64, 0.08002923049795829)	(66, 0.08200797845351787)	(68, 0.08392214637629898)	(70, 0.08588671822710231)	(72, 0.08801864687016692)	(74, 0.09010607829552439)	(76, 0.09206828746220168)	(78, 0.0941328796076741)	(80, 0.09616715064019565)	(82, 0.09817543214733074)	(84, 0.10017938206690144)	(86, 0.1022223162745518)	(88, 0.10436527077687126)	(90, 0.10643891987816016)	(92, 0.10839679745727304)	(94, 0.11040547274509581)	(96, 0.11255039615085363)	(98, 0.11459569304263004)	(100, 0.11655947733205803)	(102, 0.11858114738257403)	(104, 0.12065322136111224)	(106, 0.12290289042979122)	(108, 0.1250856167815657)	(110, 0.12694583675013554)	(112, 0.12890804591681282)	(114, 0.13096751891334552)	(116, 0.13322860762196703)	(118, 0.13538337554491667)	(120, 0.13733849665921583)	(122, 0.13934126523672352)	(124, 0.14133576441979)	(126, 0.14344839780915863)	(128, 0.14546494871073484)	(130, 0.1474326708070396)	(132, 0.14940078668403195)	(134, 0.1513830786657806)	(136, 0.15354611598317142)	(138, 0.15567725706486069)
552_R2 - polya	(1, 0.005568058923703976)	(2, 0.011625193461498498)	(3, 0.015518109339839199)	(4, 0.0188676078691904)	(5, 0.021427969900443815)	(6, 0.023910363355537863)	(7, 0.025839101163762906)	(8, 0.02784817023227335)	(9, 0.029794234390756028)	(10, 0.03278224224882291)	(12, 0.03617781311863192)	(14, 0.039634813775718)	(16, 0.0430410167240942)	(18, 0.0464515512600348)	(20, 0.04983964029677801)	(22, 0.05291939905507284)	(24, 0.056094058959096985)	(26, 0.059383309043234134)	(28, 0.06253276698324718)	(30, 0.06585863867133797)	(32, 0.06911402361633519)	(34, 0.07235602001795152)	(36, 0.07556257615767722)	(38, 0.07884906977700065)	(40, 0.08219581184153815)	(42, 0.08548348680292461)	(44, 0.08871209466116003)	(46, 0.09177255816575884)	(48, 0.09504526946101371)	(50, 0.09833018795758644)	(52, 0.10162691987478939)	(54, 0.10485395261027414)	(56, 0.10806287143412588)	(58, 0.11152617258221473)	(60, 0.11483550548142324)	(62, 0.11830038175226279)	(64, 0.12161522758109872)	(66, 0.12486431203509317)	(68, 0.12818624591630723)	(70, 0.13163222071413844)	(72, 0.13512348029105214)	(74, 0.13853677129180644)	(76, 0.14192092252167293)	(78, 0.1455354354538284)	(80, 0.14910308848415077)	(82, 0.15258529110524796)	(84, 0.15609545215516996)	(86, 0.15962608980085102)	(88, 0.16336621877237437)	(90, 0.16717762204836664)	(92, 0.170669275405968)	(94, 0.17441491730711878)	(96, 0.17832161550952808)	(98, 0.18200937164959086)	(100, 0.18567310716770555)	(102, 0.18944552615561816)	(104, 0.19319707476708403)	(106, 0.19728215562100943)	(108, 0.20141882174502007)	(110, 0.2051144534988363)	(112, 0.20905619818244853)	(114, 0.21306370424090224)	(116, 0.21719958280353752)	(118, 0.22127993828921083)	(120, 0.22520790064875448)	(122, 0.2290917595712787)	(124, 0.23314730687362856)	(126, 0.23743754746583187)	(128, 0.24152105319700656)	(130, 0.24562976089219235)	(132, 0.24969318380829572)	(134, 0.2539149065608438)	(136, 0.25842093896989227)	(138, 0.26287420476679235)
