Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
547_R1	(1, 0.000638368083313329)	(2, 0.0003399208392674797)	(3, 0.0003277227230258237)	(4, 0.0002252585465959136)	(5, 0.00023583024733868208)	(6, 0.00017727928937873343)	(7, 0.00015450947239430894)	(8, 0.00013661890190654687)	(9, 0.00010083776093102268)	(10, 9.725964683347026e-05)	(15, 5.041888046551134e-05)	(20, 0.00010831927222590502)	(25, 0.000162804191438635)	(30, 0.009270080419008871)	(35, 6.668303545438598e-05)	(40, 6.50566199554985e-05)	(45, 4.5539633968848954e-05)	(50, 2.9763403629640564e-05)	(55, 3.3992083926747966e-05)	(60, 4.000982127263158e-05)	(65, 2.4721515583089432e-05)	(70, 2.3095100084201968e-05)	(75, 5.383435301317502e-05)	(80, 3.2853593077526745e-05)	(85, 3.1227177578639284e-05)	(90, 5.513548541228498e-05)	(95, 4.5702275518737705e-05)	(100, 0.00010669285672701754)	(105, 0.002040338243354322)	(110, 7.806794394659821e-05)	(115, 9.937398698202395e-05)	(120, 0.003018301882835353)	(125, 0.00016573173933663246)	(130, 0.0002675453495669876)	(135, 0.0001332034293588832)	(140, 0.0056744010340684685)	(145, 0.003034566037824228)	(150, 0.0009457606126030596)
547_R2	(1, 8.132077494437314e-07)	(2, 4.066038747218656e-06)	(3, 1.6264154988874628e-06)	(4, 1.6264154988874628e-06)	(5, 2.439623248331194e-06)	(6, 8.132077494437314e-07)	(7, 0.0)	(8, 3.2528309977749256e-06)	(9, 6.505661995549851e-06)	(10, 1.6264154988874628e-06)	(15, 4.879246496662388e-07)	(20, 4.879246496662388e-07)	(25, 1.6264154988874626e-07)	(30, 3.252830997774925e-07)	(35, 3.252830997774925e-07)	(40, 1.6264154988874626e-07)	(45, 0.0)	(50, 3.252830997774925e-07)	(55, 3.252830997774925e-07)	(60, 3.252830997774925e-07)	(65, 3.252830997774925e-07)	(70, 8.132077494437314e-07)	(75, 0.0)	(80, 0.0)	(85, 4.879246496662388e-07)	(90, 3.252830997774925e-07)	(95, 3.252830997774925e-07)	(100, 0.0)	(105, 0.006831920944626676)	(110, 3.252830997774925e-07)	(115, 0.00015060607519697903)	(120, 0.0024771934463554946)	(125, 0.0040689662951166545)	(130, 6.50566199554985e-07)	(135, 1.6264154988874628e-06)	(140, 1.1384908492212238e-06)	(145, 1.96796275365383e-05)	(150, 8.132077494437314e-07)
548_R1	(1, 0.007263975657019593)	(2, 0.007093190927367014)	(3, 0.00016873940354895578)	(4, 0.00012476489232104607)	(5, 0.00013703684894278832)	(6, 0.00010226630518118532)	(7, 8.590369635219567e-05)	(8, 8.385837024857196e-05)	(9, 4.80651634351571e-05)	(10, 5.420114174602821e-05)	(15, 2.945269589218137e-05)	(20, 6.524590270559623e-05)	(25, 8.999434855944309e-05)	(30, 0.004679092527259953)	(35, 5.70645982911014e-05)	(40, 5.604193523928956e-05)	(45, 3.988385902066227e-05)	(50, 2.5157511074571586e-05)	(55, 2.393031541239736e-05)	(60, 2.5157511074571586e-05)	(65, 2.3521250191672624e-05)	(70, 2.2089521919136027e-05)	(75, 3.292975026834167e-05)	(80, 2.1271391477686548e-05)	(85, 2.556657629529633e-05)	(90, 3.231615243725456e-05)	(95, 3.3952413320153523e-05)	(100, 7.485893539262765e-05)	(105, 0.0013163718802922174)	(110, 0.0001392867076567744)	(115, 0.0016145804262005538)	(120, 0.0013914353482952075)	(125, 0.00012906007713865586)	(130, 0.00016239889262772227)	(135, 6.463230487450912e-05)	(140, 0.0034107858104028923)	(145, 0.0017618439056614605)	(150, 0.0005236034825276688)
548_R2	(1, 0.0002710057087301411)	(2, 0.0002710057087301411)	(3, 1.0226630518118532e-06)	(4, 0.0)	(5, 0.0)	(6, 1.0226630518118532e-06)	(7, 1.0226630518118532e-06)	(8, 0.0)	(9, 0.0)	(10, 4.0906522072474126e-07)	(15, 6.135978310871118e-07)	(20, 0.011685357095222958)	(25, 4.0906522072474126e-07)	(30, 6.135978310871118e-07)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 2.0453261036237063e-07)	(55, 0.0)	(60, 4.0906522072474126e-07)	(65, 2.0453261036237063e-07)	(70, 0.0)	(75, 6.135978310871118e-07)	(80, 4.0906522072474126e-07)	(85, 0.0)	(90, 0.0)	(95, 2.0453261036237063e-07)	(100, 6.135978310871118e-07)	(105, 0.0033052469834559096)	(110, 2.0453261036237063e-07)	(115, 0.0016698042309983938)	(120, 0.0014527951314039186)	(125, 0.001805613884279008)	(130, 0.00028164140446898436)	(135, 0.00035690940508233674)	(140, 0.0007117734840610498)	(145, 1.1249293569930386e-05)	(150, 0.0)
549_R1	(1, 0.0006103046770576305)	(2, 0.00036155822429590964)	(3, 0.0002830804701851696)	(4, 0.00021581382380453525)	(5, 0.00023823603926474671)	(6, 0.0001856839717798761)	(7, 0.00013523398699440034)	(8, 0.00012962843312934748)	(9, 8.548469644205616e-05)	(10, 8.660580721506674e-05)	(15, 5.00295682455968e-05)	(20, 0.0001065055234360044)	(25, 0.0001610195347736435)	(30, 0.008976453681802402)	(35, 6.684622984075539e-05)	(40, 7.133067293279768e-05)	(45, 4.652609707993877e-05)	(50, 2.998971317803282e-05)	(55, 3.2652351263932924e-05)	(60, 3.89585993621174e-05)	(65, 2.3963742773100988e-05)	(70, 2.3683465079848348e-05)	(75, 4.960915170571784e-05)	(80, 3.012985202465914e-05)	(85, 2.9289018944901207e-05)	(90, 3.5595267043085684e-05)	(95, 3.979943244187533e-05)	(100, 9.991899764456729e-05)	(105, 0.0020924131189776077)	(110, 6.894831254015022e-05)	(115, 9.949858110468831e-05)	(120, 0.002695710853703922)	(125, 0.00017054897634423335)	(130, 0.00026276033742435296)	(135, 0.00012668551735019472)	(140, 0.006057221367729498)	(145, 0.003222632917018891)	(150, 0.0009872781744824355)
549_R2	(1, 7.006942331316079e-07)	(2, 2.102082699394824e-06)	(3, 0.0)	(4, 1.4013884662632158e-06)	(5, 7.006942331316079e-07)	(6, 1.4013884662632158e-06)	(7, 7.006942331316079e-07)	(8, 0.0)	(9, 1.4013884662632158e-06)	(10, 7.006942331316079e-07)	(15, 7.006942331316079e-07)	(20, 4.2041653987896476e-07)	(25, 0.0)	(30, 2.8027769325264316e-07)	(35, 1.4013884662632158e-07)	(40, 2.8027769325264316e-07)	(45, 0.0)	(50, 7.006942331316079e-07)	(55, 9.80971926384251e-07)	(60, 1.4013884662632158e-07)	(65, 2.8027769325264316e-07)	(70, 2.8027769325264316e-07)	(75, 0.0)	(80, 4.2041653987896476e-07)	(85, 1.4013884662632158e-07)	(90, 0.0)	(95, 0.0)	(100, 1.2612496196368942e-06)	(105, 0.006464464856025589)	(110, 0.0)	(115, 0.00014434301202511122)	(120, 0.0022667458441807515)	(125, 0.0036892952762845417)	(130, 1.4013884662632158e-06)	(135, 2.5224992392737885e-06)	(140, 1.2612496196368942e-06)	(145, 1.3173051582874229e-05)	(150, 7.006942331316079e-07)
550_R1	(1, 0.0006032013935046037)	(2, 0.0003852245430265932)	(3, 0.00034479974530158034)	(4, 0.00023858557088684063)	(5, 0.00021797685047801054)	(6, 0.00018151526821623426)	(7, 0.0001355419688426902)	(8, 0.00013871254121327944)	(9, 0.00010145831585885582)	(10, 9.384894216944163e-05)	(15, 5.5009430629723396e-05)	(20, 0.00011207973330032978)	(25, 0.00015789450405534437)	(30, 0.009098750060498484)	(35, 6.230174708207865e-05)	(40, 6.785024873060983e-05)	(45, 4.914387174413329e-05)	(50, 2.9010737190891585e-05)	(55, 3.360806712824599e-05)	(60, 4.010774048795394e-05)	(65, 2.7266922387067502e-05)	(70, 2.1876949357065785e-05)	(75, 5.3107087207369843e-05)	(80, 3.329100989118706e-05)	(85, 3.487629607648169e-05)	(90, 4.660741384766189e-05)	(95, 4.248566976589587e-05)	(100, 0.00010431183099238615)	(105, 0.0020775175458286024)	(110, 7.197199281237584e-05)	(115, 0.00011128709020768248)	(120, 0.00304517623333244)	(125, 0.00017327178005270222)	(130, 0.0002679133653147911)	(135, 0.00011271384777444764)	(140, 0.005780429017439781)	(145, 0.0030824304586868634)	(150, 0.0009551349266400099)
550_R2	(1, 0.0)	(2, 3.1705723705892445e-06)	(3, 1.5852861852946223e-06)	(4, 0.0)	(5, 7.926430926473111e-07)	(6, 0.0)	(7, 7.926430926473111e-07)	(8, 2.3779292779419336e-06)	(9, 0.0)	(10, 9.511717111767733e-07)	(15, 3.170572370589244e-07)	(20, 3.170572370589244e-07)	(25, 3.170572370589244e-07)	(30, 4.7558585558838666e-07)	(35, 1.585286185294622e-07)	(40, 3.170572370589244e-07)	(45, 1.585286185294622e-07)	(50, 1.585286185294622e-07)	(55, 1.585286185294622e-07)	(60, 6.341144741178488e-07)	(65, 9.511717111767733e-07)	(70, 4.7558585558838666e-07)	(75, 0.0)	(80, 1.585286185294622e-07)	(85, 1.1097003297062355e-06)	(90, 3.170572370589244e-07)	(95, 3.170572370589244e-07)	(100, 7.926430926473111e-07)	(105, 0.00663537385716917)	(110, 0.0)	(115, 0.00015361423135504888)	(120, 0.002472887920441081)	(125, 0.004053893833035408)	(130, 6.341144741178488e-07)	(135, 6.341144741178488e-07)	(140, 6.341144741178488e-07)	(145, 1.6169919090005146e-05)	(150, 0.0)
551_R1	(1, 0.001636246812498657)	(2, 0.0014273853016473462)	(3, 0.00030586827892443134)	(4, 0.00021876016065469034)	(5, 0.00021678043069401444)	(6, 0.00017520610151981988)	(7, 0.00011878379764055585)	(8, 0.00013858109724731516)	(9, 9.106757819109282e-05)	(10, 9.027568620682244e-05)	(15, 4.850338403656031e-05)	(20, 0.00010215406597087804)	(25, 0.00014828177405462722)	(30, 0.008540357077359898)	(35, 6.196554776915663e-05)	(40, 5.860000683600755e-05)	(45, 4.216824816239733e-05)	(50, 2.8904057425868588e-05)	(55, 3.009189540227415e-05)	(60, 3.801081524497787e-05)	(65, 3.187365236688249e-05)	(70, 1.920338061855653e-05)	(75, 4.01885182017214e-05)	(80, 3.405135532362601e-05)	(85, 3.009189540227415e-05)	(90, 4.969122201296586e-05)	(95, 3.484324730789638e-05)	(100, 8.849392924221411e-05)	(105, 0.001969435364880416)	(110, 8.01790634073752e-05)	(115, 0.00032170611860983875)	(120, 0.0027134178841024307)	(125, 0.00016451555973216985)	(130, 0.00024449665014347744)	(135, 0.000114824337719204)	(140, 0.0054064445496099)	(145, 0.002880111146791344)	(150, 0.0009423514612817432)
551_R2	(1, 4.1574329174194554e-05)	(2, 4.652365407588437e-05)	(3, 9.898649803379654e-07)	(4, 1.9797299606759307e-06)	(5, 9.898649803379654e-07)	(6, 1.9797299606759307e-06)	(7, 3.9594599213518614e-06)	(8, 2.969594941013896e-06)	(9, 1.9797299606759307e-06)	(10, 1.3858109724731517e-06)	(15, 0.0)	(20, 0.0018294684566606276)	(25, 0.0)	(30, 3.959459921351862e-07)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 1.979729960675931e-07)	(55, 3.959459921351862e-07)	(60, 1.979729960675931e-07)	(65, 1.979729960675931e-07)	(70, 1.979729960675931e-07)	(75, 0.0)	(80, 1.979729960675931e-07)	(85, 1.979729960675931e-07)	(90, 1.979729960675931e-07)	(95, 0.0)	(100, 5.939189882027793e-07)	(105, 0.006304450059772502)	(110, 0.0)	(115, 0.0004327689694037585)	(120, 0.0022986644573408234)	(125, 0.003658145021336985)	(130, 5.899595282814274e-05)	(135, 6.156960177702145e-05)	(140, 0.00012175339258156975)	(145, 1.742162365394819e-05)	(150, 9.898649803379654e-07)
