Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
547_R1	(1, 36.18546188333857)	(2, 35.516047081378275)	(3, 35.63187204156546)	(4, 35.68189300321501)	(5, 35.59120540865775)	(6, 35.51857918261187)	(7, 35.420328967418804)	(8, 35.551727010517304)	(9, 35.49643769059506)	(10, 35.50251796524329)	(15, 35.45714479490075)	(20, 35.44599989329088)	(25, 35.395604433208554)	(30, 35.37211248936904)	(35, 35.32588378706652)	(40, 35.291961691051526)	(45, 35.26072335788898)	(50, 35.207266733369764)	(55, 35.16570798716469)	(60, 35.15416118527371)	(65, 35.128369239450784)	(70, 35.06235690034058)	(75, 34.98681319878789)	(80, 34.96115320730722)	(85, 34.90723593475267)	(90, 34.87696447470231)	(95, 34.81053206987631)	(100, 34.71294058386219)	(105, 34.678023433833644)	(110, 34.592267563695536)	(115, 34.54907121387936)	(120, 34.46940399605572)	(125, 34.41873618619244)	(130, 34.333714263697274)	(135, 34.30384633847559)	(140, 34.18743240932305)	(145, 34.135251745170265)	(150, 34.07870592982227)
547_R2	(1, 35.834477515281456)	(2, 35.51571787048507)	(3, 35.630045520035665)	(4, 35.674167334425434)	(5, 35.63305115214176)	(6, 35.58839468618504)	(7, 35.492683834170776)	(8, 35.59456121615284)	(9, 35.52367807652166)	(10, 35.49786251839852)	(15, 35.41255790537265)	(20, 35.34114311328471)	(25, 35.27180096981042)	(30, 35.163622258917584)	(35, 35.110542544805334)	(40, 35.01717466792478)	(45, 34.96904703770089)	(50, 34.823481009448116)	(55, 34.746159769121206)	(60, 34.60955457301808)	(65, 34.572067915825876)	(70, 34.49984322737044)	(75, 34.34117258068072)	(80, 34.178026236960754)	(85, 34.10648512931309)	(90, 33.93790793052151)	(95, 33.853983096842626)	(100, 33.66537800941657)	(105, 33.52960510379592)	(110, 33.35733545877648)	(115, 33.16371140600391)	(120, 33.01072030957973)	(125, 32.804812324378126)	(130, 32.61644249470116)	(135, 32.44504869231843)	(140, 32.218164667038955)	(145, 31.982022308939623)	(150, 31.857723432874867)
548_R1	(1, 35.48986780218809)	(2, 34.596215565835685)	(3, 34.907940782246015)	(4, 35.020570253689364)	(5, 34.89059735773729)	(6, 34.89041694974832)	(7, 34.92588495993789)	(8, 34.81242896198943)	(9, 34.84634078581306)	(10, 34.87258702397259)	(15, 34.83888201534326)	(20, 34.75880691342312)	(25, 34.71027569993667)	(30, 34.68753523866778)	(35, 34.63926505787997)	(40, 34.591507681252864)	(45, 34.530865099923695)	(50, 34.49453645332559)	(55, 34.44040893104733)	(60, 34.43492213924175)	(65, 34.35552732914629)	(70, 34.29773903107462)	(75, 34.225643126715376)	(80, 34.20834034897231)	(85, 34.117024740203185)	(90, 34.09267664034489)	(95, 34.01223555390775)	(100, 33.93275318135646)	(105, 33.877065856575726)	(110, 33.80095458232713)	(115, 33.72653418325905)	(120, 33.67217118258649)	(125, 33.5889048237973)	(130, 33.51939137885639)	(135, 33.47034549996248)	(140, 33.34736296412258)	(145, 33.299325688708855)	(150, 33.24845896438717)
548_R2	(1, 35.073536120735106)	(2, 34.398029316027205)	(3, 34.66301233705935)	(4, 34.65305014675317)	(5, 34.548046663460546)	(6, 34.53665529131283)	(7, 34.61818772694299)	(8, 34.442337644928486)	(9, 34.46993554707022)	(10, 34.44407254370806)	(15, 34.334873988174614)	(20, 34.233415803608935)	(25, 34.15363995335102)	(30, 34.039123701302294)	(35, 33.96255521485649)	(40, 33.853496983011055)	(45, 33.78443276940489)	(50, 33.636988771507404)	(55, 33.547340467580774)	(60, 33.407108346793805)	(65, 33.34557455756682)	(70, 33.196225485667284)	(75, 33.05263671680653)	(80, 32.88159706384438)	(85, 32.74584184691802)	(90, 32.600017311640144)	(95, 32.446601843055625)	(100, 32.26487688087933)	(105, 32.07961131809016)	(110, 31.891749641285593)	(115, 31.675974482838786)	(120, 31.49910401217509)	(125, 31.299629607805247)	(130, 31.044631259303806)	(135, 30.882685193694122)	(140, 30.62283118579888)	(145, 30.363048083223664)	(150, 30.238642503565874)
549_R1	(1, 36.35070011230657)	(2, 35.65987702129528)	(3, 35.750854873240456)	(4, 35.776538189731085)	(5, 35.68030955942498)	(6, 35.587088806260375)	(7, 35.528244988041)	(8, 35.636331670055725)	(9, 35.584258632183335)	(10, 35.572004274823406)	(15, 35.526817501517336)	(20, 35.50655654658867)	(25, 35.44805450319262)	(30, 35.415880286053934)	(35, 35.35886087802187)	(40, 35.31318634165039)	(45, 35.27369090820434)	(50, 35.20545578047272)	(55, 35.15391996066471)	(60, 35.13335668980777)	(65, 35.098052002064556)	(70, 35.014699082342105)	(75, 34.91957695333424)	(80, 34.88292388884767)	(85, 34.81451611285978)	(90, 34.77126374752451)	(95, 34.68773523943279)	(100, 34.56775561113664)	(105, 34.52099536446621)	(110, 34.41236766242021)	(115, 34.355324656407745)	(120, 34.25592279212806)	(125, 34.18888392883012)	(130, 34.08324191434065)	(135, 34.04036063807263)	(140, 33.895988624313205)	(145, 33.82593009259121)	(150, 33.753408826643856)
549_R2	(1, 35.774656251145856)	(2, 35.51626308161974)	(3, 35.597403719059365)	(4, 35.602333866746164)	(5, 35.55170634706284)	(6, 35.48799112035423)	(7, 35.42630132039592)	(8, 35.49597868426482)	(9, 35.41513500804814)	(10, 35.357221137201094)	(15, 35.24823150836563)	(20, 35.14982971273295)	(25, 35.05898041015179)	(30, 34.91674919384953)	(35, 34.84874868237077)	(40, 34.72665767176137)	(45, 34.66637342799862)	(50, 34.480862477244344)	(55, 34.3883323661534)	(60, 34.21497366058846)	(65, 34.16876813112018)	(70, 34.08014795831399)	(75, 33.88533115751891)	(80, 33.684645095182766)	(85, 33.59981699688435)	(90, 33.39415768155357)	(95, 33.293754714402176)	(100, 33.06562115005743)	(105, 32.90347534599984)	(110, 32.694737890712624)	(115, 32.47022325652788)	(120, 32.29590606011033)	(125, 32.05568265300326)	(130, 31.83996612479716)	(135, 31.63799252419513)	(140, 31.37342426812295)	(145, 31.1006286341375)	(150, 30.952804746934362)
550_R1	(1, 36.13235771545232)	(2, 35.40902633101698)	(3, 35.53512669202945)	(4, 35.574785003883875)	(5, 35.47997705076307)	(6, 35.406553554066576)	(7, 35.316824857883454)	(8, 35.454740404393505)	(9, 35.39973632410466)	(10, 35.39664946752695)	(15, 35.35653841537614)	(20, 35.3477736375563)	(25, 35.29807841278865)	(30, 35.27821107841423)	(35, 35.232224543486325)	(40, 35.200762351444226)	(45, 35.17044058733395)	(50, 35.11935307229176)	(55, 35.077914103582565)	(60, 35.070222794376676)	(65, 35.04452543530651)	(70, 34.981861475695666)	(75, 34.90498278276159)	(80, 34.88295673406823)	(85, 34.828546183341864)	(90, 34.801595692003815)	(95, 34.73577981091436)	(100, 34.639122895712916)	(105, 34.60539613662269)	(110, 34.52118541898789)	(115, 34.478789417764496)	(120, 34.400007266951874)	(125, 34.34978301157546)	(130, 34.26524824400623)	(135, 34.2358078054831)	(140, 34.118509462248255)	(145, 34.06659120810111)	(150, 34.00933994342716)
550_R2	(1, 35.843885209554145)	(2, 35.501966753600065)	(3, 35.63230483823161)	(4, 35.67430378550647)	(5, 35.63513845802352)	(6, 35.597369569509034)	(7, 35.493740711511)	(8, 35.60074798082495)	(9, 35.52962570933432)	(10, 35.50572463804072)	(15, 35.42968951393271)	(20, 35.361125577287915)	(25, 35.30174587567586)	(30, 35.199225403805286)	(35, 35.15657442990771)	(40, 35.069723023395035)	(45, 35.031590257801305)	(50, 34.894664928601166)	(55, 34.827503131613966)	(60, 34.70025318764194)	(65, 34.67244310181977)	(70, 34.60946187254353)	(75, 34.46193423177103)	(80, 34.309313916198576)	(85, 34.24728552159871)	(90, 34.08997193615425)	(95, 34.016366025332275)	(100, 33.84294723535046)	(105, 33.71831407889649)	(110, 33.55573515403663)	(115, 33.37458279270451)	(120, 33.230714634488564)	(125, 33.03721652724894)	(130, 32.8561461933799)	(135, 32.69511477733554)	(140, 32.475758423501375)	(145, 32.24939261107304)	(150, 32.12819686236036)
551_R1	(1, 36.06431010236699)	(2, 35.358857572673486)	(3, 35.486261223447976)	(4, 35.54607336944565)	(5, 35.44792395073248)	(6, 35.38459428983122)	(7, 35.30990429500336)	(8, 35.41931174509742)	(9, 35.366017008711374)	(10, 35.3691161492621)	(15, 35.32957631333875)	(20, 35.308075626357606)	(25, 35.25656205499692)	(30, 35.234898867821144)	(35, 35.18572376140893)	(40, 35.15045898603834)	(45, 35.11471218601693)	(50, 35.06363234379468)	(55, 35.018408180505524)	(60, 35.01002034380406)	(65, 34.976885094661625)	(70, 34.9105420254156)	(75, 34.83101761515216)	(80, 34.80907682826157)	(85, 34.747315194658086)	(90, 34.71992368655731)	(95, 34.64971995977307)	(100, 34.55140564341229)	(105, 34.51443902089723)	(110, 34.42714470110577)	(115, 34.37943741202018)	(120, 34.30192611986321)	(125, 34.246048301115025)	(130, 34.161666740197134)	(135, 34.12911710111626)	(140, 34.008308516840856)	(145, 33.95680569937331)	(150, 33.899391796270265)
551_R2	(1, 35.74188115465255)	(2, 35.383945591715005)	(3, 35.49912372697548)	(4, 35.541526919590964)	(5, 35.4931570782389)	(6, 35.450372193687)	(7, 35.37851391550704)	(8, 35.45320509817288)	(9, 35.38382458072116)	(10, 35.358397338910336)	(15, 35.27266271769271)	(20, 35.19831220893825)	(25, 35.129770756476304)	(30, 35.022658270724286)	(35, 34.970929302764155)	(40, 34.87883223727729)	(45, 34.833914779692826)	(50, 34.689462175571386)	(55, 34.61671946095042)	(60, 34.4825962305407)	(65, 34.45073754889178)	(70, 34.376202574838764)	(75, 34.223442619937416)	(80, 34.0635420304936)	(85, 33.993382621944264)	(90, 33.83401833738734)	(95, 33.75190755049111)	(100, 33.57380252049121)	(105, 33.44242386495573)	(110, 33.27506634149338)	(115, 33.08936703568866)	(120, 32.944390591060156)	(125, 32.750623802517026)	(130, 32.56360557487601)	(135, 32.40576684053084)	(140, 32.18415969753052)	(145, 31.95751865556459)	(150, 31.83922709996119)
