Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
547_R1	(19.0, 1.0)	(20.0, 9.0)	(21.0, 130.0)	(22.0, 1271.0)	(23.0, 10234.0)	(24.0, 60997.0)	(25.0, 226861.0)	(26.0, 555481.0)	(27.0, 1039469.0)	(28.0, 1619824.0)	(29.0, 2250463.0)	(30.0, 3020440.0)	(31.0, 4134478.0)	(32.0, 5914885.0)	(33.0, 9069239.0)	(34.0, 15433007.0)	(35.0, 30449878.0)	(36.0, 40626679.0)	(37.0, 8486936.0)	(38.0, 69525.0)	
547_R2	(19.0, 41.0)	(20.0, 807.0)	(21.0, 8921.0)	(22.0, 60334.0)	(23.0, 249595.0)	(24.0, 660545.0)	(25.0, 1245482.0)	(26.0, 1896251.0)	(27.0, 2591186.0)	(28.0, 3295066.0)	(29.0, 4020152.0)	(30.0, 4886943.0)	(31.0, 6050089.0)	(32.0, 7689163.0)	(33.0, 10160046.0)	(34.0, 14291122.0)	(35.0, 22594186.0)	(36.0, 36768089.0)	(37.0, 6494215.0)	(38.0, 7574.0)	
548_R1	(19.0, 1.0)	(20.0, 28.0)	(21.0, 205.0)	(22.0, 1573.0)	(23.0, 11484.0)	(24.0, 66673.0)	(25.0, 247284.0)	(26.0, 609310.0)	(27.0, 1129272.0)	(28.0, 1753270.0)	(29.0, 2469655.0)	(30.0, 3445197.0)	(31.0, 4960842.0)	(32.0, 7486045.0)	(33.0, 11771780.0)	(34.0, 18680700.0)	(35.0, 26353776.0)	(36.0, 17357568.0)	(37.0, 1436415.0)	(38.0, 2840.0)	
548_R2	(18.0, 1.0)	(19.0, 188.0)	(20.0, 2720.0)	(21.0, 22532.0)	(22.0, 129108.0)	(23.0, 487318.0)	(24.0, 1218714.0)	(25.0, 2163385.0)	(26.0, 3052603.0)	(27.0, 3815881.0)	(28.0, 4489392.0)	(29.0, 5175761.0)	(30.0, 5962438.0)	(31.0, 6959153.0)	(32.0, 8250019.0)	(33.0, 10005201.0)	(34.0, 12443540.0)	(35.0, 15735102.0)	(36.0, 15981665.0)	(37.0, 1888778.0)	(38.0, 419.0)
549_R1	(20.0, 10.0)	(21.0, 158.0)	(22.0, 1698.0)	(23.0, 15137.0)	(24.0, 88575.0)	(25.0, 327809.0)	(26.0, 792283.0)	(27.0, 1435242.0)	(28.0, 2200329.0)	(29.0, 3051301.0)	(30.0, 4081147.0)	(31.0, 5512097.0)	(32.0, 7680087.0)	(33.0, 11294839.0)	(34.0, 17786803.0)	(35.0, 30047660.0)	(36.0, 42968225.0)	(37.0, 15282679.0)	(38.0, 149524.0)		
549_R2	(18.0, 1.0)	(19.0, 36.0)	(20.0, 1002.0)	(21.0, 13777.0)	(22.0, 105571.0)	(23.0, 450695.0)	(24.0, 1185624.0)	(25.0, 2161880.0)	(26.0, 3145593.0)	(27.0, 4080072.0)	(28.0, 4984454.0)	(29.0, 5891418.0)	(30.0, 6935595.0)	(31.0, 8263961.0)	(32.0, 10039288.0)	(33.0, 12534740.0)	(34.0, 16301101.0)	(35.0, 22545654.0)	(36.0, 34100550.0)	(37.0, 9964754.0)	(38.0, 9837.0)
550_R1	(20.0, 11.0)	(21.0, 126.0)	(22.0, 1169.0)	(23.0, 9346.0)	(24.0, 58789.0)	(25.0, 231410.0)	(26.0, 597821.0)	(27.0, 1136415.0)	(28.0, 1787561.0)	(29.0, 2488674.0)	(30.0, 3334373.0)	(31.0, 4533104.0)	(32.0, 6396091.0)	(33.0, 9612683.0)	(34.0, 16037433.0)	(35.0, 30920373.0)	(36.0, 42495132.0)	(37.0, 6471789.0)	(38.0, 47886.0)		
550_R2	(19.0, 31.0)	(20.0, 537.0)	(21.0, 5990.0)	(22.0, 42425.0)	(23.0, 182699.0)	(24.0, 507194.0)	(25.0, 1003155.0)	(26.0, 1598498.0)	(27.0, 2277748.0)	(28.0, 3010033.0)	(29.0, 3795532.0)	(30.0, 4763749.0)	(31.0, 6064817.0)	(32.0, 7923145.0)	(33.0, 10732572.0)	(34.0, 15432825.0)	(35.0, 24525591.0)	(36.0, 38784763.0)	(37.0, 5503987.0)	(38.0, 4895.0)	
551_R1	(19.0, 2.0)	(20.0, 8.0)	(21.0, 101.0)	(22.0, 955.0)	(23.0, 8312.0)	(24.0, 49937.0)	(25.0, 191911.0)	(26.0, 485160.0)	(27.0, 916327.0)	(28.0, 1437484.0)	(29.0, 2003733.0)	(30.0, 2705039.0)	(31.0, 3733487.0)	(32.0, 5387801.0)	(33.0, 8303157.0)	(34.0, 13947145.0)	(35.0, 25473326.0)	(36.0, 31437095.0)	(37.0, 4907698.0)	(38.0, 35201.0)	
551_R2	(18.0, 2.0)	(19.0, 28.0)	(20.0, 492.0)	(21.0, 5836.0)	(22.0, 42849.0)	(23.0, 186309.0)	(24.0, 516721.0)	(25.0, 1011459.0)	(26.0, 1574858.0)	(27.0, 2181999.0)	(28.0, 2806885.0)	(29.0, 3462037.0)	(30.0, 4246893.0)	(31.0, 5294307.0)	(32.0, 6752813.0)	(33.0, 8910565.0)	(34.0, 12381040.0)	(35.0, 18739330.0)	(36.0, 28571464.0)	(37.0, 4332026.0)	(38.0, 5966.0)
552_R1	(19.0, 2.0)	(20.0, 16.0)	(21.0, 175.0)	(22.0, 1423.0)	(23.0, 11567.0)	(24.0, 68719.0)	(25.0, 248738.0)	(26.0, 601463.0)	(27.0, 1111618.0)	(28.0, 1717631.0)	(29.0, 2337572.0)	(30.0, 3049012.0)	(31.0, 4045101.0)	(32.0, 5574516.0)	(33.0, 8190438.0)	(34.0, 13507145.0)	(35.0, 27852689.0)	(36.0, 50993079.0)	(37.0, 7612413.0)	(38.0, 50914.0)	
552_R2	(19.0, 11.0)	(20.0, 268.0)	(21.0, 2865.0)	(22.0, 19882.0)	(23.0, 85192.0)	(24.0, 238133.0)	(25.0, 480938.0)	(26.0, 808053.0)	(27.0, 1238568.0)	(28.0, 1749572.0)	(29.0, 2315764.0)	(30.0, 3029538.0)	(31.0, 4036436.0)	(32.0, 5564187.0)	(33.0, 8078544.0)	(34.0, 12794685.0)	(35.0, 23972983.0)	(36.0, 54596483.0)	(37.0, 7957387.0)	(38.0, 4742.0)	
553_R1	(19.0, 1.0)	(20.0, 9.0)	(21.0, 146.0)	(22.0, 1415.0)	(23.0, 11569.0)	(24.0, 66743.0)	(25.0, 246675.0)	(26.0, 603848.0)	(27.0, 1122622.0)	(28.0, 1745665.0)	(29.0, 2403400.0)	(30.0, 3153528.0)	(31.0, 4178336.0)	(32.0, 5702908.0)	(33.0, 8141333.0)	(34.0, 12282104.0)	(35.0, 20020730.0)	(36.0, 33457461.0)	(37.0, 13931570.0)	(38.0, 66354.0)	
553_R2	(18.0, 2.0)	(19.0, 45.0)	(20.0, 773.0)	(21.0, 8587.0)	(22.0, 60143.0)	(23.0, 248298.0)	(24.0, 645207.0)	(25.0, 1177309.0)	(26.0, 1737715.0)	(27.0, 2303482.0)	(28.0, 2882805.0)	(29.0, 3469108.0)	(30.0, 4154722.0)	(31.0, 5044625.0)	(32.0, 6265504.0)	(33.0, 8051672.0)	(34.0, 10907208.0)	(35.0, 16166177.0)	(36.0, 30631479.0)	(37.0, 13374819.0)	(38.0, 6737.0)
554_R1	(18.0, 1.0)	(19.0, 1.0)	(20.0, 15.0)	(21.0, 190.0)	(22.0, 1923.0)	(23.0, 15615.0)	(24.0, 92533.0)	(25.0, 345253.0)	(26.0, 840911.0)	(27.0, 1539656.0)	(28.0, 2360397.0)	(29.0, 3264047.0)	(30.0, 4383096.0)	(31.0, 6002851.0)	(32.0, 8590527.0)	(33.0, 13123894.0)	(34.0, 21869171.0)	(35.0, 39955675.0)	(36.0, 49344020.0)	(37.0, 9757210.0)	(38.0, 83861.0)
554_R2	(18.0, 2.0)	(19.0, 52.0)	(20.0, 998.0)	(21.0, 11920.0)	(22.0, 83646.0)	(23.0, 359601.0)	(24.0, 965001.0)	(25.0, 1833561.0)	(26.0, 2786121.0)	(27.0, 3778628.0)	(28.0, 4772236.0)	(29.0, 5806286.0)	(30.0, 7035314.0)	(31.0, 8659624.0)	(32.0, 10895437.0)	(33.0, 14191905.0)	(34.0, 19494084.0)	(35.0, 29280279.0)	(36.0, 43929243.0)	(37.0, 7678071.0)	(38.0, 8838.0)
555_R1	(20.0, 6.0)	(21.0, 107.0)	(22.0, 1210.0)	(23.0, 9993.0)	(24.0, 58571.0)	(25.0, 214284.0)	(26.0, 516850.0)	(27.0, 940557.0)	(28.0, 1456555.0)	(29.0, 2042741.0)	(30.0, 2764734.0)	(31.0, 3809710.0)	(32.0, 5442382.0)	(33.0, 8168753.0)	(34.0, 12893719.0)	(35.0, 21311023.0)	(36.0, 30736489.0)	(37.0, 15767781.0)	(38.0, 204662.0)		
555_R2	(18.0, 1.0)	(19.0, 47.0)	(20.0, 1163.0)	(21.0, 15075.0)	(22.0, 107607.0)	(23.0, 434675.0)	(24.0, 1083483.0)	(25.0, 1883092.0)	(26.0, 2599138.0)	(27.0, 3224329.0)	(28.0, 3795848.0)	(29.0, 4357718.0)	(30.0, 4993230.0)	(31.0, 5808537.0)	(32.0, 6899321.0)	(33.0, 8452105.0)	(34.0, 10854968.0)	(35.0, 15180120.0)	(36.0, 25076346.0)	(37.0, 11544124.0)	(38.0, 29200.0)
556_R1	(19.0, 3.0)	(20.0, 11.0)	(21.0, 120.0)	(22.0, 1106.0)	(23.0, 9437.0)	(24.0, 55083.0)	(25.0, 203841.0)	(26.0, 495510.0)	(27.0, 910932.0)	(28.0, 1407839.0)	(29.0, 1960127.0)	(30.0, 2651421.0)	(31.0, 3656291.0)	(32.0, 5256223.0)	(33.0, 8026857.0)	(34.0, 13285975.0)	(35.0, 24059414.0)	(36.0, 32266200.0)	(37.0, 10642380.0)	(38.0, 133903.0)	
556_R2	(19.0, 44.0)	(20.0, 903.0)	(21.0, 11347.0)	(22.0, 80279.0)	(23.0, 330851.0)	(24.0, 858512.0)	(25.0, 1548133.0)	(26.0, 2236915.0)	(27.0, 2885891.0)	(28.0, 3499433.0)	(29.0, 4114778.0)	(30.0, 4826833.0)	(31.0, 5750949.0)	(32.0, 7008603.0)	(33.0, 8827534.0)	(34.0, 11702453.0)	(35.0, 17127260.0)	(36.0, 27067016.0)	(37.0, 7128510.0)	(38.0, 16429.0)	
557_R1	(20.0, 7.0)	(21.0, 120.0)	(22.0, 1387.0)	(23.0, 11615.0)	(24.0, 66401.0)	(25.0, 233386.0)	(26.0, 551384.0)	(27.0, 992837.0)	(28.0, 1533851.0)	(29.0, 2169168.0)	(30.0, 2967224.0)	(31.0, 4086413.0)	(32.0, 5803618.0)	(33.0, 8643963.0)	(34.0, 13675272.0)	(35.0, 22721627.0)	(36.0, 36043507.0)	(37.0, 22686759.0)	(38.0, 255265.0)		
