Sample	Unique Reads	Duplicate Reads
547_R1	103455060.0	19514747.0
547_R2	103618882.0	19350925.0
548_R1	86537806.0	11246112.0
548_R2	86778754.0	11005164.0
549_R1	135226446.0	7489157.0
549_R2	135296301.0	7419302.0
550_R1	106728288.0	19431898.0
550_R2	106648140.0	19512046.0
551_R1	85668928.0	15354951.0
551_R2	85687579.0	15336300.0
552_R1	104980790.0	21993441.0
552_R2	104285736.0	22688495.0
553_R1	102042212.0	5094205.0
553_R2	102013120.0	5123297.0
554_R1	140808458.0	20762389.0
554_R2	141106994.0	20463853.0
555_R1	103380011.0	2960116.0
555_R2	103359751.0	2980376.0
556_R1	96774519.0	8248154.0
556_R2	96802310.0	8220363.0
557_R1	119761085.0	2682719.0
557_R2	119852360.0	2591444.0
558_R1	126931661.0	1721179.0
558_R2	126953382.0	1699458.0
559_R1	153015969.0	29739269.0
559_R2	152151227.0	30604011.0
560_R1	167067943.0	9146884.0
560_R2	167175548.0	9039279.0
561_R1	139361451.0	15161668.0
561_R2	139049962.0	15473157.0
562_R1	142755817.0	7489597.0
562_R2	142778853.0	7466561.0
563_R1	102025063.0	3955616.0
563_R2	102042215.0	3938464.0
564_R1	146426426.0	5843683.0
564_R2	146563089.0	5707020.0
