Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
547_R1	(1.0, 77.56692625846937)	(2.0, 9.491848863124797)	(3.0, 2.016302807152609)	(4.0, 1.1270694506890437)	(5.0, 0.8864155496449533)	(6.0, 0.8017020937039883)	(7.0, 0.7319387033055027)	(8.0, 0.652101401363589)	(9.0, 0.5431380353650658)	('>10', 4.673687505638447)	('>50', 0.9474536007388573)	('>100', 0.5496207091109077)	('>500', 0.010026805532084794)	('>1k', 0.0017682161608515844)	('>5k', 0.0)	('>10k+', 0.0)
547_R2	(1.0, 77.75742975297393)	(2.0, 9.379021627420094)	(3.0, 2.0123230869670423)	(4.0, 1.0980780199767335)	(5.0, 0.9374483490816033)	(6.0, 0.7866964294569975)	(7.0, 0.7619845068328304)	(8.0, 0.6340770311355023)	(9.0, 0.6172993602517584)	('>10', 4.542002835377266)	('>50', 0.9014753056774506)	('>100', 0.5589418861655662)	('>500', 0.009984777391913294)	('>1k', 0.0032370312912685635)	('>5k', 0.0)	('>10k+', 0.0)
548_R1	(1.0, 82.57928659366819)	(2.0, 9.396244559080378)	(3.0, 1.931601034760059)	(4.0, 0.7822389806635563)	(5.0, 0.4763893119329419)	(6.0, 0.34646029669914996)	(7.0, 0.282519716714958)	(8.0, 0.22853711592173506)	(9.0, 0.1825221126506842)	('>10', 2.407467687328009)	('>50', 0.7985309290510645)	('>100', 0.5704784610030903)	('>500', 0.016106411406952393)	('>1k', 0.0016167891191924968)	('>5k', 0.0)	('>10k+', 0.0)
548_R2	(1.0, 83.04422734817808)	(2.0, 9.018898335715825)	(3.0, 1.8356988787848132)	(4.0, 0.7912754584330747)	(5.0, 0.46940365220806135)	(6.0, 0.33145455086300407)	(7.0, 0.2935526097262862)	(8.0, 0.22453737362686568)	(9.0, 0.18052418044983834)	('>10', 2.455803784960021)	('>50', 0.759098733013676)	('>100', 0.5902507106224636)	('>500', 0.005274383417992796)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
549_R1	(1.0, 91.58032617817653)	(2.0, 4.9541611195579565)	(3.0, 1.0306030392793206)	(4.0, 0.47944863361926926)	(5.0, 0.37848679457764245)	(6.0, 0.2744491161816004)	(7.0, 0.21642994498895962)	(8.0, 0.152355975498151)	(9.0, 0.11330436371157847)	('>10', 0.7609618852005859)	('>50', 0.053210503102218705)	('>100', 0.0062624461062336725)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
549_R2	(1.0, 91.64014405578729)	(2.0, 4.975157110100729)	(3.0, 0.9675645290575274)	(4.0, 0.5124787399640244)	(5.0, 0.34043736439761557)	(6.0, 0.2794569392002704)	(7.0, 0.19137994982521878)	(8.0, 0.16438389766857686)	(9.0, 0.12232848438245933)	('>10', 0.7406964530859304)	('>50', 0.04808028045053463)	('>100', 0.01789219607975562)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
550_R1	(1.0, 77.49878533071076)	(2.0, 10.700523655130226)	(3.0, 2.372178074240932)	(4.0, 1.1835616882729663)	(5.0, 0.8360227087368985)	(6.0, 0.7143031844328169)	(7.0, 0.5064160320726759)	(8.0, 0.4605611414470907)	(9.0, 0.39764220818852547)	('>10', 3.0297248306063502)	('>50', 0.9772243302160487)	('>100', 1.3042837278186519)	('>500', 0.018773088126064714)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
550_R2	(1.0, 77.46783061741557)	(2.0, 10.660433427353622)	(3.0, 2.314193107054283)	(4.0, 1.128567780146683)	(5.0, 0.9020131828169011)	(6.0, 0.683281511904024)	(7.0, 0.5624551242172999)	(8.0, 0.4805796454612303)	(9.0, 0.40264539697843266)	('>10', 3.0581735634708727)	('>50', 1.0697466820840038)	('>100', 1.249867049700709)	('>500', 0.020212911396416483)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
551_R1	(1.0, 78.02384840507122)	(2.0, 10.101416207831083)	(3.0, 2.2346625114208223)	(4.0, 1.1843490540902284)	(5.0, 0.8809528154317504)	(6.0, 0.7383264685393365)	(7.0, 0.5945574454422852)	(8.0, 0.5067259658770951)	(9.0, 0.37572417517013523)	('>10', 2.900165652762241)	('>50', 1.037486353266186)	('>100', 1.4031930246366686)	('>500', 0.01859192046114208)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
551_R2	(1.0, 77.98484213767277)	(2.0, 10.187057273666978)	(3.0, 2.2947739460212175)	(4.0, 1.1544532491118789)	(5.0, 0.8850199325848993)	(6.0, 0.7523899771561362)	(7.0, 0.5675753997965)	(8.0, 0.5007556030656669)	(9.0, 0.3617248019620875)	('>10', 2.960245537905993)	('>50', 0.9351544621261835)	('>100', 1.4015344602792306)	('>500', 0.014473218650367062)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
