Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
547_R1	15.869543559358192	43.0	150.0	150	10.0	122.96980699999999
547_R2	15.736322767713887	43.0	150.0	150	10.0	122.96980699999999
548_R1	11.500984137935703	38.0	150.0	150	0.0	97.783918
548_R2	11.254575257502395	38.0	150.0	150	0.0	97.783918
549_R1	5.247609673577443	54.0	150.0	150	10.0	142.715603
549_R2	5.198662435228741	54.0	150.0	150	10.0	142.715603
550_R1	15.402560123496727	43.0	150.0	150	10.0	126.160186
550_R2	15.46608924806992	43.0	150.0	150	10.0	126.160186
551_R1	15.199328821028274	44.0	150.0	150	10.0	101.023879
551_R2	15.180866928397634	44.0	150.0	150	10.0	101.023879
552_R1	17.32118474149783	43.0	150.0	150	10.0	126.97423099999999
552_R2	17.868583067704193	42.0	150.0	150	10.0	126.97423099999999
553_R1	4.754878058568934	53.0	150.0	150	0.0	107.136417
553_R2	4.782031827125692	53.0	150.0	150	0.0	107.136417
554_R1	12.850331746639071	44.0	150.0	150	10.0	161.570847
554_R2	12.665560753540575	44.0	150.0	150	10.0	161.570847
555_R1	2.7836312030243704	54.0	150.0	150	10.0	106.340127
555_R2	2.8026832235738794	54.0	150.0	150	10.0	106.340127
556_R1	7.8536889526374125	48.0	150.0	150	10.0	105.022673
556_R2	7.827227033874536	48.0	150.0	150	10.0	105.022673
557_R1	2.1909799313740734	61.0	150.0	150	10.0	122.443804
557_R2	2.116435888321007	61.0	150.0	150	10.0	122.443804
558_R1	1.3378479969562136	61.0	150.0	150	10.0	128.65284
558_R2	1.3209644219916044	61.0	150.0	150	10.0	128.65284
559_R1	16.272731628123594	42.0	150.0	150	10.0	182.755238
559_R2	16.74590093368232	42.0	150.0	150	10.0	182.755238
560_R1	5.190757797215198	55.0	150.0	150	10.0	176.21482699999999
560_R2	5.1296930454033	55.0	150.0	150	10.0	176.21482699999999
561_R1	9.811909318785766	49.0	150.0	150	0.0	154.52311899999998
561_R2	10.013489974477423	49.0	150.0	150	0.0	154.52311899999998
562_R1	4.984909002793529	51.0	150.0	150	0.0	150.24541399999998
562_R2	4.96957682750714	51.0	150.0	150	0.0	150.24541399999998
563_R1	3.7323935639145276	55.0	150.0	150	10.0	105.980679
563_R2	3.7162094484241237	55.0	150.0	150	0.0	105.980679
564_R1	3.8377086987488838	53.0	150.0	150	0.0	152.270109
564_R2	3.747958344363383	53.0	150.0	150	10.0	152.270109
