Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
547	244927122.0	958512.0	2034.0	2354.0	49592.0	0.0
548	194279034.0	1234500.0	3140.0	1586.0	49576.0	0.0
549	283747192.0	1669780.0	2410.0	992.0	10832.0	0.0
550	251576030.0	721250.0	2006.0	1276.0	19810.0	0.0
551	201342146.0	682030.0	2022.0	728.0	20832.0	0.0
552	253444792.0	488452.0	2002.0	918.0	12298.0	0.0
553	213443402.0	817758.0	1642.0	770.0	9262.0	0.0
554	321759102.0	1323638.0	2696.0	1762.0	54496.0	0.0
555	211327912.0	1330774.0	1628.0	1248.0	18692.0	0.0
556	208804396.0	1201614.0	1720.0	1444.0	36172.0	0.0
557	242695082.0	2182132.0	1816.0	834.0	7744.0	0.0
558	256049586.0	1245742.0	1988.0	806.0	7558.0	0.0
559	364479000.0	996208.0	2730.0	2544.0	29994.0	0.0
560	350883060.0	1530396.0	2824.0	1736.0	11638.0	0.0
561	308423220.0	610530.0	2264.0	1758.0	8466.0	0.0
562	299122834.0	1340354.0	2278.0	3572.0	21790.0	0.0
563	210766172.0	1180206.0	2078.0	1102.0	11800.0	0.0
564	302799684.0	1719636.0	2444.0	2076.0	16378.0	0.0
