Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
547_R1 - polya	(1, 0.01016302310529742)	(2, 0.012864234774293392)	(3, 0.015505020305591146)	(4, 0.01809436196290258)	(5, 0.0207661771324778)	(6, 0.023282027541237347)	(7, 0.02580930992199386)	(8, 0.028128367098520023)	(9, 0.03058052509186794)	(10, 0.03424855496403538)	(12, 0.039260658115273975)	(14, 0.044086175152133616)	(16, 0.04911175169894007)	(18, 0.05400994341492324)	(20, 0.058755028363089976)	(22, 0.06341641494485041)	(24, 0.06831787293854699)	(26, 0.07315278052383273)	(28, 0.07797135672055136)	(30, 0.08275808670956417)	(32, 0.08738313595176284)	(34, 0.09205840421380529)	(36, 0.09688514610480745)	(38, 0.10162288192811901)	(40, 0.10627691938502426)	(42, 0.11099914038919709)	(44, 0.11595204225688)	(46, 0.12085676652829)	(48, 0.12580272755583188)	(50, 0.13054862907342699)	(52, 0.13515244751048844)	(54, 0.13999552079005773)	(56, 0.14478919161921153)	(58, 0.14962083292678383)	(60, 0.15438224926351768)	(62, 0.15904608555356314)	(64, 0.16390793992998456)	(66, 0.16874203094584192)	(68, 0.17355529944127623)	(70, 0.17833508859014807)	(72, 0.18320919150799478)	(74, 0.18823191006180195)	(76, 0.19351511426325418)	(78, 0.19841657225695078)	(80, 0.20326985265437447)	(82, 0.20818641718249561)	(84, 0.21314136047374943)	(86, 0.21832167692722898)	(88, 0.223376241688742)	(90, 0.22836017319470236)	(92, 0.23361724717444726)	(94, 0.23881430330120812)	(96, 0.2437945602447409)	(98, 0.2490459182384873)	(100, 0.2542458323582474)	(102, 0.25927875802990896)	(104, 0.2643120919862848)	(106, 0.2694728107734839)	(108, 0.27457514484655565)	(110, 0.27943618265354864)	(112, 0.2842323031909876)	(114, 0.2888206068089103)	(116, 0.2930712589682085)	(118, 0.2967874664366489)	(120, 0.29964750085945974)	(122, 0.30131330249330246)	(124, 0.30152806025295964)
547_R2 - polya	(1, 0.008650736523985285)	(2, 0.01108574655933776)	(3, 0.013431750526999619)	(4, 0.015775304786376416)	(5, 0.01814743897574561)	(6, 0.02049180980455076)	(7, 0.02281739953650376)	(8, 0.025025403270773745)	(9, 0.027245655546469044)	(10, 0.030854484135080802)	(12, 0.03566571120694424)	(14, 0.040247073984725955)	(16, 0.04495133046147498)	(18, 0.049592711092240734)	(20, 0.054165499891024725)	(22, 0.05874522952994973)	(24, 0.06348623163097471)	(26, 0.06821988460714448)	(28, 0.07292414108389353)	(30, 0.07761533244978888)	(32, 0.08229100899654551)	(34, 0.0869960820427229)	(36, 0.09175586524060002)	(38, 0.09660628764502446)	(40, 0.10143302953602665)	(42, 0.10628549336402196)	(44, 0.1113327090006798)	(46, 0.11642116139346953)	(48, 0.12145939476641546)	(50, 0.1264616990845138)	(52, 0.13145910398604202)	(54, 0.13654102382340488)	(56, 0.14168990235389284)	(58, 0.14687797621694176)	(60, 0.15210116256540995)	(62, 0.15739049103757485)	(64, 0.16279903864627943)	(66, 0.16819901227598633)	(68, 0.1736414475159676)	(70, 0.17913491834522108)	(72, 0.18454795708578162)	(74, 0.19014309080886518)	(76, 0.19609384051799703)	(78, 0.2017367435526393)	(80, 0.2075564338685203)	(82, 0.21344022488452707)	(84, 0.21923868439527083)	(86, 0.2252947715606604)	(88, 0.23119693538880517)	(90, 0.2371640164865041)	(92, 0.24334626362857437)	(94, 0.24974122710673097)	(96, 0.25578057459883924)	(98, 0.2620914314258753)	(100, 0.2682949093730828)	(102, 0.27449144648014934)	(104, 0.28081414356389656)	(106, 0.28718134368148907)	(108, 0.2935289461328011)	(110, 0.2998626669038311)	(112, 0.3061220798568809)	(114, 0.3120070957270302)	(116, 0.3173964539541685)	(118, 0.322270148587301)	(120, 0.32600309572902264)	(122, 0.32819191008172627)	(124, 0.3284911827772181)
548_R1 - polya	(1, 0.010054610421832755)	(2, 0.012811469919085557)	(3, 0.015494209220743809)	(4, 0.01816562460363067)	(5, 0.021020281581181837)	(6, 0.023838907908096764)	(7, 0.026609150218443026)	(8, 0.0291529141533615)	(9, 0.03183565345501975)	(10, 0.036170655450139824)	(12, 0.04222071641554487)	(14, 0.04807930020899733)	(16, 0.054111345849084266)	(18, 0.06013464118830239)	(20, 0.06606580100660785)	(22, 0.07189916334461494)	(24, 0.07776135020313103)	(26, 0.08403788954396386)	(28, 0.09020530748572694)	(30, 0.09626154513409821)	(32, 0.1022781490667696)	(34, 0.10841880138234576)	(36, 0.11461504384461785)	(38, 0.12087717092519618)	(40, 0.12698693982594128)	(42, 0.13308589953149552)	(44, 0.13929089229463637)	(46, 0.1456832444410857)	(48, 0.15200405000984307)	(50, 0.1582455881472007)	(52, 0.16440013799945083)	(54, 0.17076006256032752)	(56, 0.17703299883609674)	(58, 0.1834413074135421)	(60, 0.18964887379458556)	(62, 0.195825556760798)	(64, 0.20234092784299101)	(66, 0.2087935026483609)	(68, 0.21529960870610465)	(70, 0.22176762521889007)	(72, 0.2281985816338782)	(74, 0.23478858763524635)	(76, 0.24160816035352534)	(78, 0.2481677976636429)	(80, 0.2547943490392278)	(82, 0.2613591335851505)	(84, 0.26788531386253445)	(86, 0.27435590399322246)	(88, 0.2810431927513084)	(90, 0.287618786492422)	(92, 0.29435960650288184)	(94, 0.30129808036826045)	(96, 0.30809551997257717)	(98, 0.31494288776420415)	(100, 0.32171562063665604)	(102, 0.32854703199728696)	(104, 0.33539542923607496)	(106, 0.34239772882543773)	(108, 0.3494669424802679)	(110, 0.35597150436727)	(112, 0.36259033488914716)	(114, 0.3688730509129462)	(116, 0.37471722244614414)	(118, 0.3797620282587981)	(120, 0.38366878023492745)	(122, 0.3858331928910044)	(124, 0.386098275534971)
548_R2 - polya	(1, 0.006593609066431739)	(2, 0.008777066494987823)	(3, 0.0108411080528638)	(4, 0.012931915236926697)	(5, 0.015128755478576242)	(6, 0.017248387183148133)	(7, 0.019425667928738004)	(8, 0.0215833891782682)	(9, 0.02378331776140085)	(10, 0.02733799880845609)	(12, 0.03215787041642383)	(14, 0.03694685860956051)	(16, 0.041973649096896375)	(18, 0.04695462918556616)	(20, 0.052068922681590024)	(22, 0.057333000739544546)	(24, 0.06280605657118925)	(26, 0.06855140117692782)	(28, 0.07419740413162647)	(30, 0.07982127397236287)	(32, 0.08541117205678508)	(34, 0.09129806564716603)	(36, 0.09732650822218933)	(38, 0.10341054094390854)	(40, 0.10948633808833946)	(42, 0.11568978668073879)	(44, 0.12203478425778048)	(46, 0.12852081609588403)	(48, 0.13515766194307927)	(50, 0.14179965502607966)	(52, 0.1485070180038058)	(54, 0.15537034222642881)	(56, 0.16228359463636205)	(58, 0.16928743839646637)	(60, 0.17637415265303408)	(62, 0.18357616499163776)	(64, 0.1909145790790786)	(66, 0.19833689311014385)	(68, 0.2058878880363385)	(70, 0.21346616331230062)	(72, 0.2212889322890086)	(74, 0.2292918545188978)	(76, 0.2376952316944298)	(78, 0.24586389491724567)	(80, 0.25396461462743325)	(82, 0.26232321085146015)	(84, 0.27079659043394255)	(86, 0.2793142362443495)	(88, 0.28786945687613413)	(90, 0.2965785798584936)	(92, 0.305457561622424)	(94, 0.31452184387534066)	(96, 0.32348935809512)	(98, 0.33240334106252556)	(100, 0.34161431953588983)	(102, 0.3508361072044449)	(104, 0.36020356164628653)	(106, 0.36976866994304697)	(108, 0.379438781850233)	(110, 0.3888510172435797)	(112, 0.3980820699365841)	(114, 0.4070557608393297)	(116, 0.41545296133189547)	(118, 0.4227656392403104)	(120, 0.42842245139019997)	(122, 0.4316832252727796)	(124, 0.4321372114707962)
550_R1 - polya	(1, 0.006541958707274298)	(2, 0.008438005798883146)	(3, 0.010215599634035087)	(4, 0.011933569346809392)	(5, 0.013801791847975342)	(6, 0.015498296876693698)	(7, 0.017122457970260522)	(8, 0.01863373072545902)	(9, 0.020152158375342833)	(10, 0.022645241679026415)	(12, 0.026162667405157797)	(14, 0.029327913315111934)	(16, 0.03265931177942509)	(18, 0.035808657923411855)	(20, 0.03906930242917022)	(22, 0.04224210072795886)	(24, 0.045585026522598354)	(26, 0.04888621543157351)	(28, 0.0519870672893598)	(30, 0.05512766856206452)	(32, 0.05821659559537529)	(34, 0.06138859890586555)	(36, 0.06462618875097123)	(38, 0.06780932189763866)	(40, 0.07087042434050653)	(42, 0.07395060650253524)	(44, 0.07718899133593929)	(46, 0.08036337961132466)	(48, 0.08359818699738604)	(50, 0.0867852950855453)	(52, 0.08986030982363463)	(54, 0.09302833819263306)	(56, 0.0962265761169695)	(58, 0.09945939603228496)	(60, 0.10266598133375425)	(62, 0.10580737759475733)	(64, 0.10921390245326631)	(66, 0.1124439399095375)	(68, 0.1156576801056921)	(70, 0.11888851255026164)	(72, 0.12212530740706895)	(74, 0.1254416010937131)	(76, 0.1289252398171638)	(78, 0.1320113843914303)	(80, 0.13517384784234016)	(82, 0.13841938757042951)	(84, 0.14156197631388012)	(86, 0.14475902175576902)	(88, 0.14810393502115443)	(90, 0.15137888931628343)	(92, 0.15491459977327726)	(94, 0.1582797852402711)	(96, 0.16140210178211334)	(98, 0.16459556977665957)	(100, 0.16786575414199834)	(102, 0.17110254899880567)	(104, 0.17431946914815374)	(106, 0.17757375374752515)	(108, 0.18080577867454226)	(110, 0.18401156898771318)	(112, 0.18717124997957874)	(114, 0.19013099141440462)	(116, 0.19292855523636335)	(118, 0.19519625935745946)	(120, 0.1970243349495578)	(122, 0.1981520258507935)	(124, 0.19828439140247184)
550_R2 - polya	(1, 0.00609358530699447)	(2, 0.007858459329372515)	(3, 0.00954065456872024)	(4, 0.011189460299536486)	(5, 0.012936844579350425)	(6, 0.014603935041029147)	(7, 0.01618119182499223)	(8, 0.01776083357385042)	(9, 0.019267336399258705)	(10, 0.02171272040504018)	(12, 0.025131170088024683)	(14, 0.028384262204948538)	(16, 0.03167352628944817)	(18, 0.034839964681849855)	(20, 0.03803462515884363)	(22, 0.041282947345977275)	(24, 0.04468470227469604)	(26, 0.04798271123047772)	(28, 0.0512226860404785)	(30, 0.054471008227612146)	(32, 0.05772847278017703)	(34, 0.0610948507296184)	(36, 0.06451687785994556)	(38, 0.06784907131255707)	(40, 0.07120034448432944)	(42, 0.07454327027896894)	(44, 0.07804280876838704)	(46, 0.08156897936580047)	(48, 0.0851484141792046)	(50, 0.08861098571274854)	(52, 0.09204255270265613)	(54, 0.09549876432981314)	(56, 0.09900029028997714)	(58, 0.10260635721137662)	(60, 0.10621639907426793)	(62, 0.10976403435573731)	(64, 0.11349769689902492)	(66, 0.11711171370340806)	(68, 0.12074441273280288)	(70, 0.12435167213664991)	(72, 0.1280177606745762)	(74, 0.13177090043117384)	(76, 0.13565640573944981)	(78, 0.13935628128005678)	(80, 0.14308080145791313)	(82, 0.1469877714502451)	(84, 0.15086890432288005)	(86, 0.15487723532325398)	(88, 0.15890305606619198)	(90, 0.16284540303780132)	(92, 0.16702505401647366)	(94, 0.17117608541640472)	(96, 0.1750548333241446)	(98, 0.17916333285011293)	(100, 0.18340419792775964)	(102, 0.18753734209097744)	(104, 0.19167287121909032)	(106, 0.19584695727967405)	(108, 0.19989185774177293)	(110, 0.20395583792303265)	(112, 0.20818716314109892)	(114, 0.2120635260839437)	(116, 0.2156835053005646)	(118, 0.21885630359935326)	(120, 0.2213398470434564)	(122, 0.22286185214068288)	(124, 0.22306974158070625)
551_R1 - polya	(1, 0.005433537000246337)	(2, 0.006995058054064846)	(3, 0.008446319033472505)	(4, 0.009932346703009711)	(5, 0.011510754434891144)	(6, 0.012988835432398739)	(7, 0.014444069747821205)	(8, 0.01593009741735841)	(9, 0.017185671598036904)	(10, 0.019324319708005896)	(12, 0.022408125122496708)	(14, 0.025293760403249106)	(16, 0.02818684568902926)	(18, 0.030968180899393016)	(20, 0.033803652812958496)	(22, 0.036615781377437)	(24, 0.0394681399690654)	(26, 0.04230857855264938)	(28, 0.045083457091989076)	(30, 0.047786815583062275)	(32, 0.05047527406407995)	(34, 0.053211909244277156)	(36, 0.05606873783892221)	(38, 0.05881232635714531)	(40, 0.06143472812691685)	(42, 0.06415546996305482)	(44, 0.0671672586622773)	(46, 0.06998733389878539)	(48, 0.07292263587972286)	(50, 0.0758350911785752)	(52, 0.0786482130770574)	(54, 0.0814350116244415)	(56, 0.08426502020098664)	(58, 0.08717896550084453)	(60, 0.08999606073534153)	(62, 0.09271332590246653)	(64, 0.09567544790150394)	(66, 0.09851439648408236)	(68, 0.10119242495806119)	(70, 0.1038744267680548)	(72, 0.10666817865346484)	(74, 0.10967251734765954)	(76, 0.11258795264852298)	(78, 0.11528982113859063)	(80, 0.1180497996678748)	(82, 0.12097268497376601)	(84, 0.12377984686822599)	(86, 0.1266942888350857)	(88, 0.1295357207526734)	(90, 0.13240993269238324)	(92, 0.13553446480102582)	(94, 0.1385085068081076)	(96, 0.1411870319490883)	(98, 0.14394254047535582)	(100, 0.1468838024603155)	(102, 0.1498548644653862)	(104, 0.15275837975820522)	(106, 0.15561222835083918)	(108, 0.15840747023725477)	(110, 0.16122555880575545)	(112, 0.16417476746274473)	(114, 0.16673210585527384)	(116, 0.16920650085849387)	(118, 0.17129498560127593)	(120, 0.17303580344276254)	(122, 0.17408774415268227)	(124, 0.1741930375570746)
551_R2 - polya	(1, 0.005615317122923682)	(2, 0.007276171577112325)	(3, 0.008893319335138108)	(4, 0.01052338043521201)	(5, 0.012207081571485784)	(6, 0.013721915927130329)	(7, 0.015246683622811888)	(8, 0.0168111846786415)	(9, 0.01824754564799364)	(10, 0.02056449721162702)	(12, 0.023709392667345466)	(14, 0.026732604707610498)	(16, 0.02991028018545109)	(18, 0.03301643561502518)	(20, 0.03605007766232908)	(22, 0.03918652977901606)	(24, 0.042376125264901074)	(26, 0.045664557484154364)	(28, 0.04893113635532622)	(30, 0.05212073184121123)	(32, 0.05518367724162431)	(34, 0.05838916607156854)	(36, 0.061633394927657126)	(38, 0.06486620044270314)	(40, 0.0680210292384586)	(42, 0.07125929809052498)	(44, 0.07475881378556479)	(46, 0.07807654935792727)	(48, 0.08143153495542856)	(50, 0.08478453388492244)	(52, 0.08819762952164024)	(54, 0.0916102284913562)	(56, 0.09513060420047376)	(58, 0.09867481992568014)	(60, 0.10218923563077548)	(62, 0.105636601290621)	(64, 0.10931789710833817)	(66, 0.11298876291901647)	(68, 0.11659506201945419)	(70, 0.12019291778086044)	(72, 0.12384491024546843)	(74, 0.12775119621502395)	(76, 0.13164009883951472)	(78, 0.13526576795302458)	(80, 0.13897438045584354)	(82, 0.14287073308536208)	(84, 0.14667420898553452)	(86, 0.15057155494905672)	(88, 0.15446592091056782)	(90, 0.15837916021814927)	(92, 0.16248113298643396)	(94, 0.16661638244384264)	(96, 0.17050478840133154)	(98, 0.17457497448149778)	(100, 0.1786555905687029)	(102, 0.182702929966784)	(104, 0.18686251610728338)	(106, 0.19086565214219978)	(108, 0.1948384914900033)	(110, 0.19895288093333424)	(112, 0.20307273371368556)	(114, 0.20686180627080433)	(116, 0.2103787053109089)	(118, 0.21328818060775015)	(120, 0.21565330887056305)	(122, 0.21715820988617057)	(124, 0.2173593600219201)
552_R1 - polya	(1, 0.003622879731535379)	(2, 0.0048270867605754554)	(3, 0.005956326772735578)	(4, 0.007043743080741623)	(5, 0.008242426224327387)	(6, 0.009352727200644154)	(7, 0.010399898057483066)	(8, 0.01146442969717839)	(9, 0.012408224983372315)	(10, 0.014004627879668562)	(12, 0.01626271334074207)	(14, 0.01829865969390288)	(16, 0.020482172701343178)	(18, 0.022585983932942682)	(20, 0.024713074396099644)	(22, 0.026822804076400197)	(24, 0.02903669845383921)	(26, 0.03122297340400666)	(28, 0.033417928745602316)	(30, 0.0354546642252566)	(32, 0.0373363363489434)	(34, 0.03931625472106762)	(36, 0.04130169697864614)	(38, 0.04333961614804063)	(40, 0.04523667623835016)	(42, 0.04720160120709839)	(44, 0.049404842376875514)	(46, 0.05136463802341616)	(48, 0.05347712964644387)	(50, 0.055487823951813536)	(52, 0.05743302075822493)	(54, 0.05930167229476943)	(56, 0.06122950831832441)	(58, 0.06333174129693697)	(60, 0.06536966046633146)	(62, 0.06728802697196476)	(64, 0.06930503428928222)	(66, 0.07129126567335423)	(68, 0.07323448966353194)	(70, 0.0751923124938389)	(72, 0.07719748291375425)	(74, 0.0792910355009386)	(76, 0.08131672320968426)	(78, 0.08322483107090242)	(80, 0.08517594632601486)	(82, 0.08726042395852426)	(84, 0.0892577031135049)	(86, 0.09116738922770999)	(88, 0.09312797400074412)	(90, 0.09514024655910072)	(92, 0.09732375956654102)	(94, 0.09943782944255569)	(96, 0.10123269765196044)	(98, 0.10312107735084175)	(100, 0.10510217941270618)	(102, 0.10727780115521174)	(104, 0.1093421560621376)	(106, 0.11120567827647451)	(108, 0.11310313293003077)	(110, 0.11497730835202957)	(112, 0.11693986594129738)	(114, 0.11879155125823221)	(116, 0.1204704178730964)	(118, 0.12195871043978682)	(120, 0.12319487709181257)	(122, 0.12401004475957036)	(124, 0.12410039974307303)
552_R2 - polya	(1, 0.00579297758858663)	(2, 0.00748170828461924)	(3, 0.009147554312341127)	(4, 0.010792883051232712)	(5, 0.012618921757129656)	(6, 0.01430133944121448)	(7, 0.015854340380369703)	(8, 0.017401817434070613)	(9, 0.01888142960933283)	(10, 0.02129418386312708)	(12, 0.024559983856365847)	(14, 0.02767624437909144)	(16, 0.0309732148688224)	(18, 0.03419758572115382)	(20, 0.03740341210088862)	(22, 0.04057846254737797)	(24, 0.04382966370048748)	(26, 0.04714083846710096)	(28, 0.05039046136722351)	(30, 0.05357498133163455)	(32, 0.05657721307605326)	(34, 0.059799611112151)	(36, 0.06302792759694979)	(38, 0.0662574277714888)	(40, 0.0694115663659011)	(42, 0.0725365072800549)	(44, 0.07591633605160053)	(46, 0.07915372749107427)	(48, 0.08252605956093191)	(50, 0.0857381989526145)	(52, 0.0888868136615725)	(54, 0.09208987809858014)	(56, 0.09540578762415446)	(58, 0.09877733056751863)	(60, 0.10207469562049631)	(62, 0.10532944784282645)	(64, 0.10880515548332909)	(66, 0.11224535243162542)	(68, 0.11558335749901699)	(70, 0.11894424723471927)	(72, 0.12230553153366829)	(74, 0.12587514522689422)	(76, 0.12951025641907843)	(78, 0.13283050614036684)	(80, 0.13642063712242308)	(82, 0.14014531417161652)	(84, 0.143661661826533)	(86, 0.14715828131911268)	(88, 0.15074091559948094)	(90, 0.15430303259101888)	(92, 0.15816856871929724)	(94, 0.16203213203134195)	(96, 0.1654810093710665)	(98, 0.16916978116480688)	(100, 0.1729094516173763)	(102, 0.17672606190305934)	(104, 0.18044758244627887)	(106, 0.18405191770521762)	(108, 0.18757418380883517)	(110, 0.19116747129686532)	(112, 0.19482586172060698)	(114, 0.19815321358033666)	(116, 0.2012580317689069)	(118, 0.2038933196938606)	(120, 0.20606065560818468)	(122, 0.20740177608384236)	(124, 0.20756236332526415)
