Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
547_R1	(1, 5.63432905564456e-05)	(2, 5.471015169973703e-05)	(3, 4.736102684454848e-05)	(4, 3.919533256100564e-05)	(5, 4.164504084606849e-05)	(6, 6.369241541163417e-05)	(7, 6.450898483998845e-05)	(8, 7.430781798023985e-05)	(9, 0.0001339173862501026)	(10, 0.00017842042009541108)	(12, 0.00014820735124630258)	(14, 0.0001649470245275654)	(16, 0.022546706771004316)	(18, 0.00012371026839567403)	(20, 5.062730455796562e-05)	(22, 7.349124855188557e-05)	(24, 5.63432905564456e-05)	(26, 7.96155192645427e-05)	(28, 5.021901984378847e-05)	(30, 4.205332556024563e-05)	(32, 4.5319603273662766e-05)	(34, 3.347934656252565e-05)	(36, 2.9396499420754227e-05)	(38, 2.0822520423034245e-05)	(40, 2.694679113569137e-05)	(42, 2.1230805137211386e-05)	(44, 3.511248541923421e-05)	(46, 3.6745624275942783e-05)	(48, 3.429591599087994e-05)	(50, 3.307154888741491e-05)	(52, 1.1024453957876762e-05)	(54, 2.654161791634996e-05)	(56, 2.041747021492299e-05)	(58, 1.7151304685454667e-05)	(60, 4.002102557667786e-05)	(62, 3.55299464051178e-05)	(64, 4.655778013484481e-05)	(66, 1.9195369874213927e-05)	(68, 2.5322217974215947e-05)	(70, 3.5125303803245364e-05)	(72, 1.91969165994247e-05)	(74, 2.859196004948353e-05)	(76, 3.186048011464283e-05)	(78, 3.717165197340706e-05)	(80, 4.370870466941644e-05)	(82, 2.6144387001504257e-05)	(84, 2.2468584578237602e-05)	(86, 3.67680753880852e-05)	(88, 8.824661910043161e-05)	(90, 5.6382019955239294e-05)	(92, 0.001232284505728172)	(94, 0.0023874560550059417)	(96, 1.7570702391811044e-05)	(98, 1.757162216692174e-05)	(100, 3.3102008325817137e-05)	(102, 3.759988644834293e-05)	(104, 4.046371416432314e-05)	(106, 0.00403934409439616)	(108, 0.002028853169999275)	(110, 1.7171252577420342e-05)	(112, 1.7173356392953038e-05)	(114, 5.4798782999183035e-05)	(116, 8.916587791676312e-05)	(118, 3.886501824469189e-05)	(120, 5.319702019755818e-05)	(122, 6.71314762758509e-05)	(124, 3.972960766275183e-05)	(126, 2.707146880068594e-05)	(128, 0.0050586511410169255)	(130, 0.010083940230016006)	(132, 2.141317826535557e-05)	(134, 0.0002830169149982178)	(136, 0.0005513877837094135)
547_R2	(1, 8.165694283542841e-07)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 1.6331388567085683e-06)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 4.0828471417714207e-07)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 8.165694283542841e-07)	(20, 0.0)	(22, 0.0)	(24, 4.0828471417714207e-07)	(26, 0.0)	(28, 0.0)	(30, 4.0828471417714207e-07)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 4.0828471417714207e-07)	(40, 0.0)	(42, 0.0)	(44, 8.165694283542841e-07)	(46, 0.0)	(48, 4.0828471417714207e-07)	(50, 4.082907170030436e-07)	(52, 0.0)	(54, 0.0)	(56, 8.166991754454034e-07)	(58, 4.083647007788511e-07)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 4.084347944245367e-07)	(72, 8.168923135628729e-07)	(74, 0.0)	(76, 4.084690268802193e-07)	(78, 0.0)	(80, 0.0)	(82, 4.0850794763854607e-07)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.009005650540088365)	(94, 0.004467693503133962)	(96, 4.086260918964203e-07)	(98, 0.0)	(100, 4.0867347161669357e-07)	(102, 0.0)	(104, 1.6349359322765394e-06)	(106, 0.0002297282048002256)	(108, 0.00046113750021784455)	(110, 0.007931001837667668)	(112, 0.003940260691916402)	(114, 4.089706802621171e-07)	(116, 0.0)	(118, 8.18295024463073e-07)	(120, 8.185210255726308e-07)	(122, 1.6376304417681706e-06)	(124, 0.0)	(126, 4.1040699215974075e-07)	(128, 0.0)	(130, 0.0)	(132, 2.5557539686293816e-05)	(134, 1.3196381669264177e-05)	(136, 0.0)
548_R1	(1, 2.8824520508991205e-05)	(2, 2.8824520508991205e-05)	(3, 3.2942309153132806e-05)	(4, 2.8824520508991205e-05)	(5, 2.4706731864849608e-05)	(6, 2.8824520508991205e-05)	(7, 4.632512224659301e-05)	(8, 5.250180521280541e-05)	(9, 8.441466720490281e-05)	(10, 0.00010191526894250461)	(12, 8.081160214127892e-05)	(14, 8.287049646334972e-05)	(16, 0.01156635357781324)	(18, 5.919321175953551e-05)	(20, 4.735456940762841e-05)	(22, 5.0957634471252304e-05)	(24, 4.4780951505039915e-05)	(26, 5.456069953487621e-05)	(28, 4.7869292988146106e-05)	(30, 4.992818731021691e-05)	(32, 3.860426853882751e-05)	(34, 2.6250902606402707e-05)	(36, 2.4192008284331905e-05)	(38, 1.9559496059672604e-05)	(40, 2.0074219640190307e-05)	(42, 1.8015325318119505e-05)	(44, 2.1618390381743406e-05)	(46, 2.0074219640190307e-05)	(48, 1.8015325318119505e-05)	(50, 2.573668176004663e-05)	(52, 1.2354501232029471e-05)	(54, 2.1106991266658035e-05)	(56, 1.750439770963605e-05)	(58, 1.1841846517456586e-05)	(60, 2.8833693967328047e-05)	(62, 2.6260409413891294e-05)	(64, 2.3686822025545733e-05)	(66, 1.3903643916432797e-05)	(68, 1.750888668693468e-05)	(70, 2.5234198597180435e-05)	(72, 1.9570027542856763e-05)	(74, 1.6480575136639033e-05)	(76, 1.5966071829544238e-05)	(78, 2.2147262950852796e-05)	(80, 2.9359032671586575e-05)	(82, 1.4937580666476835e-05)	(84, 1.8543889688416704e-05)	(86, 2.1120192879903914e-05)	(88, 4.842364674001836e-05)	(90, 4.533450852743393e-05)	(92, 0.0008206896679276832)	(94, 0.0016599906140977623)	(96, 4.9461569087285976e-05)	(98, 2.164027793639443e-05)	(100, 2.26717349398827e-05)	(102, 0.002365696252155374)	(104, 0.0012032591162079826)	(106, 0.0019567461596382983)	(108, 0.0009900240568630652)	(110, 1.855447602407101e-05)	(112, 2.422557960807404e-05)	(114, 5.464059309662705e-05)	(116, 7.06278952378389e-05)	(118, 2.7842660916916575e-05)	(120, 3.30040624597344e-05)	(122, 2.7337690816824e-05)	(124, 2.5805435378209367e-05)	(126, 9.305071803827252e-05)	(128, 0.0037212146885168217)	(130, 0.00713051290525019)	(132, 9.860314938251543e-06)	(134, 0.0001806147440798068)	(136, 0.00033633930357396946)
548_R2	(1, 0.0)	(2, 0.0)	(3, 1.0294471610354002e-06)	(4, 1.0294471610354002e-06)	(5, 1.0294471610354002e-06)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.02882452050899121)	(12, 0.0)	(14, 1.0294471610354002e-06)	(16, 0.0)	(18, 1.5441707415531005e-06)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 5.147235805177001e-07)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 5.147235805177001e-07)	(48, 5.147235805177001e-07)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 1.0297758874021625e-06)	(62, 5.149105532400829e-07)	(64, 0.0)	(66, 5.149505622485139e-07)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 5.150914798347454e-07)	(84, 0.0)	(86, 0.0)	(88, 1.030298386467212e-06)	(90, 1.0303394315706996e-06)	(92, 0.005056598014723464)	(94, 0.0025199021651462063)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0006771089962602714)	(104, 0.0019288830457709516)	(106, 0.00040971062628057116)	(108, 0.00024378119455475684)	(110, 0.003985847124336035)	(112, 0.0019917953187830522)	(114, 0.0)	(116, 0.0)	(118, 0.0002960016194073266)	(120, 0.00014803092843714005)	(122, 1.5478081566084676e-06)	(124, 0.00027313764196793634)	(126, 0.0005494310548303324)	(128, 0.0)	(130, 0.0)	(132, 1.662891081127857e-05)	(134, 8.834852666411024e-06)	(136, 0.0)
549_R1	(1, 5.4273664847404026e-05)	(2, 4.722513694514376e-05)	(3, 5.286395926695197e-05)	(4, 4.1586314623335554e-05)	(5, 4.2996020203787604e-05)	(6, 6.97804262323766e-05)	(7, 6.484645670079442e-05)	(8, 7.54192485541848e-05)	(9, 0.00011630071038729434)	(10, 0.00018713841580500997)	(12, 0.00014625695397190043)	(14, 0.0001508384971083696)	(16, 0.02216444841505251)	(18, 0.00010608034492901695)	(20, 5.63882232180821e-05)	(22, 6.484645670079442e-05)	(24, 6.590373588613345e-05)	(26, 8.634446680268822e-05)	(28, 6.484645670079442e-05)	(30, 4.616785775980472e-05)	(32, 5.3568812057178e-05)	(34, 3.277565474551022e-05)	(36, 2.6079553238362974e-05)	(38, 2.0793157311667777e-05)	(40, 3.348050753573625e-05)	(42, 2.819411160904105e-05)	(44, 2.8546538004154066e-05)	(46, 3.841447706731843e-05)	(48, 3.4185360325962277e-05)	(50, 3.383302979701718e-05)	(52, 1.4449667004428222e-05)	(54, 1.938387083685249e-05)	(56, 2.2908399348408995e-05)	(58, 1.5507343319160186e-05)	(60, 4.158816973055465e-05)	(62, 3.912133233808664e-05)	(64, 4.440827746607553e-05)	(66, 2.0442037058579497e-05)	(68, 2.4319144489433766e-05)	(70, 3.454047670524342e-05)	(72, 2.1147379705368645e-05)	(74, 2.784426055139221e-05)	(76, 2.2910017041563306e-05)	(78, 2.572992801002294e-05)	(80, 4.018135962406743e-05)	(82, 2.855020836470772e-05)	(84, 2.608318221477757e-05)	(86, 3.947772033436572e-05)	(88, 7.966138384915002e-05)	(90, 5.216836909679479e-05)	(92, 0.001417732147717284)	(94, 0.0027868639907372055)	(96, 1.5157744300775387e-05)	(98, 1.7625617902168076e-05)	(100, 3.10217108333927e-05)	(102, 3.983557510323654e-05)	(104, 5.640567326851593e-05)	(106, 0.0038208781355209)	(108, 0.0019143717723731583)	(110, 1.6923178152972393e-05)	(112, 1.9391839545121883e-05)	(114, 6.840289286975861e-05)	(116, 0.00010648754080081586)	(118, 4.231512330447091e-05)	(120, 5.9950003248937523e-05)	(122, 7.018190253347569e-05)	(124, 5.22029179907396e-05)	(126, 3.634423207227599e-05)	(128, 0.006437208975092565)	(130, 0.012827439194785666)	(132, 2.2255118270074753e-05)	(134, 0.00035258074941751927)	(136, 0.0006903732990459705)
549_R2	(1, 7.048527902260263e-07)	(2, 0.0)	(3, 1.4097055804520525e-06)	(4, 7.048527902260263e-07)	(5, 0.0)	(6, 7.048527902260263e-07)	(7, 0.0)	(8, 7.048527902260263e-07)	(9, 7.048527902260263e-07)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 7.048527902260263e-07)	(20, 0.0)	(22, 3.5242639511301313e-07)	(24, 0.0)	(26, 0.0)	(28, 3.5242639511301313e-07)	(30, 3.5242639511301313e-07)	(32, 0.0)	(34, 0.0)	(36, 3.5242639511301313e-07)	(38, 0.0)	(40, 7.048527902260263e-07)	(42, 7.048527902260263e-07)	(44, 1.7621319755650657e-06)	(46, 3.5242639511301313e-07)	(48, 0.0)	(50, 0.0)	(52, 7.048619069442579e-07)	(54, 0.0)	(56, 7.048740621073488e-07)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 7.048985401466646e-07)	(68, 3.5245176195393903e-07)	(70, 0.0)	(72, 0.0)	(74, 3.5245957819089817e-07)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 7.04962107017816e-07)	(88, 1.4099425376156365e-06)	(90, 0.0)	(92, 0.009737362219356066)	(94, 0.004859243370651653)	(96, 0.0)	(98, 0.0)	(100, 3.525227071332653e-07)	(102, 0.0)	(104, 1.7626992566256562e-06)	(106, 0.00025877132919155366)	(108, 0.0005172062825184637)	(110, 0.008018577601925744)	(112, 0.004005039446042152)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 1.0581182861050055e-06)	(124, 1.41115349048075e-06)	(126, 0.0)	(128, 0.0)	(130, 7.071507351051107e-07)	(132, 1.6619389630426608e-05)	(134, 8.133617081048523e-06)	(136, 0.0)
550_R1	(1, 6.200908727274217e-05)	(2, 5.6444169184162736e-05)	(3, 5.087925109558331e-05)	(4, 5.246922769232029e-05)	(5, 4.610932130537238e-05)	(6, 7.472890004663799e-05)	(7, 7.234393515153251e-05)	(8, 7.631887664337497e-05)	(9, 0.0001423029054079596)	(10, 0.00017688489638698887)	(12, 0.00014389288200469656)	(14, 0.000147867823496539)	(16, 0.021974669049352597)	(18, 0.00011050337347322001)	(20, 4.889178034966209e-05)	(22, 6.518904046621613e-05)	(24, 4.610932130537238e-05)	(26, 7.631887664337497e-05)	(28, 5.5251686736610005e-05)	(30, 5.5251686736610005e-05)	(32, 4.412185055945115e-05)	(34, 3.5774473426582015e-05)	(36, 2.384964895105468e-05)	(38, 2.146468405594921e-05)	(40, 3.020955533800259e-05)	(42, 2.5042131398607413e-05)	(44, 3.4979485128213526e-05)	(46, 4.2134379813529925e-05)	(48, 2.4644637249423165e-05)	(50, 3.974965334426693e-05)	(52, 1.590020471831579e-05)	(54, 2.3850755234760777e-05)	(56, 2.3056143039993405e-05)	(58, 1.5901049992046495e-05)	(60, 2.7429749796993016e-05)	(62, 3.9753866321899936e-05)	(64, 4.7705311695454886e-05)	(66, 1.6697096595144758e-05)	(68, 2.663624801842217e-05)	(70, 3.458793473127906e-05)	(72, 2.1071176055249865e-05)	(74, 2.6637652352611416e-05)	(76, 2.465026394369514e-05)	(78, 3.2602726639186176e-05)	(80, 3.856761270091604e-05)	(82, 2.5049777386803327e-05)	(84, 2.505053717238674e-05)	(86, 4.334290738393309e-05)	(88, 8.98704738217132e-05)	(90, 4.811865427044765e-05)	(92, 0.0012221161795499683)	(94, 0.002380735975374106)	(96, 1.3523243745383427e-05)	(98, 1.670639433981632e-05)	(100, 3.421120478218541e-05)	(102, 3.620372152375894e-05)	(104, 5.013362520970776e-05)	(106, 0.003997651485205124)	(108, 0.0020146306842270456)	(110, 1.6718361099698284e-05)	(112, 1.8314034580982115e-05)	(114, 4.420212916877597e-05)	(116, 8.165613165810853e-05)	(118, 3.625883810673035e-05)	(120, 4.1852537272404855e-05)	(122, 3.947835660310626e-05)	(124, 5.1475382833894364e-05)	(126, 3.8755075116924465e-05)	(128, 0.005025843119228251)	(130, 0.010034299018383356)	(132, 1.684384331138281e-05)	(134, 0.0002769096437491617)	(136, 0.0005452871366820672)
550_R2	(1, 0.0)	(2, 7.949882983684892e-07)	(3, 7.949882983684892e-07)	(4, 0.0)	(5, 0.0)	(6, 7.949882983684892e-07)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 3.974941491842446e-07)	(14, 0.0)	(16, 0.0)	(18, 1.1924824475527339e-06)	(20, 0.0)	(22, 3.974941491842446e-07)	(24, 0.0)	(26, 3.974941491842446e-07)	(28, 3.974941491842446e-07)	(30, 0.0)	(32, 0.0)	(34, 3.974941491842446e-07)	(36, 0.0)	(38, 0.0)	(40, 3.974941491842446e-07)	(42, 0.0)	(44, 0.0)	(46, 3.974941491842446e-07)	(48, 7.949882983684892e-07)	(50, 3.9749654450291413e-07)	(52, 1.1925154913426773e-06)	(54, 3.9751263939138466e-07)	(56, 3.9751978185640847e-07)	(58, 3.975263240739223e-07)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 7.951256981814883e-07)	(72, 1.1927094632184821e-06)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 7.95210109162587e-07)	(82, 0.0)	(84, 0.0)	(86, 3.976425522703123e-07)	(88, 3.9765833797655776e-07)	(90, 0.0)	(92, 0.008593433501662766)	(94, 0.004275486974287464)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 3.9784731026831856e-07)	(104, 6.7641474750627166e-06)	(106, 0.0002331932640350868)	(108, 0.0004636687993945576)	(110, 0.007750357875859934)	(112, 0.0038787165237042574)	(114, 1.1946965175556254e-06)	(116, 0.0)	(118, 3.984744660092494e-07)	(120, 0.0)	(122, 3.9881345499446194e-07)	(124, 3.99106458111618e-07)	(126, 3.9968458012053716e-07)	(128, 0.0)	(130, 1.2032235562294943e-06)	(132, 1.7256888367918144e-05)	(134, 9.236730820728633e-06)	(136, 0.0)
551_R1	(1, 4.768003217766438e-05)	(2, 4.271336215915767e-05)	(3, 4.370669616285901e-05)	(4, 4.8673366181365727e-05)	(5, 4.8673366181365727e-05)	(6, 5.3640036199872426e-05)	(7, 6.854004625539255e-05)	(8, 7.748005228870463e-05)	(9, 0.00011522674442935559)	(10, 0.0001693634476310787)	(12, 0.0001405567615237398)	(14, 0.0001306234214867264)	(16, 0.02076316401236729)	(18, 9.486339735347809e-05)	(20, 5.1653368192469746e-05)	(22, 7.102338126464591e-05)	(24, 5.0660034188768407e-05)	(26, 7.152004826649657e-05)	(28, 4.4203363164709687e-05)	(30, 5.1653368192469746e-05)	(32, 3.3773356125845607e-05)	(34, 3.3773356125845607e-05)	(36, 2.483335009253353e-05)	(38, 2.1853348081429507e-05)	(40, 3.625669113509895e-05)	(42, 2.0363347075877497e-05)	(44, 3.029668711289091e-05)	(46, 3.824335914250164e-05)	(48, 2.6820018099936213e-05)	(50, 2.8806908731120736e-05)	(52, 1.341050246381228e-05)	(54, 2.880845288485314e-05)	(56, 1.6391399275839902e-05)	(58, 1.440486716022742e-05)	(60, 3.179068220071991e-05)	(62, 2.3346734060640726e-05)	(64, 2.7817892807435937e-05)	(66, 1.788325356052722e-05)	(68, 2.5831819356895e-05)	(70, 3.825169315034234e-05)	(72, 2.1361767468666073e-05)	(74, 2.3349400453221798e-05)	(76, 3.577011566112889e-05)	(78, 3.6267841387017394e-05)	(80, 3.328785533288856e-05)	(82, 2.6332974419860475e-05)	(84, 1.540282060127653e-05)	(86, 3.279429108633131e-05)	(88, 6.757890335112204e-05)	(90, 4.9195779938291894e-05)	(92, 0.0012473534055488671)	(94, 0.0024436647677796106)	(96, 2.0377655308511165e-05)	(98, 1.2426335564404012e-05)	(100, 3.330544474577256e-05)	(102, 0.00032761835510121987)	(104, 0.00019291310442012447)	(106, 0.003642918321678788)	(108, 0.0018266843391040893)	(110, 1.740922975583759e-05)	(112, 1.7909874912508396e-05)	(114, 6.767344988837762e-05)	(116, 0.0001159689693914837)	(118, 3.335683828751668e-05)	(120, 4.233220445462684e-05)	(122, 5.580063131937479e-05)	(124, 4.985127917734302e-05)	(126, 4.691417146159444e-05)	(128, 0.005241596739440686)	(130, 0.01043359722617775)	(132, 2.053226059583208e-05)	(134, 0.0003041461021269398)	(136, 0.0005925210489342983)
551_R2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.004453116338593113)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 9.933340037013415e-07)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 4.966670018506707e-07)	(38, 0.0)	(40, 4.966670018506707e-07)	(42, 4.966670018506707e-07)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 4.966853159088972e-07)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 4.96884200664995e-07)	(88, 4.969050616071343e-07)	(90, 4.96928618380517e-07)	(92, 0.008765797742657249)	(94, 0.004362038283627542)	(96, 0.0)	(98, 0.0)	(100, 4.970994866329327e-07)	(102, 9.843544662819394e-05)	(104, 0.00028986962106955375)	(106, 0.00027250083529213614)	(108, 0.00045406662065458246)	(110, 0.007437858502802607)	(112, 0.0037094211416467938)	(114, 0.0)	(116, 4.977395159881398e-07)	(118, 4.680155066084138e-05)	(120, 2.440489048106173e-05)	(122, 9.96527991840987e-07)	(124, 3.6895860327350246e-05)	(126, 7.438903870624941e-05)	(128, 1.0011419074653645e-06)	(130, 5.008656962694321e-07)	(132, 2.455486120755576e-05)	(134, 1.2033526427476695e-05)	(136, 1.0032379806797834e-06)
