Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
547_R1	(1, 35.480722228875905)	(2, 35.44206652622162)	(3, 35.45312116148574)	(4, 35.46223957998412)	(5, 35.47462369643163)	(6, 35.4457966888616)	(7, 35.48161468210123)	(8, 35.4591050067538)	(9, 35.44365027079361)	(10, 35.42189420737161)	(12, 35.40241498040385)	(14, 35.393252961180835)	(16, 35.37268113982085)	(18, 35.38994625511502)	(20, 35.3593249505459)	(22, 35.327927941765466)	(24, 35.32678587551443)	(26, 35.325520519528254)	(28, 35.28722800654147)	(30, 35.2691742403277)	(32, 35.26147601979335)	(34, 35.2731313439432)	(36, 35.23875635545173)	(38, 35.20717720677745)	(40, 35.17868071793208)	(42, 35.17009974093436)	(44, 35.17737143459351)	(46, 35.16346889504544)	(48, 35.16068302962381)	(50, 35.15212164049368)	(52, 35.16973052408065)	(54, 35.10477594303023)	(56, 35.06634429240954)	(58, 35.083936802078874)	(60, 35.055078197777995)	(62, 34.98822125629907)	(64, 34.98275051131406)	(66, 34.989922358146885)	(68, 34.97092695933615)	(70, 34.94385881683089)	(72, 34.92106537126856)	(74, 34.90807251206972)	(76, 34.89481347230728)	(78, 34.89225138923335)	(80, 34.868766274394574)	(82, 34.83824570166719)	(84, 34.798914706827816)	(86, 34.75588669725847)	(88, 34.720243653153446)	(90, 34.70958052317869)	(92, 34.7019949868109)	(94, 34.68262826765465)	(96, 34.63277961656688)	(98, 34.60626315136427)	(100, 34.5888505400403)	(102, 34.56509063820576)	(104, 34.57026892910752)	(106, 34.52972789105941)	(108, 34.470684068825875)	(110, 34.45153253194705)	(112, 34.44158340771847)	(114, 34.452115628132006)	(116, 34.40786965126775)	(118, 34.3258307183261)	(120, 34.33703579820404)	(122, 34.339341712164554)	(124, 34.31646648218567)	(126, 34.23465508945238)	(128, 34.21363177887295)	(130, 34.1850550214596)	(132, 34.15893591825083)	(134, 34.1523316325934)	(136, 34.10538648335734)
547_R2	(1, 35.44320794329997)	(2, 35.45803191203953)	(3, 35.42200044305424)	(4, 35.421386480832446)	(5, 35.40775916192736)	(6, 35.40598234767973)	(7, 35.37479202487016)	(8, 35.3810650173728)	(9, 35.30858976083506)	(10, 35.31093696924263)	(12, 35.30560015317536)	(14, 35.27825621124964)	(16, 35.2257919643542)	(18, 35.155271076920585)	(20, 35.15322718731003)	(22, 35.14806174875153)	(24, 35.11320111375824)	(26, 35.05629096070463)	(28, 35.03413949395119)	(30, 35.01301878278715)	(32, 35.003726675888515)	(34, 34.98151718371149)	(36, 34.88520486514352)	(38, 34.841674418564395)	(40, 34.797959484454324)	(42, 34.779581907633734)	(44, 34.75954750736017)	(46, 34.69431736514669)	(48, 34.5978592848529)	(50, 34.61670043084382)	(52, 34.609700649403635)	(54, 34.59477163794418)	(56, 34.54697605283059)	(58, 34.5686749106239)	(60, 34.41986162223182)	(62, 34.3983279599493)	(64, 34.3514673747066)	(66, 34.24060842617645)	(68, 34.20703314426862)	(70, 34.220458938203855)	(72, 34.159384355568434)	(74, 34.09626912205773)	(76, 33.99450147063394)	(78, 33.98192472744617)	(80, 33.976204477368285)	(82, 33.91485587223973)	(84, 33.85572568503207)	(86, 33.780123305666166)	(88, 33.69722201726611)	(90, 33.65930548372735)	(92, 33.61083627533205)	(94, 33.541096351813614)	(96, 33.470000619218766)	(98, 33.41683127089992)	(100, 33.31559221136508)	(102, 33.24053410358226)	(104, 33.205505909059255)	(106, 33.102987717568595)	(108, 33.1017170353811)	(110, 32.996397056500555)	(112, 32.8860500960418)	(114, 32.8441891493915)	(116, 32.785038577461386)	(118, 32.659738356558975)	(120, 32.611999865047395)	(122, 32.545211798220606)	(124, 32.48109683732611)	(126, 32.37187261823583)	(128, 32.30812294581547)	(130, 32.18759177416311)	(132, 32.09580504228107)	(134, 32.019010421506664)	(136, 31.961834334741223)
548_R1	(1, 34.87495755203312)	(2, 34.838204795685776)	(3, 34.83977901598996)	(4, 34.83588433942903)	(5, 34.846559418243764)	(6, 34.79804528984842)	(7, 34.79314311393992)	(8, 34.73427473393758)	(9, 34.760909548273744)	(10, 34.753689644143485)	(12, 34.7400120540027)	(14, 34.678649972080876)	(16, 34.696473691546146)	(18, 34.70142410220137)	(20, 34.67028930666805)	(22, 34.66126671187793)	(24, 34.63252575674223)	(26, 34.6236087369057)	(28, 34.58301932363942)	(30, 34.58410525141895)	(32, 34.53340398532144)	(34, 34.529046680353574)	(36, 34.53660316223314)	(38, 34.489787353997244)	(40, 34.455764686373726)	(42, 34.4504322272881)	(44, 34.455219974997405)	(46, 34.443390242510674)	(48, 34.44000279515493)	(50, 34.42463405075739)	(52, 34.363712342938996)	(54, 34.35793417409947)	(56, 34.33576976121642)	(58, 34.299525096984596)	(60, 34.2782894403161)	(62, 34.23427880445733)	(64, 34.21992372052419)	(66, 34.236787402735445)	(68, 34.22121808716925)	(70, 34.17445943580226)	(72, 34.12225168893423)	(74, 34.124045270296506)	(76, 34.12527740808266)	(78, 34.10470929539392)	(80, 34.06216277413139)	(82, 34.02264811603875)	(84, 34.019793406133005)	(86, 33.98881920615187)	(88, 33.9262655681958)	(90, 33.928925731066926)	(92, 33.896225272818924)	(94, 33.86810300400848)	(96, 33.86380022809674)	(98, 33.79434743808339)	(100, 33.777984405685686)	(102, 33.73296318895612)	(104, 33.74363112443861)	(106, 33.7262642174324)	(108, 33.67501877461918)	(110, 33.64672707052748)	(112, 33.597314739129054)	(114, 33.61044111258538)	(116, 33.567314175135635)	(118, 33.53132651262627)	(120, 33.51144443836807)	(122, 33.50255479938164)	(124, 33.47005642488361)	(126, 33.39424290596678)	(128, 33.359526619329415)	(130, 33.343352837675624)	(132, 33.31006476202056)	(134, 33.31115767235915)	(136, 33.268204538685055)
548_R2	(1, 34.40008237842072)	(2, 34.37811100090193)	(3, 34.35485258795347)	(4, 34.35438413802284)	(5, 34.322139516094154)	(6, 34.31878289038641)	(7, 34.287137509650165)	(8, 34.280289905085695)	(9, 34.213421557366814)	(10, 34.22521554744811)	(12, 34.19092666478875)	(14, 34.146520776915125)	(16, 34.11206687387585)	(18, 34.058518177519865)	(20, 34.019146152435574)	(22, 33.993315691491446)	(24, 33.9794415490042)	(26, 33.921994259040844)	(28, 33.86745067406501)	(30, 33.83173651151673)	(32, 33.82734134348228)	(34, 33.82033061786791)	(36, 33.71735892510151)	(38, 33.64217593340514)	(40, 33.646380231641466)	(42, 33.57615021392375)	(44, 33.57314337377238)	(46, 33.46724464874578)	(48, 33.44177429356582)	(50, 33.439316379573356)	(52, 33.39571538019721)	(54, 33.35732906872469)	(56, 33.25482377288314)	(58, 33.26743267074782)	(60, 33.17238718201891)	(62, 33.11755394288339)	(64, 33.06423748046798)	(66, 32.95643565121598)	(68, 32.94499442805055)	(70, 32.90021432846329)	(72, 32.80074622056458)	(74, 32.760992024535255)	(76, 32.68437517266487)	(78, 32.67265358430782)	(80, 32.59748925725144)	(82, 32.52166555241735)	(84, 32.477077389424835)	(86, 32.3983397437585)	(88, 32.338948995974846)	(90, 32.267931898242956)	(92, 32.17064910720236)	(94, 32.104402677173795)	(96, 32.053227025630875)	(98, 31.957769292915277)	(100, 31.871120521126812)	(102, 31.768768894999845)	(104, 31.73341804244644)	(106, 31.660720756353562)	(108, 31.577895360990148)	(110, 31.48331574633553)	(112, 31.44448072960555)	(114, 31.331960679604656)	(116, 31.237947105236778)	(118, 31.10848184214054)	(120, 31.06187479423692)	(122, 31.0036237049471)	(124, 30.93908939144103)	(126, 30.82566904694784)	(128, 30.721423302000666)	(130, 30.58477327390249)	(132, 30.49470024441171)	(134, 30.42116566437801)	(136, 30.36405392706545)
549_R1	(1, 35.55090767559032)	(2, 35.515023070254735)	(3, 35.52314631540037)	(4, 35.52592800283993)	(5, 35.54631036489693)	(6, 35.504152323029864)	(7, 35.54479195691917)	(8, 35.52436307457802)	(9, 35.502989647206796)	(10, 35.47921227710334)	(12, 35.45547094612306)	(14, 35.44295373678976)	(16, 35.41699312393548)	(18, 35.43360989806729)	(20, 35.3998424308636)	(22, 35.36252444041807)	(24, 35.35637709147797)	(26, 35.3536143399086)	(28, 35.30552885964771)	(30, 35.28345490375813)	(32, 35.27430341231359)	(34, 35.286658805067574)	(36, 35.24227062659355)	(38, 35.20403835044824)	(40, 35.171610128215825)	(42, 35.156289127259456)	(44, 35.165535738588034)	(46, 35.145608722006315)	(48, 35.13836595782065)	(50, 35.1269369983106)	(52, 35.14683460309551)	(54, 35.06666468778728)	(56, 35.020808957668734)	(58, 35.037705927929686)	(60, 34.998912592090505)	(62, 34.91956731021587)	(64, 34.912367093269076)	(66, 34.916477246090906)	(68, 34.89159912397525)	(70, 34.85872156702705)	(72, 34.82628911498708)	(74, 34.81254170789063)	(76, 34.792099689496965)	(78, 34.78466402604049)	(80, 34.75498889107526)	(82, 34.71809862866603)	(84, 34.66937586530211)	(86, 34.61700763084971)	(88, 34.57083802283201)	(90, 34.55562065633081)	(92, 34.54543525501643)	(94, 34.52111149265642)	(96, 34.45851341759838)	(98, 34.422693241042204)	(100, 34.39997445603265)	(102, 34.3686600378533)	(104, 34.373105997457515)	(106, 34.324304869037135)	(108, 34.249492262435936)	(110, 34.225142264609)	(112, 34.211047325730334)	(114, 34.2207651126105)	(116, 34.16752278450318)	(118, 34.068002337047375)	(120, 34.07552246725608)	(122, 34.07798580715617)	(124, 34.04851418521884)	(126, 33.94763992776618)	(128, 33.92274690684489)	(130, 33.88524141492174)	(132, 33.85010833099599)	(134, 33.84139101928153)	(136, 33.78272849942947)
549_R2	(1, 35.290281272633706)	(2, 35.31643417285342)	(3, 35.26714170267454)	(4, 35.259889669674685)	(5, 35.246872779625605)	(6, 35.23571197842902)	(7, 35.19411501348003)	(8, 35.209862679451646)	(9, 35.11595080031664)	(10, 35.11669592487104)	(12, 35.10609887550888)	(14, 35.07357567436297)	(16, 35.00024165525487)	(18, 34.91255745008395)	(20, 34.9106666014161)	(22, 34.90288534379575)	(24, 34.85754893391156)	(26, 34.78417592939563)	(28, 34.752628864781855)	(30, 34.72813051485634)	(32, 34.716686947865895)	(34, 34.68847741407781)	(36, 34.565176461728655)	(38, 34.510646910648546)	(40, 34.457192711179324)	(42, 34.436237589269254)	(44, 34.41231593579964)	(46, 34.32760307633282)	(48, 34.206541106493134)	(50, 34.23066945527611)	(52, 34.222276805763116)	(54, 34.20227808223561)	(56, 34.14433488815283)	(58, 34.170542143688195)	(60, 33.98766781306952)	(62, 33.961203743884596)	(64, 33.90212523711564)	(66, 33.765145724037524)	(68, 33.72681229634659)	(70, 33.74046976019397)	(72, 33.66697772975833)	(74, 33.59204852175715)	(76, 33.47015056770013)	(78, 33.446092768678284)	(80, 33.44281930761343)	(82, 33.369980165533306)	(84, 33.29858507772997)	(86, 33.208574983734664)	(88, 33.10617329670269)	(90, 33.06006412135311)	(92, 33.00430872549107)	(94, 32.91944532507758)	(96, 32.83073211906127)	(98, 32.76696714688735)	(100, 32.64919375313656)	(102, 32.56080624352275)	(104, 32.51958975166235)	(106, 32.4049697819182)	(108, 32.39701873014556)	(110, 32.282796285220726)	(112, 32.14790546048438)	(114, 32.097394426619836)	(116, 32.0367067572555)	(118, 31.886735020519303)	(120, 31.82432407277132)	(122, 31.75344804874875)	(124, 31.67337329725705)	(126, 31.543495526726424)	(128, 31.475925224648027)	(130, 31.335136704647773)	(132, 31.225199838138913)	(134, 31.138486588495233)	(136, 31.06418833225416)
550_R1	(1, 35.375459689064975)	(2, 35.336879145441635)	(3, 35.35129467620584)	(4, 35.36349805663123)	(5, 35.37631428558595)	(6, 35.34696397745047)	(7, 35.38476042411513)	(8, 35.35946570108448)	(9, 35.34296128291714)	(10, 35.32020702846769)	(12, 35.3022911085766)	(14, 35.29745912199982)	(16, 35.27852781125451)	(18, 35.29458682530287)	(20, 35.26181043559674)	(22, 35.23171045349591)	(24, 35.23462970220176)	(26, 35.234387202946166)	(28, 35.193865679492596)	(30, 35.17580081456886)	(32, 35.168192271735904)	(34, 35.183764395200924)	(36, 35.15085288928361)	(38, 35.11633987943923)	(40, 35.08924462716102)	(42, 35.080347968763164)	(44, 35.089086694785664)	(46, 35.077914076313235)	(48, 35.075560592954744)	(50, 35.06652236231021)	(52, 35.08459902953397)	(54, 35.01981346979446)	(56, 34.98312963483259)	(58, 35.00304612370927)	(60, 34.973279532981465)	(62, 34.90391371661937)	(64, 34.899724839471524)	(66, 34.90977025226901)	(68, 34.8910026755081)	(70, 34.86398425574076)	(72, 34.839945794695325)	(74, 34.82932090785859)	(76, 34.81744323168398)	(78, 34.81574877259194)	(80, 34.791573802501404)	(82, 34.76193115441134)	(84, 34.72278989751657)	(86, 34.679420619020405)	(88, 34.64510820455309)	(90, 34.63469774954359)	(92, 34.62672637058199)	(94, 34.609231847059846)	(96, 34.55967785064405)	(98, 34.53269277890757)	(100, 34.51630906922037)	(102, 34.49267923596889)	(104, 34.49775484281869)	(106, 34.457660209834)	(108, 34.39824620727915)	(110, 34.37941581436873)	(112, 34.369754285089535)	(114, 34.38043476752924)	(116, 34.33597881851372)	(118, 34.25306995842607)	(120, 34.26570782401225)	(122, 34.26665470757592)	(124, 34.24361736558866)	(126, 34.159848152734455)	(128, 34.13938129072618)	(130, 34.111835809397476)	(132, 34.084929273607514)	(134, 34.07623559783093)	(136, 34.02944067890706)
550_R2	(1, 35.45357915060509)	(2, 35.467967214523576)	(3, 35.435502229683806)	(4, 35.4342666032213)	(5, 35.42006117991448)	(6, 35.41696552728016)	(7, 35.387748928226586)	(8, 35.39449302065861)	(9, 35.32489171563761)	(10, 35.33023890630598)	(12, 35.3293090204182)	(14, 35.3044166449403)	(16, 35.252427451057244)	(18, 35.18603487780612)	(20, 35.18691320075287)	(22, 35.186157373578084)	(24, 35.155926099159764)	(26, 35.0999318854026)	(28, 35.080121937690166)	(30, 35.063402765358845)	(32, 35.05765013065832)	(34, 35.039463457627505)	(36, 34.94635928550109)	(38, 34.90484910664979)	(40, 34.86627434259138)	(42, 34.85237347135178)	(44, 34.83564540707634)	(46, 34.774311765711545)	(48, 34.6805277036926)	(50, 34.7027469103567)	(52, 34.700355431321924)	(54, 34.68882712299517)	(56, 34.644416393497764)	(58, 34.66874303015575)	(60, 34.526736403102504)	(62, 34.507384713317705)	(64, 34.46443188227166)	(66, 34.359080860181344)	(68, 34.32742793400256)	(70, 34.3449556774231)	(72, 34.28858266630458)	(74, 34.22864434723682)	(76, 34.13192435011676)	(78, 34.123118468714615)	(80, 34.120730578581245)	(82, 34.06382417651584)	(84, 34.00848293961727)	(86, 33.93855728205983)	(88, 33.862178322102864)	(90, 33.828597757260496)	(92, 33.783302801263034)	(94, 33.71726008181406)	(96, 33.64902251308107)	(98, 33.59950261363047)	(100, 33.50453867168366)	(102, 33.43452914628092)	(104, 33.401802183158495)	(106, 33.30299393008859)	(108, 33.30467113618324)	(110, 33.20438946812618)	(112, 33.09933817463848)	(114, 33.061535914609095)	(116, 33.00283772460451)	(118, 32.88143323130387)	(120, 32.83974705297727)	(122, 32.77578350236719)	(124, 32.712920633719676)	(126, 32.60619535704656)	(128, 32.54579004633315)	(130, 32.43067445393676)	(132, 32.341564760305985)	(134, 32.26588886218046)	(136, 32.20936762560981)
551_R1	(1, 35.35157328659842)	(2, 35.31254843186185)	(3, 35.32540225333647)	(4, 35.33460232414529)	(5, 35.34786274702764)	(6, 35.31418984676959)	(7, 35.34527627414878)	(8, 35.31544139794755)	(9, 35.3037819414123)	(10, 35.282483613738776)	(12, 35.264265748910816)	(14, 35.25129077048777)	(16, 35.2363793221912)	(18, 35.25125192616155)	(20, 35.218033416610155)	(22, 35.18813952643576)	(24, 35.18628217561563)	(26, 35.18557420163785)	(28, 35.14261005740944)	(30, 35.12647682815499)	(32, 35.11294822495833)	(34, 35.1265946773012)	(36, 35.0984292280266)	(38, 35.060861544606766)	(40, 35.02816546914127)	(42, 35.02224896321508)	(44, 35.03085896879236)	(46, 35.018102434450064)	(48, 35.01461060219354)	(50, 35.00576891304877)	(52, 35.014094793422686)	(54, 34.95426746381826)	(56, 34.91682542115069)	(58, 34.92910789105463)	(60, 34.89920555009367)	(62, 34.831315297039616)	(64, 34.82430247888146)	(66, 34.83678485606062)	(68, 34.817352573656024)	(70, 34.786626653832045)	(72, 34.75674019763623)	(74, 34.74761662570023)	(76, 34.73675769065382)	(78, 34.7333057751933)	(80, 34.70575394430167)	(82, 34.67351580112498)	(84, 34.637381237512514)	(86, 34.594179993161596)	(88, 34.55346921628093)	(90, 34.54485625499845)	(92, 34.534152085271984)	(94, 34.51413435800188)	(96, 34.46754601697552)	(98, 34.43444589288434)	(100, 34.416310522972935)	(102, 34.38954231727119)	(104, 34.395065311638064)	(106, 34.35743420094626)	(108, 34.29666703046267)	(110, 34.276186474258644)	(112, 34.260839352609985)	(114, 34.27211844629294)	(116, 34.22755868771945)	(118, 34.14734123135128)	(120, 34.15517559272725)	(122, 34.15646516003794)	(124, 34.13110785503906)	(126, 34.04508450326087)	(128, 34.02367210464295)	(130, 33.995978539695244)	(132, 33.96782544466784)	(134, 33.961996042843495)	(136, 33.91326320972041)
551_R2	(1, 35.30368582641411)	(2, 35.31642192787594)	(3, 35.28023720378941)	(4, 35.2777052748807)	(5, 35.2634371643183)	(6, 35.26327918447834)	(7, 35.23028920134784)	(8, 35.23695147264398)	(9, 35.16237081331198)	(10, 35.16653281325411)	(12, 35.159690589569855)	(14, 35.132737117046524)	(16, 35.08230563907867)	(18, 35.01312637245855)	(20, 35.008450476136275)	(22, 35.00329443195663)	(24, 34.97230773531142)	(26, 34.91605091464556)	(28, 34.89108634513114)	(30, 34.87026393867879)	(32, 34.864650692657264)	(34, 34.84568011905466)	(36, 34.7467695809699)	(38, 34.70104302454391)	(40, 34.66568121311273)	(42, 34.64361303171965)	(44, 34.627510988186245)	(46, 34.55835602844921)	(48, 34.468795912208066)	(50, 34.49046272739085)	(52, 34.4828990860897)	(54, 34.467447794801316)	(56, 34.4151348171643)	(58, 34.4400401977157)	(60, 34.296365144437274)	(62, 34.273451840508955)	(64, 34.22685753444199)	(66, 34.116123369719574)	(68, 34.088454120214124)	(70, 34.099192260995636)	(72, 34.036159547504646)	(74, 33.97723347190187)	(76, 33.87990753204764)	(78, 33.8705895337101)	(80, 33.86332653905167)	(82, 33.80146442194895)	(84, 33.746528625626745)	(86, 33.67433200505505)	(88, 33.59706063105237)	(90, 33.55975827036248)	(92, 33.50921609503247)	(94, 33.44144863850033)	(96, 33.37356291734011)	(98, 33.31974537869324)	(100, 33.222061486263115)	(102, 33.14848140807411)	(104, 33.11619887172771)	(106, 33.02024954300991)	(108, 33.01357649387867)	(110, 32.91430458755585)	(112, 32.81536542982656)	(114, 32.768084555316946)	(116, 32.708447354857036)	(118, 32.58435681920471)	(120, 32.540784648193174)	(122, 32.48022177446285)	(124, 32.418785813252185)	(126, 32.30930694138344)	(128, 32.24440591586615)	(130, 32.125698987454605)	(132, 32.03633635900097)	(134, 31.964136071436865)	(136, 31.90677207407223)
