Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
547_R1	(21.0, 19.0)	(22.0, 772.0)	(23.0, 12499.0)	(24.0, 77023.0)	(25.0, 257587.0)	(26.0, 591541.0)	(27.0, 1069710.0)	(28.0, 1647120.0)	(29.0, 2295911.0)	(30.0, 3092184.0)	(31.0, 4234087.0)	(32.0, 6061128.0)	(33.0, 9278143.0)	(34.0, 15715851.0)	(35.0, 30649250.0)	(36.0, 39431703.0)	(37.0, 7984209.0)	(38.0, 64824.0)			
547_R2	(19.0, 2.0)	(20.0, 107.0)	(21.0, 3586.0)	(22.0, 46785.0)	(23.0, 276700.0)	(24.0, 793247.0)	(25.0, 1427026.0)	(26.0, 2071365.0)	(27.0, 2732514.0)	(28.0, 3397527.0)	(29.0, 4113989.0)	(30.0, 4983270.0)	(31.0, 6149726.0)	(32.0, 7794467.0)	(33.0, 10255930.0)	(34.0, 14357123.0)	(35.0, 22465062.0)	(36.0, 35468775.0)	(37.0, 6118493.0)	(38.0, 7867.0)	
548_R1	(21.0, 22.0)	(22.0, 962.0)	(23.0, 14566.0)	(24.0, 88955.0)	(25.0, 291488.0)	(26.0, 662722.0)	(27.0, 1177257.0)	(28.0, 1796500.0)	(29.0, 2529039.0)	(30.0, 3529786.0)	(31.0, 5075114.0)	(32.0, 7622892.0)	(33.0, 11893739.0)	(34.0, 18659426.0)	(35.0, 25912597.0)	(36.0, 16543601.0)	(37.0, 1338063.0)	(38.0, 2788.0)			
548_R2	(19.0, 4.0)	(20.0, 220.0)	(21.0, 7504.0)	(22.0, 99354.0)	(23.0, 546999.0)	(24.0, 1433262.0)	(25.0, 2397785.0)	(26.0, 3219645.0)	(27.0, 3915811.0)	(28.0, 4549540.0)	(29.0, 5220093.0)	(30.0, 5994434.0)	(31.0, 6975769.0)	(32.0, 8235129.0)	(33.0, 9943499.0)	(34.0, 12283756.0)	(35.0, 15365116.0)	(36.0, 15185898.0)	(37.0, 1765204.0)	(38.0, 495.0)	
549_R1	(20.0, 3.0)	(21.0, 24.0)	(22.0, 1092.0)	(23.0, 19005.0)	(24.0, 115922.0)	(25.0, 384616.0)	(26.0, 863224.0)	(27.0, 1503531.0)	(28.0, 2266901.0)	(29.0, 3127452.0)	(30.0, 4185781.0)	(31.0, 5652615.0)	(32.0, 7878314.0)	(33.0, 11557887.0)	(34.0, 18094666.0)	(35.0, 30142353.0)	(36.0, 41715957.0)	(37.0, 14227630.0)	(38.0, 136623.0)		
549_R2	(19.0, 3.0)	(20.0, 190.0)	(21.0, 6048.0)	(22.0, 82922.0)	(23.0, 506361.0)	(24.0, 1430373.0)	(25.0, 2476790.0)	(26.0, 3409044.0)	(27.0, 4274404.0)	(28.0, 5127216.0)	(29.0, 6003947.0)	(30.0, 7039359.0)	(31.0, 8355048.0)	(32.0, 10108071.0)	(33.0, 12562736.0)	(34.0, 16251516.0)	(35.0, 22268725.0)	(36.0, 32761659.0)	(37.0, 9199395.0)	(38.0, 9789.0)	
550_R1	(21.0, 11.0)	(22.0, 664.0)	(23.0, 11101.0)	(24.0, 73762.0)	(25.0, 263213.0)	(26.0, 633601.0)	(27.0, 1168245.0)	(28.0, 1814332.0)	(29.0, 2537731.0)	(30.0, 3412112.0)	(31.0, 4644664.0)	(32.0, 6552504.0)	(33.0, 9846207.0)	(34.0, 16357010.0)	(35.0, 31154326.0)	(36.0, 41218608.0)	(37.0, 6055510.0)	(38.0, 44414.0)			
550_R2	(19.0, 1.0)	(20.0, 68.0)	(21.0, 2335.0)	(22.0, 33311.0)	(23.0, 207936.0)	(24.0, 622095.0)	(25.0, 1164386.0)	(26.0, 1764258.0)	(27.0, 2416751.0)	(28.0, 3124493.0)	(29.0, 3908374.0)	(30.0, 4886834.0)	(31.0, 6199879.0)	(32.0, 8067754.0)	(33.0, 10883693.0)	(34.0, 15557643.0)	(35.0, 24437440.0)	(36.0, 37339748.0)	(37.0, 5166124.0)	(38.0, 4892.0)	
551_R1	(21.0, 10.0)	(22.0, 622.0)	(23.0, 10378.0)	(24.0, 64793.0)	(25.0, 223342.0)	(26.0, 522670.0)	(27.0, 951468.0)	(28.0, 1467297.0)	(29.0, 2050678.0)	(30.0, 2778297.0)	(31.0, 3834699.0)	(32.0, 5531808.0)	(33.0, 8502318.0)	(34.0, 14170069.0)	(35.0, 25510242.0)	(36.0, 30414950.0)	(37.0, 4603953.0)	(38.0, 33479.0)			
551_R2	(20.0, 64.0)	(21.0, 2402.0)	(22.0, 34169.0)	(23.0, 215377.0)	(24.0, 637864.0)	(25.0, 1174217.0)	(26.0, 1730221.0)	(27.0, 2307887.0)	(28.0, 2906743.0)	(29.0, 3553711.0)	(30.0, 4341111.0)	(31.0, 5390863.0)	(32.0, 6842078.0)	(33.0, 8983037.0)	(34.0, 12402092.0)	(35.0, 18571729.0)	(36.0, 27479152.0)	(37.0, 4092052.0)	(38.0, 6304.0)		
