Sample	Unique Reads	Duplicate Reads
547_R1	102999989.0	19463572.0
547_R2	103400603.0	19062958.0
548_R1	86115144.0	11024373.0
548_R2	86608248.0	10531269.0
549_R1	134466263.0	7407333.0
549_R2	134631550.0	7242046.0
550_R1	106485605.0	19302410.0
550_R2	106567356.0	19220659.0
551_R1	85521681.0	15149392.0
551_R2	85549928.0	15121145.0
552_R1	104935788.0	21786608.0
552_R2	104199674.0	22522722.0
553_R1	101725487.0	4996214.0
553_R2	101746677.0	4975024.0
554_R1	140317148.0	20562403.0
554_R2	140817542.0	20062009.0
555_R1	102736741.0	2927215.0
555_R2	102754673.0	2909283.0
556_R1	96276744.0	8125454.0
556_R2	96310570.0	8091628.0
557_R1	118727477.0	2620064.0
557_R2	118857467.0	2490074.0
558_R1	126320715.0	1704078.0
558_R2	126367865.0	1656928.0
559_R1	152796602.0	29442898.0
559_R2	152089512.0	30149988.0
560_R1	166482087.0	8959443.0
560_R2	166641132.0	8800398.0
561_R1	139172041.0	15039569.0
561_R2	138883028.0	15328582.0
562_R1	142110699.0	7450718.0
562_R2	142298818.0	7262599.0
563_R1	101485077.0	3898009.0
563_R2	101635203.0	3747883.0
564_R1	145636599.0	5763243.0
564_R2	145890289.0	5509553.0
