Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
547_R1	(1.0, 77.49310090600791)	(2.0, 9.612661669722202)	(3.0, 2.0002918316148617)	(4.0, 1.121061786400098)	(5.0, 0.9004178278369894)	(6.0, 0.8127092825053296)	(7.0, 0.7219249417546031)	(8.0, 0.5990120133579524)	(9.0, 0.5601749687967803)	('>10', 4.6547073610865155)	('>50', 0.9689473542855116)	('>100', 0.5443392080262787)	('>500', 0.008898860323534782)	('>1k', 0.0017519882813561598)	('>5k', 0.0)	('>10k+', 0.0)
547_R2	(1.0, 78.00425749421235)	(2.0, 9.223402750075198)	(3.0, 2.0283794646444973)	(4.0, 1.1091144565028639)	(5.0, 0.9304764933789387)	(6.0, 0.8137492783088699)	(7.0, 0.7299702961477115)	(8.0, 0.6441191300168465)	(9.0, 0.5852556465416583)	('>10', 4.480970736190697)	('>50', 0.9035578151555059)	('>100', 0.5397949033016993)	('>500', 0.0037516581024683265)	('>1k', 0.0031998774207486697)	('>5k', 0.0)	('>10k+', 0.0)
548_R1	(1.0, 82.81292691508996)	(2.0, 9.253704918158585)	(3.0, 1.9076860703512604)	(4.0, 0.7662688083557574)	(5.0, 0.5004332799304153)	(6.0, 0.34447553596364383)	(7.0, 0.3005695083374827)	(8.0, 0.2054949780914595)	(9.0, 0.18654514190080873)	('>10', 2.3724960908259263)	('>50', 0.7715486275884391)	('>100', 0.5646856791450697)	('>500', 0.013164446261170932)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
548_R2	(1.0, 83.66526526959939)	(2.0, 8.648877414974407)	(3.0, 1.813861204390043)	(4.0, 0.7863451189169491)	(5.0, 0.4484277754154508)	(6.0, 0.339498603293625)	(7.0, 0.2775503806083141)	(8.0, 0.22556322857795555)	(9.0, 0.15546805655849846)	('>10', 2.3523907832103634)	('>50', 0.7632748701915064)	('>100', 0.5195645749546413)	('>500', 0.003912719308812804)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
549_R1	(1.0, 91.63517518704325)	(2.0, 4.8991505810827265)	(3.0, 1.0326068317508204)	(4.0, 0.4764480136962953)	(5.0, 0.35846342322826497)	(6.0, 0.2944844633141676)	(7.0, 0.21743427636731844)	(8.0, 0.14834850978233044)	(9.0, 0.11130063252635168)	('>10', 0.7650180261061548)	('>50', 0.050096534100213516)	('>100', 0.011473521002030529)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
549_R2	(1.0, 91.80826225302008)	(2.0, 4.842143253692795)	(3.0, 0.9495592923150652)	(4.0, 0.5134835644179873)	(5.0, 0.3454471115056767)	(6.0, 0.2524156521167677)	(7.0, 0.19238456333806483)	(8.0, 0.1633841157014389)	(9.0, 0.1263414883681938)	('>10', 0.7395995734996273)	('>50', 0.050162804763916935)	('>100', 0.016816327260381608)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
550_R1	(1.0, 77.58175096030809)	(2.0, 10.676714126947132)	(3.0, 2.364222860884322)	(4.0, 1.128601766704929)	(5.0, 0.8710398563154595)	(6.0, 0.6712981624284389)	(7.0, 0.540455250902311)	(8.0, 0.44355014616701677)	(9.0, 0.38463005892916613)	('>10', 3.0681945865838443)	('>50', 0.9935105142897209)	('>100', 1.2583659471282527)	('>500', 0.01766576241136545)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
550_R2	(1.0, 77.72937400744372)	(2.0, 10.529728463690779)	(3.0, 2.313227346240585)	(4.0, 1.1115915813190784)	(5.0, 0.9000281385403044)	(6.0, 0.6962992235716545)	(7.0, 0.5414483151536302)	(8.0, 0.49861131703112727)	(9.0, 0.4006506062669571)	('>10', 2.9687353213691314)	('>50', 1.049025636147582)	('>100', 1.2430572077501054)	('>500', 0.016715999316113565)	('>1k', 0.0015068361591764191)	('>5k', 0.0)	('>10k+', 0.0)
551_R1	(1.0, 78.22889020958587)	(2.0, 10.02087243936616)	(3.0, 2.2267482973360897)	(4.0, 1.1763963453159634)	(5.0, 0.8729865546432916)	(6.0, 0.7053399777559971)	(7.0, 0.5875752847347611)	(8.0, 0.513758219760952)	(9.0, 0.34167386552669954)	('>10', 2.931603040288666)	('>50', 0.9972893538618484)	('>100', 1.3767044523592116)	('>500', 0.0201619594645304)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
551_R2	(1.0, 78.24142445320447)	(2.0, 9.991754290411128)	(3.0, 2.32284596646035)	(4.0, 1.1425095954076865)	(5.0, 0.8770601010175861)	(6.0, 0.7454218754943023)	(7.0, 0.5676033936840181)	(8.0, 0.4787467611953516)	(9.0, 0.39481183795041447)	('>10', 2.8998125520417157)	('>50', 0.9855309090587707)	('>100', 1.3430767247531812)	('>500', 0.009401539320918487)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
