Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
547_R1	(50, 6922.0)	(52, 6103.0)	(54, 5195.0)	(56, 4621.0)	(58, 4118.0)	(60, 3751.0)	(62, 3508.0)	(64, 3215.0)	(66, 3186.0)	(68, 3266.0)	(70, 3287.0)	(72, 3544.0)	(74, 3289.0)	(76, 3545.0)	(78, 3747.0)	(80, 4051.0)	(82, 4042.0)	(84, 4286.0)	(86, 4463.0)	(88, 4714.0)	(90, 5033.0)	(92, 5499.0)	(94, 5858.0)	(96, 6226.0)	(98, 7058.0)	(100, 8105.0)	(102, 8725.0)	(104, 9717.0)	(106, 11000.0)	(108, 12518.0)	(110, 14589.0)	(112, 16105.0)	(114, 20309.0)	(116, 24826.0)	(118, 30067.0)	(120, 33389.0)	(122, 61675.0)	(124, 129237.0)	(126, 417348.0)	(128, 77542.0)	(130, 43619.0)	(132, 48253.0)	(134, 53792.0)	(136, 121330218.0)
547_R2	(50, 6924.0)	(52, 6124.0)	(54, 5223.0)	(56, 4644.0)	(58, 4177.0)	(60, 3782.0)	(62, 3560.0)	(64, 3232.0)	(66, 3204.0)	(68, 3312.0)	(70, 3317.0)	(72, 3571.0)	(74, 3322.0)	(76, 3599.0)	(78, 3811.0)	(80, 4095.0)	(82, 4132.0)	(84, 4363.0)	(86, 4595.0)	(88, 4859.0)	(90, 5156.0)	(92, 5676.0)	(94, 6060.0)	(96, 6356.0)	(98, 7344.0)	(100, 8517.0)	(102, 9191.0)	(104, 10104.0)	(106, 11821.0)	(108, 13459.0)	(110, 15717.0)	(112, 16944.0)	(114, 22229.0)	(116, 27622.0)	(118, 33575.0)	(120, 36583.0)	(122, 73591.0)	(124, 155809.0)	(126, 478176.0)	(128, 85774.0)	(130, 43409.0)	(132, 48118.0)	(134, 53627.0)	(136, 121204857.0)
548_R1	(50, 7265.0)	(52, 6520.0)	(54, 5927.0)	(56, 5372.0)	(58, 4704.0)	(60, 4373.0)	(62, 4013.0)	(64, 3633.0)	(66, 3377.0)	(68, 3095.0)	(70, 3206.0)	(72, 3250.0)	(74, 3090.0)	(76, 3378.0)	(78, 3412.0)	(80, 3423.0)	(82, 3552.0)	(84, 3528.0)	(86, 3526.0)	(88, 3616.0)	(90, 3779.0)	(92, 3799.0)	(94, 3738.0)	(96, 3690.0)	(98, 3998.0)	(100, 4434.0)	(102, 4514.0)	(104, 4736.0)	(106, 5293.0)	(108, 5951.0)	(110, 6807.0)	(112, 6807.0)	(114, 9577.0)	(116, 12716.0)	(118, 15999.0)	(120, 16444.0)	(122, 45439.0)	(124, 112364.0)	(126, 386440.0)	(128, 45358.0)	(130, 7563.0)	(132, 8053.0)	(134, 8465.0)	(136, 96331293.0)
548_R2	(50, 7284.0)	(52, 6540.0)	(54, 5955.0)	(56, 5392.0)	(58, 4717.0)	(60, 4374.0)	(62, 4039.0)	(64, 3650.0)	(66, 3394.0)	(68, 3127.0)	(70, 3236.0)	(72, 3264.0)	(74, 3152.0)	(76, 3408.0)	(78, 3473.0)	(80, 3475.0)	(82, 3640.0)	(84, 3606.0)	(86, 3631.0)	(88, 3765.0)	(90, 3978.0)	(92, 3993.0)	(94, 3960.0)	(96, 3821.0)	(98, 4351.0)	(100, 4921.0)	(102, 5045.0)	(104, 5161.0)	(106, 6222.0)	(108, 7213.0)	(110, 7991.0)	(112, 7732.0)	(114, 12185.0)	(116, 16019.0)	(118, 20059.0)	(120, 20616.0)	(122, 58885.0)	(124, 141595.0)	(126, 441956.0)	(128, 53305.0)	(130, 7433.0)	(132, 7994.0)	(134, 8394.0)	(136, 96203566.0)
549_R1	(50, 1482.0)	(52, 1297.0)	(54, 1179.0)	(56, 1122.0)	(58, 1015.0)	(60, 952.0)	(62, 878.0)	(64, 898.0)	(66, 985.0)	(68, 987.0)	(70, 996.0)	(72, 1060.0)	(74, 1112.0)	(76, 1173.0)	(78, 1281.0)	(80, 1461.0)	(82, 1450.0)	(84, 1657.0)	(86, 1740.0)	(88, 1958.0)	(90, 2104.0)	(92, 2233.0)	(94, 2260.0)	(96, 2588.0)	(98, 2815.0)	(100, 3092.0)	(102, 3281.0)	(104, 3532.0)	(106, 3922.0)	(108, 4516.0)	(110, 5063.0)	(112, 5188.0)	(114, 5967.0)	(116, 7070.0)	(118, 8350.0)	(120, 8956.0)	(122, 16491.0)	(124, 37676.0)	(126, 148453.0)	(128, 20651.0)	(130, 11197.0)	(132, 12342.0)	(134, 13526.0)	(136, 141517640.0)
549_R2	(50, 1501.0)	(52, 1310.0)	(54, 1192.0)	(56, 1131.0)	(58, 1036.0)	(60, 969.0)	(62, 902.0)	(64, 919.0)	(66, 997.0)	(68, 1021.0)	(70, 1021.0)	(72, 1081.0)	(74, 1147.0)	(76, 1227.0)	(78, 1339.0)	(80, 1498.0)	(82, 1510.0)	(84, 1732.0)	(86, 1824.0)	(88, 2045.0)	(90, 2228.0)	(92, 2313.0)	(94, 2373.0)	(96, 2634.0)	(98, 3000.0)	(100, 3302.0)	(102, 3531.0)	(104, 3694.0)	(106, 4283.0)	(108, 5021.0)	(110, 5593.0)	(112, 5674.0)	(114, 7303.0)	(116, 9047.0)	(118, 10599.0)	(120, 11034.0)	(122, 26614.0)	(124, 65501.0)	(126, 230936.0)	(128, 28275.0)	(130, 11106.0)	(132, 12324.0)	(134, 13498.0)	(136, 141378311.0)
550_R1	(50, 2856.0)	(52, 2426.0)	(54, 2266.0)	(56, 2097.0)	(58, 2050.0)	(60, 1938.0)	(62, 1779.0)	(64, 1783.0)	(66, 1857.0)	(68, 2047.0)	(70, 2114.0)	(72, 2335.0)	(74, 2467.0)	(76, 2865.0)	(78, 3138.0)	(80, 3459.0)	(82, 3766.0)	(84, 4163.0)	(86, 4792.0)	(88, 5442.0)	(90, 6180.0)	(92, 6911.0)	(94, 7648.0)	(96, 8795.0)	(98, 10216.0)	(100, 11684.0)	(102, 13239.0)	(104, 14810.0)	(106, 17130.0)	(108, 19818.0)	(110, 22907.0)	(112, 26027.0)	(114, 31561.0)	(116, 37881.0)	(118, 45112.0)	(120, 50516.0)	(122, 73724.0)	(124, 123932.0)	(126, 339375.0)	(128, 94472.0)	(130, 75371.0)	(132, 83477.0)	(134, 90038.0)	(136, 124521551.0)
550_R2	(50, 2870.0)	(52, 2429.0)	(54, 2275.0)	(56, 2090.0)	(58, 2072.0)	(60, 1949.0)	(62, 1801.0)	(64, 1788.0)	(66, 1875.0)	(68, 2060.0)	(70, 2144.0)	(72, 2365.0)	(74, 2507.0)	(76, 2881.0)	(78, 3153.0)	(80, 3495.0)	(82, 3796.0)	(84, 4231.0)	(86, 4825.0)	(88, 5526.0)	(90, 6302.0)	(92, 7030.0)	(94, 7734.0)	(96, 8831.0)	(98, 10387.0)	(100, 11917.0)	(102, 13531.0)	(104, 15071.0)	(106, 17627.0)	(108, 20587.0)	(110, 23667.0)	(112, 26592.0)	(114, 32784.0)	(116, 39821.0)	(118, 47228.0)	(120, 52724.0)	(122, 81243.0)	(124, 142070.0)	(126, 383379.0)	(128, 99968.0)	(130, 75103.0)	(132, 83193.0)	(134, 89805.0)	(136, 124435289.0)
551_R1	(50, 3041.0)	(52, 2544.0)	(54, 2369.0)	(56, 2202.0)	(58, 2005.0)	(60, 1956.0)	(62, 1855.0)	(64, 1820.0)	(66, 1784.0)	(68, 1851.0)	(70, 2028.0)	(72, 2083.0)	(74, 2285.0)	(76, 2453.0)	(78, 2758.0)	(80, 2951.0)	(82, 3305.0)	(84, 3537.0)	(86, 4005.0)	(88, 4617.0)	(90, 5205.0)	(92, 5776.0)	(94, 6517.0)	(96, 7274.0)	(98, 8417.0)	(100, 9544.0)	(102, 10619.0)	(104, 11720.0)	(106, 13506.0)	(108, 15349.0)	(110, 17720.0)	(112, 19784.0)	(114, 23650.0)	(116, 27597.0)	(118, 31996.0)	(120, 35801.0)	(122, 52436.0)	(124, 89841.0)	(126, 254969.0)	(128, 66184.0)	(130, 49553.0)	(132, 54243.0)	(134, 58631.0)	(136, 99743292.0)
551_R2	(50, 3049.0)	(52, 2548.0)	(54, 2370.0)	(56, 2200.0)	(58, 2015.0)	(60, 1973.0)	(62, 1862.0)	(64, 1834.0)	(66, 1792.0)	(68, 1868.0)	(70, 2021.0)	(72, 2096.0)	(74, 2289.0)	(76, 2459.0)	(78, 2761.0)	(80, 2976.0)	(82, 3323.0)	(84, 3581.0)	(86, 4075.0)	(88, 4651.0)	(90, 5283.0)	(92, 5849.0)	(94, 6568.0)	(96, 7315.0)	(98, 8505.0)	(100, 9692.0)	(102, 10784.0)	(104, 11826.0)	(106, 13800.0)	(108, 15759.0)	(110, 18241.0)	(112, 20136.0)	(114, 24478.0)	(116, 28871.0)	(118, 33629.0)	(120, 37263.0)	(122, 58002.0)	(124, 103555.0)	(126, 290319.0)	(128, 70249.0)	(130, 49364.0)	(132, 54119.0)	(134, 58476.0)	(136, 99677247.0)
552_R1	(50, 1925.0)	(52, 1749.0)	(54, 1713.0)	(56, 1689.0)	(58, 1705.0)	(60, 1823.0)	(62, 1822.0)	(64, 2073.0)	(66, 2273.0)	(68, 2608.0)	(70, 2923.0)	(72, 2982.0)	(74, 3534.0)	(76, 4094.0)	(78, 4625.0)	(80, 5583.0)	(82, 6109.0)	(84, 6912.0)	(86, 8212.0)	(88, 9594.0)	(90, 11030.0)	(92, 12384.0)	(94, 14168.0)	(96, 16303.0)	(98, 18812.0)	(100, 21867.0)	(102, 24836.0)	(104, 28389.0)	(106, 32146.0)	(108, 37470.0)	(110, 43327.0)	(112, 49639.0)	(114, 58559.0)	(116, 69348.0)	(118, 79899.0)	(120, 90317.0)	(122, 113872.0)	(124, 163393.0)	(126, 379038.0)	(128, 197579.0)	(130, 282996.0)	(132, 158684.0)	(134, 173246.0)	(136, 124571146.0)
552_R2	(50, 1923.0)	(52, 1737.0)	(54, 1703.0)	(56, 1699.0)	(58, 1722.0)	(60, 1819.0)	(62, 1834.0)	(64, 2088.0)	(66, 2290.0)	(68, 2616.0)	(70, 2947.0)	(72, 2994.0)	(74, 3562.0)	(76, 4121.0)	(78, 4626.0)	(80, 5596.0)	(82, 6142.0)	(84, 6953.0)	(86, 8240.0)	(88, 9670.0)	(90, 11113.0)	(92, 12465.0)	(94, 14223.0)	(96, 16375.0)	(98, 19002.0)	(100, 21995.0)	(102, 25052.0)	(104, 28558.0)	(106, 32502.0)	(108, 37845.0)	(110, 43848.0)	(112, 50187.0)	(114, 59813.0)	(116, 70742.0)	(118, 81562.0)	(120, 92020.0)	(122, 119467.0)	(124, 176090.0)	(126, 410459.0)	(128, 202636.0)	(130, 280056.0)	(132, 158291.0)	(134, 172782.0)	(136, 124511031.0)
