## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy//results/alignment/547.sorted.bam --OUTPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/markdup/547.markdup.bam --METRICS_FILE /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/metrics/547_duplicate_metrics.txt --TMP_DIR /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/tmp/547 --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 9 --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 03 18:56:19 GMT-03:00 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	765639	83337002	3564142	77487479	441482	1774198	0	0.023829	1929359413

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	80071021	80071021
2.0	1.957725	1314712	1314712
3.0	2.874963	120572	120572
4.0	3.753426	32869	32869
5.0	4.594751	12420	12420
6.0	5.40051	5398	5398
7.0	6.172206	2633	2633
8.0	6.911279	1317	1317
9.0	7.619108	763	763
10.0	8.297013	452	452
11.0	8.946261	224	224
12.0	9.568062	146	146
13.0	10.163576	90	90
14.0	10.733915	54	54
15.0	11.280144	31	31
16.0	11.803281	28	28
17.0	12.304303	17	17
18.0	12.784144	14	14
19.0	13.2437	11	11
20.0	13.683828	10	10
21.0	14.105351	6	6
22.0	14.509053	8	8
23.0	14.895689	3	3
24.0	15.265981	0	0
25.0	15.620618	0	0
26.0	15.960264	1	1
27.0	16.285551	1	1
28.0	16.597086	1	1
29.0	16.895452	1	1
30.0	17.181204	0	0
31.0	17.454877	0	0
32.0	17.71698	0	0
33.0	17.968002	0	0
34.0	18.208413	0	0
35.0	18.43866	0	0
36.0	18.659174	0	0
37.0	18.870366	1	1
38.0	19.07263	0	0
39.0	19.266343	0	0
40.0	19.451867	0	0
41.0	19.629548	0	0
42.0	19.799718	0	0
43.0	19.962694	0	0
44.0	20.11878	0	0
45.0	20.268267	0	0
46.0	20.411435	0	0
47.0	20.548551	0	0
48.0	20.67987	0	0
49.0	20.805638	0	0
50.0	20.926089	0	0
51.0	21.041448	0	0
52.0	21.15193	0	0
53.0	21.257742	0	0
54.0	21.35908	0	0
55.0	21.456135	0	0
56.0	21.549086	0	0
57.0	21.638108	0	0
58.0	21.723367	0	0
59.0	21.805021	0	0
60.0	21.883224	0	0
61.0	21.95812	0	0
62.0	22.029851	0	0
63.0	22.098549	0	0
64.0	22.164342	0	0
65.0	22.227355	0	0
66.0	22.287703	0	0
67.0	22.345501	0	0
68.0	22.400855	0	0
69.0	22.453869	0	0
70.0	22.504641	0	0
71.0	22.553268	0	0
72.0	22.599838	0	0
73.0	22.64444	0	0
74.0	22.687157	0	0
75.0	22.728067	0	0
76.0	22.767249	0	0
77.0	22.804773	0	0
78.0	22.840712	0	0
79.0	22.875131	0	0
80.0	22.908095	0	0
81.0	22.939666	0	0
82.0	22.969902	0	0
83.0	22.998859	0	0
84.0	23.026593	0	0
85.0	23.053154	0	0
86.0	23.078592	0	0
87.0	23.102955	0	0
88.0	23.126288	0	0
89.0	23.148635	0	0
90.0	23.170036	0	0
91.0	23.190533	0	0
92.0	23.210164	0	0
93.0	23.228965	0	0
94.0	23.246971	0	0
95.0	23.264215	0	0
96.0	23.280731	0	0
97.0	23.296549	0	0
98.0	23.311698	0	0
99.0	23.326206	0	0
100.0	23.340101	0	0

