## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy//results/alignment/554.sorted.bam --OUTPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/markdup/554.markdup.bam --METRICS_FILE /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/metrics/554_duplicate_metrics.txt --TMP_DIR /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/tmp/554 --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 9 --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jan 29 00:56:38 GMT-03:00 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	957243	100434885	4037898	119932089	508833	2412394	0	0.026427	2057082177

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	96088091	96088091
2.0	1.952349	1660470	1660470
3.0	2.859317	175416	175416
4.0	3.723067	53607	53607
5.0	4.545658	21842	21842
6.0	5.329052	10092	10092
7.0	6.075116	5177	5177
8.0	6.785629	2812	2812
9.0	7.462286	1697	1697
10.0	8.106699	1052	1052
11.0	8.720405	661	661
12.0	9.304867	443	443
13.0	9.861478	298	298
14.0	10.391567	226	226
15.0	10.896396	152	152
16.0	11.377169	105	105
17.0	11.835033	61	61
18.0	12.271079	75	75
19.0	12.686347	45	45
20.0	13.081827	42	42
21.0	13.458462	27	27
22.0	13.81715	14	14
23.0	14.158746	21	21
24.0	14.484064	13	13
25.0	14.793881	11	11
26.0	15.088934	5	5
27.0	15.369928	10	10
28.0	15.637532	3	3
29.0	15.892384	2	2
30.0	16.135093	6	6
31.0	16.366236	4	4
32.0	16.586365	1	1
33.0	16.796004	0	0
34.0	16.995654	1	1
35.0	17.18579	2	2
36.0	17.366866	0	0
37.0	17.539313	0	0
38.0	17.703544	2	2
39.0	17.859948	0	0
40.0	18.0089	0	0
41.0	18.150753	1	1
42.0	18.285848	1	1
43.0	18.414505	1	1
44.0	18.537031	1	1
45.0	18.653719	0	0
46.0	18.764846	0	0
47.0	18.870678	0	0
48.0	18.971467	1	1
49.0	19.067453	0	0
50.0	19.158866	0	0
51.0	19.245922	0	0
52.0	19.328831	0	0
53.0	19.407788	0	0
54.0	19.482983	0	0
55.0	19.554595	0	0
56.0	19.622795	0	0
57.0	19.687744	0	0
58.0	19.749599	0	0
59.0	19.808507	0	0
60.0	19.864607	0	0
61.0	19.918034	0	0
62.0	19.968915	0	0
63.0	20.017372	0	0
64.0	20.06352	0	0
65.0	20.107468	0	0
66.0	20.149323	0	0
67.0	20.189183	0	0
68.0	20.227143	0	0
69.0	20.263295	0	0
70.0	20.297724	0	0
71.0	20.330513	0	0
72.0	20.361739	0	0
73.0	20.391477	0	0
74.0	20.419798	0	0
75.0	20.44677	0	0
76.0	20.472456	0	0
77.0	20.496918	0	0
78.0	20.520215	0	0
79.0	20.542402	0	0
80.0	20.563531	0	0
81.0	20.583653	0	0
82.0	20.602817	0	0
83.0	20.621068	0	0
84.0	20.638448	0	0
85.0	20.655001	0	0
86.0	20.670765	0	0
87.0	20.685777	0	0
88.0	20.700075	0	0
89.0	20.713691	0	0
90.0	20.726658	0	0
91.0	20.739007	0	0
92.0	20.750768	0	0
93.0	20.761969	0	0
94.0	20.772635	0	0
95.0	20.782794	0	0
96.0	20.792468	0	0
97.0	20.801681	0	0
98.0	20.810456	0	0
99.0	20.818812	0	0
100.0	20.82677	0	0

