## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy//results/alignment/555.sorted.bam --OUTPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/markdup/555.markdup.bam --METRICS_FILE /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/metrics/555_duplicate_metrics.txt --TMP_DIR /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/tmp/555 --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 9 --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 28 20:02:13 GMT-03:00 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	347188	24124371	983179	162731982	119507	280155	0	0.013989	1030627317

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	23575146	23575146
2.0	1.976864	259988	259988
3.0	2.931128	7566	7566
4.0	3.863315	1166	1166
5.0	4.773935	255	255
6.0	5.663487	66	66
7.0	6.532458	21	21
8.0	7.381326	5	5
9.0	8.210554	2	2
10.0	9.020598	0	0
11.0	9.8119	1	1
12.0	10.584896	0	0
13.0	11.340008	0	0
14.0	12.077649	0	0
15.0	12.798225	0	0
16.0	13.50213	0	0
17.0	14.18975	0	0
18.0	14.861461	0	0
19.0	15.517632	0	0
20.0	16.158621	0	0
21.0	16.784782	0	0
22.0	17.396455	0	0
23.0	17.993977	0	0
24.0	18.577675	0	0
25.0	19.147869	0	0
26.0	19.704871	0	0
27.0	20.248986	0	0
28.0	20.780513	0	0
29.0	21.299742	0	0
30.0	21.806959	0	0
31.0	22.302442	0	0
32.0	22.78646	0	0
33.0	23.259281	0	0
34.0	23.721163	0	0
35.0	24.172359	0	0
36.0	24.613116	0	0
37.0	25.043676	0	0
38.0	25.464275	0	0
39.0	25.875143	0	0
40.0	26.276505	0	0
41.0	26.668581	0	0
42.0	27.051587	0	0
43.0	27.425731	0	0
44.0	27.791219	0	0
45.0	28.148252	0	0
46.0	28.497024	0	0
47.0	28.837728	0	0
48.0	29.170548	0	0
49.0	29.495669	0	0
50.0	29.813268	0	0
51.0	30.12352	0	0
52.0	30.426593	0	0
53.0	30.722654	0	0
54.0	31.011866	0	0
55.0	31.294387	0	0
56.0	31.570372	0	0
57.0	31.839971	0	0
58.0	32.103333	0	0
59.0	32.360602	0	0
60.0	32.611919	0	0
61.0	32.857422	0	0
62.0	33.097244	0	0
63.0	33.331519	0	0
64.0	33.560373	0	0
65.0	33.783932	0	0
66.0	34.00232	0	0
67.0	34.215655	0	0
68.0	34.424054	0	0
69.0	34.627631	0	0
70.0	34.826499	0	0
71.0	35.020766	0	0
72.0	35.210538	0	0
73.0	35.39592	0	0
74.0	35.577013	0	0
75.0	35.753917	0	0
76.0	35.926727	0	0
77.0	36.095539	0	0
78.0	36.260446	0	0
79.0	36.421538	0	0
80.0	36.578903	0	0
81.0	36.732626	0	0
82.0	36.882794	0	0
83.0	37.029487	0	0
84.0	37.172786	0	0
85.0	37.31277	0	0
86.0	37.449516	0	0
87.0	37.583098	0	0
88.0	37.713589	0	0
89.0	37.841061	0	0
90.0	37.965584	0	0
91.0	38.087226	0	0
92.0	38.206054	0	0
93.0	38.322133	0	0
94.0	38.435526	0	0
95.0	38.546296	0	0
96.0	38.654503	0	0
97.0	38.760206	0	0
98.0	38.863464	0	0
99.0	38.964334	0	0
100.0	39.062869	0	0

