## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy//results/alignment/564.sorted.bam --OUTPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/markdup/564.markdup.bam --METRICS_FILE /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/metrics/564_duplicate_metrics.txt --TMP_DIR /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/tmp/564 --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 9 --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jan 30 07:15:30 GMT-03:00 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	582203	16682808	626432	268851865	326097	182519	0	0.020359	756859303

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	16327714	16327714
2.0	1.978199	167880	167880
3.0	2.935072	3613	3613
4.0	3.871085	516	516
5.0	4.786691	141	141
6.0	5.682337	85	85
7.0	6.558456	59	59
8.0	7.415475	39	39
9.0	8.25381	26	26
10.0	9.073869	29	29
11.0	9.87605	24	24
12.0	10.660742	21	21
13.0	11.428327	24	24
14.0	12.179178	18	18
15.0	12.91366	15	15
16.0	13.632129	18	18
17.0	14.334935	15	15
18.0	15.022419	8	8
19.0	15.694915	7	7
20.0	16.352751	4	4
21.0	16.996244	5	5
22.0	17.625709	1	1
23.0	18.241451	1	1
24.0	18.843769	2	2
25.0	19.432956	3	3
26.0	20.009298	3	3
27.0	20.573076	1	1
28.0	21.124562	0	0
29.0	21.664026	0	0
30.0	22.191728	0	0
31.0	22.707926	0	0
32.0	23.212871	2	2
33.0	23.706807	0	0
34.0	24.189975	0	0
35.0	24.662609	0	0
36.0	25.12494	1	1
37.0	25.577191	0	0
38.0	26.019583	0	0
39.0	26.45233	0	0
40.0	26.875643	0	0
41.0	27.289727	0	0
42.0	27.694783	0	0
43.0	28.091009	0	0
44.0	28.478597	0	0
45.0	28.857736	0	0
46.0	29.228608	0	0
47.0	29.591395	0	0
48.0	29.946273	2	2
49.0	30.293415	0	0
50.0	30.632988	1	1
51.0	30.965158	0	0
52.0	31.290087	0	0
53.0	31.607932	1	1
54.0	31.918847	0	0
55.0	32.222984	0	0
56.0	32.520491	0	0
57.0	32.811512	0	0
58.0	33.096188	0	0
59.0	33.374658	0	0
60.0	33.647057	0	0
61.0	33.913518	0	0
62.0	34.174169	0	0
63.0	34.429138	0	0
64.0	34.678549	0	0
65.0	34.922522	0	0
66.0	35.161176	0	0
67.0	35.394627	0	0
68.0	35.622989	0	0
69.0	35.846372	0	0
70.0	36.064885	0	0
71.0	36.278635	0	0
72.0	36.487724	1	1
73.0	36.692255	0	0
74.0	36.892328	0	0
75.0	37.088038	0	0
76.0	37.279482	0	0
77.0	37.466752	0	0
78.0	37.649939	0	0
79.0	37.829133	2	2
80.0	38.00442	0	0
81.0	38.175886	0	0
82.0	38.343613	0	0
83.0	38.507684	0	0
84.0	38.668178	0	0
85.0	38.825173	0	0
86.0	38.978746	0	0
87.0	39.12897	0	0
88.0	39.275919	0	0
89.0	39.419665	0	0
90.0	39.560277	0	0
91.0	39.697823	0	0
92.0	39.832371	1	1
93.0	39.963986	1	1
94.0	40.092731	0	0
95.0	40.218669	0	0
96.0	40.341862	0	0
97.0	40.462369	1	1
98.0	40.580249	0	0
99.0	40.695559	0	0
100.0	40.808355	0	0
117.0	0	1	1
127.0	0	1	1
140.0	0	1	1
189.0	0	1	1

