FID,IID,PHE,NSEG,KB,KBAVG,CLASS,MAF_TAG,DATASET,FROH
0,547,-9,227,37534.4,165.35,short,maf005,d09,0.07412556581411944
0,548,-9,369,58693.8,159.062,short,maf005,d09,0.11591263307208224
0,549,-9,285,45729.9,160.456,short,maf005,d09,0.09031061405332443
0,550,-9,295,48344.6,163.88,short,maf005,d09,0.09547430701056307
0,551,-9,311,50951.9,163.833,short,maf005,d09,0.10062338592875955
0,552,-9,230,34905.5,151.763,short,maf005,d09,0.06893382970088095
0,554,-9,141,21646.4,153.52,short,maf005,d09,0.04274882901654895
0,555,-9,94,14561.6,154.911,short,maf005,d09,0.028757269042768277
0,556,-9,96,16257.1,169.345,short,maf005,d09,0.03210566136655231
0,559,-9,162,23792.1,146.865,short,maf005,d09,0.04698630787773645
0,560,-9,119,16978.5,142.676,short,maf005,d09,0.03353033268614996
0,561,-9,200,30025.5,150.128,short,maf005,d09,0.05929646341361107
0,562,-9,131,20930.6,159.775,short,maf005,d09,0.041335216969739984
0,547,-9,156,24807.2,159.02,short,maf010,d09,0.04899099855769704
0,548,-9,277,42469.3,153.319,short,maf010,d09,0.08387135247212112
0,549,-9,198,31358.3,158.375,short,maf010,d09,0.061928570337314616
0,550,-9,228,37143.6,162.91,short,maf010,d09,0.07335378656308152
0,551,-9,237,38269.2,161.473,short,maf010,d09,0.07557670039360426
0,552,-9,160,24568.8,153.555,short,maf010,d09,0.04852018951612221
0,554,-9,72,10082.2,140.031,short,maf010,d09,0.019911035733916487
0,555,-9,56,8198.83,146.408,short,maf010,d09,0.01619162455677397
0,556,-9,51,8583.1,168.296,short,maf010,d09,0.016950507905792247
0,559,-9,108,15854.5,146.801,short,maf010,d09,0.03131057864785255
0,560,-9,92,13797.2,149.969,short,maf010,d09,0.027247678307114772
0,561,-9,169,26557.3,157.144,short,maf010,d09,0.05244721879117061
0,562,-9,93,14640.1,157.421,short,maf010,d09,0.028912296348823745
0,547,-9,3,3018.6,1006.2,medium,maf005,d09,0.005961343007121493
0,548,-9,1,658.724,658.724,medium,maf005,d09,0.0013008943586507314
0,549,-9,3,2040.24,680.08,medium,maf005,d09,0.004029209056135147
0,550,-9,1,721.512,721.512,medium,maf005,d09,0.0014248925050534163
0,551,-9,3,3101.43,1033.81,medium,maf005,d09,0.006124921500886772
0,552,-9,1,580.643,580.643,medium,maf005,d09,0.0011466945231842723
0,554,-9,1,1326.39,1326.39,medium,maf005,d09,0.0026194480061008003
0,555,-9,1,1513.13,1513.13,medium,maf005,d09,0.00298823525620014
0,556,-9,1,792.72,792.72,medium,maf005,d09,0.0015655190580419233
0,559,-9,0,0,0,medium,maf005,d09,0
0,560,-9,0,0,0,medium,maf005,d09,0
0,561,-9,1,538.172,538.172,medium,maf005,d09,0.001062819813432912
0,562,-9,0,0,0,medium,maf005,d09,0
0,547,-9,1,803.923,803.923,medium,maf010,d09,0.0015876435282296865
0,548,-9,1,658.724,658.724,medium,maf010,d09,0.0013008943586507314
0,549,-9,2,1462.5,731.252,medium,maf010,d09,0.002888247580969715
0,550,-9,1,710.241,710.241,medium,maf010,d09,0.0014026337436960762
0,551,-9,2,1242.62,621.309,medium,maf010,d09,0.0024540131344031367
0,552,-9,1,580.193,580.193,medium,maf010,d09,0.001145805831620897
0,554,-9,0,0,0,medium,maf010,d09,0
0,555,-9,0,0,0,medium,maf010,d09,0
0,556,-9,0,0,0,medium,maf010,d09,0
0,559,-9,0,0,0,medium,maf010,d09,0
0,560,-9,0,0,0,medium,maf010,d09,0
0,561,-9,3,1832.02,610.674,medium,maf010,d09,0.0036180015954106926
0,562,-9,0,0,0,medium,maf010,d09,0
0,547,-9,0,0,0,long,maf005,d09,0
0,548,-9,0,0,0,long,maf005,d09,0
0,549,-9,0,0,0,long,maf005,d09,0
0,550,-9,0,0,0,long,maf005,d09,0
0,551,-9,0,0,0,long,maf005,d09,0
0,552,-9,0,0,0,long,maf005,d09,0
0,554,-9,0,0,0,long,maf005,d09,0
0,555,-9,0,0,0,long,maf005,d09,0
0,556,-9,0,0,0,long,maf005,d09,0
0,559,-9,0,0,0,long,maf005,d09,0
0,560,-9,0,0,0,long,maf005,d09,0
0,561,-9,0,0,0,long,maf005,d09,0
0,562,-9,0,0,0,long,maf005,d09,0
0,547,-9,0,0,0,long,maf010,d09,0
0,548,-9,0,0,0,long,maf010,d09,0
0,549,-9,0,0,0,long,maf010,d09,0
0,550,-9,0,0,0,long,maf010,d09,0
0,551,-9,0,0,0,long,maf010,d09,0
0,552,-9,0,0,0,long,maf010,d09,0
0,554,-9,0,0,0,long,maf010,d09,0
0,555,-9,0,0,0,long,maf010,d09,0
0,556,-9,0,0,0,long,maf010,d09,0
0,559,-9,0,0,0,long,maf010,d09,0
0,560,-9,0,0,0,long,maf010,d09,0
0,561,-9,0,0,0,long,maf010,d09,0
0,562,-9,0,0,0,long,maf010,d09,0
