IID,FROH_short,FROH_medium,FROH_long,NSEG_short,NSEG_medium,NSEG_long,KB_short,KB_medium,KB_long
551,0.10062338592875955,0.006124921500886772,0,311,3,0,50951.9,3101.43,0
547,0.07412556581411944,0.005961343007121493,0,227,3,0,37534.4,3018.6,0
549,0.09031061405332443,0.004029209056135147,0,285,3,0,45729.9,2040.24,0
555,0.028757269042768277,0.00298823525620014,0,94,1,0,14561.6,1513.13,0
554,0.04274882901654895,0.0026194480061008003,0,141,1,0,21646.4,1326.39,0
556,0.03210566136655231,0.0015655190580419233,0,96,1,0,16257.1,792.72,0
550,0.09547430701056307,0.0014248925050534163,0,295,1,0,48344.6,721.512,0
548,0.11591263307208224,0.0013008943586507314,0,369,1,0,58693.8,658.724,0
552,0.06893382970088095,0.0011466945231842723,0,230,1,0,34905.5,580.643,0
561,0.05929646341361107,0.001062819813432912,0,200,1,0,30025.5,538.172,0
559,0.04698630787773645,0,0,162,0,0,23792.1,0,0
560,0.03353033268614996,0,0,119,0,0,16978.5,0,0
562,0.041335216969739984,0,0,131,0,0,20930.6,0,0
