## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/dmpachon/jorge/TATIANA/snp_calling//results/alignment/548.sorted.bam --OUTPUT /home/dmpachon/jorge/TATIANA/snp_calling/results/markdup/548.markdup.bam --METRICS_FILE /home/dmpachon/jorge/TATIANA/snp_calling/results/metrics/548_duplicate_metrics.txt --TMP_DIR /home/dmpachon/jorge/TATIANA/snp_calling/tmp/548 --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 9 --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jan 18 09:56:46 GMT-03:00 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	1348691	70075808	3382260	52778727	517646	1326597	0	0.022409	1827399889

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	67640168	67640168
2.0	1.962379	979864	979864
3.0	2.888551	86050	86050
4.0	3.77988	24090	24090
5.0	4.637676	9316	9316
6.0	5.463201	4213	4213
7.0	6.257668	2200	2200
8.0	7.022246	1166	1166
9.0	7.75806	703	703
10.0	8.466191	445	445
11.0	9.147682	286	286
12.0	9.803534	189	189
13.0	10.434712	122	122
14.0	11.042144	90	90
15.0	11.626724	80	80
16.0	12.189311	42	42
17.0	12.730733	48	48
18.0	13.251786	24	24
19.0	13.753236	22	22
20.0	14.235821	22	22
21.0	14.700251	12	12
22.0	15.147208	10	10
23.0	15.57735	9	9
24.0	15.991309	5	5
25.0	16.389695	6	6
26.0	16.773093	6	6
27.0	17.142067	4	4
28.0	17.497159	3	3
29.0	17.838893	4	4
30.0	18.16777	3	3
31.0	18.484275	2	2
32.0	18.788872	1	1
33.0	19.082009	4	4
34.0	19.364119	0	0
35.0	19.635615	1	1
36.0	19.896897	0	0
37.0	20.148349	1	1
38.0	20.390342	0	0
39.0	20.62323	0	0
40.0	20.847357	0	0
41.0	21.063051	0	0
42.0	21.270631	0	0
43.0	21.470402	0	0
44.0	21.662657	0	0
45.0	21.847679	0	0
46.0	22.02574	0	0
47.0	22.197103	0	0
48.0	22.362018	0	0
49.0	22.520729	0	0
50.0	22.67347	0	0
51.0	22.820464	0	0
52.0	22.961927	0	0
53.0	23.098069	0	0
54.0	23.229089	0	0
55.0	23.35518	0	0
56.0	23.476527	0	0
57.0	23.593309	0	0
58.0	23.705697	0	0
59.0	23.813858	0	0
60.0	23.917949	0	0
61.0	24.018124	0	0
62.0	24.11453	0	0
63.0	24.207309	0	0
64.0	24.296598	0	0
65.0	24.382528	0	0
66.0	24.465225	0	0
67.0	24.54481	0	0
68.0	24.621402	0	0
69.0	24.695112	0	0
70.0	24.766049	0	0
71.0	24.834318	0	0
72.0	24.900018	0	0
73.0	24.963246	0	0
74.0	25.024095	0	0
75.0	25.082656	0	0
76.0	25.139013	0	0
77.0	25.19325	0	0
78.0	25.245446	0	0
79.0	25.295679	0	0
80.0	25.344022	0	0
81.0	25.390546	0	0
82.0	25.43532	0	0
83.0	25.47841	0	0
84.0	25.519878	0	0
85.0	25.559786	0	0
86.0	25.598193	0	0
87.0	25.635155	0	0
88.0	25.670727	0	0
89.0	25.70496	0	0
90.0	25.737905	0	0
91.0	25.769611	0	0
92.0	25.800124	0	0
93.0	25.829489	0	0
94.0	25.857749	0	0
95.0	25.884946	0	0
96.0	25.91112	0	0
97.0	25.93631	0	0
98.0	25.960551	0	0
99.0	25.983881	0	0
100.0	26.006333	0	0

