## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/dmpachon/jorge/TATIANA/snp_calling//results/alignment/552.sorted.bam --OUTPUT /home/dmpachon/jorge/TATIANA/snp_calling/results/markdup/552.markdup.bam --METRICS_FILE /home/dmpachon/jorge/TATIANA/snp_calling/results/metrics/552_duplicate_metrics.txt --TMP_DIR /home/dmpachon/jorge/TATIANA/snp_calling/tmp/552 --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 9 --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jan 16 21:52:33 GMT-03:00 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	490741	97071837	3650698	58810377	296695	3428298	0	0.036752	1341737159

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	91092138	91092138
2.0	1.930207	2120988	2120988
3.0	2.795493	250775	250775
4.0	3.600388	85414	85414
5.0	4.349107	39492	39492
6.0	5.04557	20592	20592
7.0	5.693426	11713	11713
8.0	6.296066	6973	6973
9.0	6.856646	4573	4573
10.0	7.378102	2975	2975
11.0	7.863164	2077	2077
12.0	8.314372	1442	1442
13.0	8.734089	1026	1026
14.0	9.124513	768	768
15.0	9.487688	574	574
16.0	9.825516	429	429
17.0	10.139766	317	317
18.0	10.432084	246	246
19.0	10.704	191	191
20.0	10.956938	162	162
21.0	11.192223	127	127
22.0	11.411087	87	87
23.0	11.614676	61	61
24.0	11.804056	64	64
25.0	11.980218	64	64
26.0	12.144086	38	38
27.0	12.296516	31	31
28.0	12.438308	30	30
29.0	12.570205	28	28
30.0	12.692895	31	31
31.0	12.807023	16	16
32.0	12.913186	17	17
33.0	13.011939	9	9
34.0	13.1038	9	9
35.0	13.189249	13	13
36.0	13.268735	7	7
37.0	13.342674	9	9
38.0	13.411452	4	4
39.0	13.475429	9	9
40.0	13.534942	1	1
41.0	13.590301	1	1
42.0	13.641796	2	2
43.0	13.689698	4	4
44.0	13.734256	3	3
45.0	13.775704	1	1
46.0	13.81426	2	2
47.0	13.850125	0	0
48.0	13.883486	0	0
49.0	13.914519	1	1
50.0	13.943387	0	0
51.0	13.970239	1	1
52.0	13.995218	0	0
53.0	14.018453	1	1
54.0	14.040066	0	0
55.0	14.060171	0	0
56.0	14.078873	1	1
57.0	14.09627	0	0
58.0	14.112452	0	0
59.0	14.127505	1	1
60.0	14.141508	1	1
61.0	14.154533	0	0
62.0	14.166649	0	0
63.0	14.177919	0	0
64.0	14.188403	0	0
65.0	14.198155	0	0
66.0	14.207227	0	0
67.0	14.215665	0	0
68.0	14.223515	0	0
69.0	14.230817	0	0
70.0	14.237609	0	0
71.0	14.243927	0	0
72.0	14.249804	0	0
73.0	14.255271	0	0
74.0	14.260356	0	0
75.0	14.265086	0	0
76.0	14.269487	0	0
77.0	14.27358	0	0
78.0	14.277387	0	0
79.0	14.280929	0	0
80.0	14.284223	0	0
81.0	14.287288	0	0
82.0	14.290139	0	0
83.0	14.292791	0	0
84.0	14.295257	0	0
85.0	14.297552	0	0
86.0	14.299686	0	0
87.0	14.301672	0	0
88.0	14.303519	0	0
89.0	14.305237	0	0
90.0	14.306835	0	0
91.0	14.308321	0	0
92.0	14.309704	0	0
93.0	14.31099	0	0
94.0	14.312187	0	0
95.0	14.3133	0	0
96.0	14.314335	0	0
97.0	14.315298	0	0
98.0	14.316194	0	0
99.0	14.317027	0	0
100.0	14.317802	0	0

