## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/dmpachon/jorge/TATIANA/snp_calling//results/alignment/561.sorted.bam --OUTPUT /home/dmpachon/jorge/TATIANA/snp_calling/results/markdup/561.markdup.bam --METRICS_FILE /home/dmpachon/jorge/TATIANA/snp_calling/results/metrics/561_duplicate_metrics.txt --TMP_DIR /home/dmpachon/jorge/TATIANA/snp_calling/tmp/561 --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 9 --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Jan 17 18:37:38 GMT-03:00 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	487611	54694590	1844140	198546429	273547	1188467	0	0.024122	1240254986

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	52470594	52470594
2.0	1.956859	935909	935909
3.0	2.872437	69806	69806
4.0	3.748517	18017	18017
5.0	4.586801	6302	6302
6.0	5.388921	2765	2765
7.0	6.156436	1305	1305
8.0	6.89084	658	658
9.0	7.593561	313	313
10.0	8.265965	180	180
11.0	8.909361	96	96
12.0	9.525001	64	64
13.0	10.11408	46	46
14.0	10.677747	18	18
15.0	11.217096	14	14
16.0	11.733176	7	7
17.0	12.226993	4	4
18.0	12.699505	7	7
19.0	13.151633	2	2
20.0	13.584255	8	8
21.0	13.998214	1	1
22.0	14.394314	2	2
23.0	14.773325	2	2
24.0	15.135986	2	2
25.0	15.483001	0	0
26.0	15.815045	0	0
27.0	16.132765	0	0
28.0	16.436778	0	0
29.0	16.727675	1	1
30.0	17.006022	0	0
31.0	17.272362	0	0
32.0	17.527211	0	0
33.0	17.771065	0	0
34.0	18.0044	0	0
35.0	18.227668	0	0
36.0	18.441304	0	0
37.0	18.645723	0	0
38.0	18.841324	0	0
39.0	19.028486	0	0
40.0	19.207574	0	0
41.0	19.378936	0	0
42.0	19.542904	0	0
43.0	19.6998	0	0
44.0	19.849926	0	0
45.0	19.993576	0	0
46.0	20.131028	0	0
47.0	20.262551	0	0
48.0	20.3884	0	0
49.0	20.508819	0	0
50.0	20.624044	0	0
51.0	20.734297	0	0
52.0	20.839794	0	0
53.0	20.94074	0	0
54.0	21.03733	0	0
55.0	21.129754	0	0
56.0	21.218191	0	0
57.0	21.302812	0	0
58.0	21.383782	0	0
59.0	21.46126	0	0
60.0	21.535395	0	0
61.0	21.606331	0	0
62.0	21.674208	0	0
63.0	21.739156	0	0
64.0	21.801302	0	0
65.0	21.860767	0	0
66.0	21.917667	0	0
67.0	21.972112	0	0
68.0	22.024208	0	0
69.0	22.074056	0	0
70.0	22.121754	0	0
71.0	22.167395	0	0
72.0	22.211066	0	0
73.0	22.252853	0	0
74.0	22.292838	0	0
75.0	22.331098	0	0
76.0	22.367707	0	0
77.0	22.402736	0	0
78.0	22.436255	0	0
79.0	22.468327	0	0
80.0	22.499016	0	0
81.0	22.528381	0	0
82.0	22.556479	0	0
83.0	22.583365	0	0
84.0	22.609091	0	0
85.0	22.633707	0	0
86.0	22.657261	0	0
87.0	22.679799	0	0
88.0	22.701364	0	0
89.0	22.722	0	0
90.0	22.741745	0	0
91.0	22.760638	0	0
92.0	22.778716	0	0
93.0	22.796014	0	0
94.0	22.812566	0	0
95.0	22.828404	0	0
96.0	22.843559	0	0
97.0	22.858059	0	0
98.0	22.871935	0	0
99.0	22.885211	0	0
100.0	22.897915	0	0

