FID,IID,PHE,NSEG,KB,KBAVG,CLASS,MAF_TAG,DATASET,FROH
0,547,-9,227,37534.4,165.35,short,maf005,d09,0.07412556581411944
0,548,-9,369,58693.8,159.062,short,maf005,d09,0.11591263307208224
0,549,-9,285,45729.9,160.456,short,maf005,d09,0.09031061405332443
0,550,-9,295,48344.6,163.88,short,maf005,d09,0.09547430701056307
0,551,-9,311,50951.9,163.833,short,maf005,d09,0.10062338592875955
0,552,-9,230,34905.5,151.763,short,maf005,d09,0.06893382970088095
0,554,-9,141,21646.4,153.52,short,maf005,d09,0.04274882901654895
0,555,-9,94,14561.6,154.911,short,maf005,d09,0.028757269042768277
0,556,-9,96,16257.1,169.345,short,maf005,d09,0.03210566136655231
0,559,-9,162,23792.1,146.865,short,maf005,d09,0.04698630787773645
0,560,-9,119,16978.5,142.676,short,maf005,d09,0.03353033268614996
0,561,-9,200,30025.5,150.128,short,maf005,d09,0.05929646341361107
0,562,-9,131,20930.6,159.775,short,maf005,d09,0.041335216969739984
0,547,-9,3,3018.6,1006.2,medium,maf005,d09,0.005961343007121493
0,548,-9,1,658.724,658.724,medium,maf005,d09,0.0013008943586507314
0,549,-9,3,2040.24,680.08,medium,maf005,d09,0.004029209056135147
0,550,-9,1,721.512,721.512,medium,maf005,d09,0.0014248925050534163
0,551,-9,3,3101.43,1033.81,medium,maf005,d09,0.006124921500886772
0,552,-9,1,580.643,580.643,medium,maf005,d09,0.0011466945231842723
0,554,-9,1,1326.39,1326.39,medium,maf005,d09,0.0026194480061008003
0,555,-9,1,1513.13,1513.13,medium,maf005,d09,0.00298823525620014
0,556,-9,1,792.72,792.72,medium,maf005,d09,0.0015655190580419233
0,559,-9,0,0,0,medium,maf005,d09,0
0,560,-9,0,0,0,medium,maf005,d09,0
0,561,-9,1,538.172,538.172,medium,maf005,d09,0.001062819813432912
0,562,-9,0,0,0,medium,maf005,d09,0
0,547,-9,0,0,0,long,maf005,d09,0
0,548,-9,0,0,0,long,maf005,d09,0
0,549,-9,0,0,0,long,maf005,d09,0
0,550,-9,0,0,0,long,maf005,d09,0
0,551,-9,0,0,0,long,maf005,d09,0
0,552,-9,0,0,0,long,maf005,d09,0
0,554,-9,0,0,0,long,maf005,d09,0
0,555,-9,0,0,0,long,maf005,d09,0
0,556,-9,0,0,0,long,maf005,d09,0
0,559,-9,0,0,0,long,maf005,d09,0
0,560,-9,0,0,0,long,maf005,d09,0
0,561,-9,0,0,0,long,maf005,d09,0
0,562,-9,0,0,0,long,maf005,d09,0
0,547,-9,144,20659.1,143.466,short,maf005,d20,0.040799039726503554
0,548,-9,198,32241.5,162.836,short,maf005,d20,0.0636727756456992
0,550,-9,173,25542.4,147.644,short,maf005,d20,0.05044292308523819
0,551,-9,166,24921.1,150.127,short,maf005,d20,0.04921593626673803
0,552,-9,133,18528.4,139.311,short,maf005,d20,0.03659118391742856
0,554,-9,73,12134.4,166.224,short,maf005,d20,0.02396386423693601
0,556,-9,62,9194.96,148.306,short,maf005,d20,0.018158851950162935
0,559,-9,94,13428.2,142.853,short,maf005,d20,0.02651895122514703
0,561,-9,68,8896.55,130.832,short,maf005,d20,0.017569530951436662
0,547,-9,0,0,0,medium,maf005,d20,0
0,548,-9,2,1559.24,779.619,medium,maf005,d20,0.0030792965183939957
0,550,-9,1,532.238,532.238,medium,maf005,d20,0.001051100934017203
0,551,-9,1,532.381,532.381,medium,maf005,d20,0.0010513833404473421
0,552,-9,0,0,0,medium,maf005,d20,0
0,554,-9,0,0,0,medium,maf005,d20,0
0,556,-9,0,0,0,medium,maf005,d20,0
0,559,-9,0,0,0,medium,maf005,d20,0
0,561,-9,0,0,0,medium,maf005,d20,0
0,547,-9,0,0,0,long,maf005,d20,0
0,548,-9,0,0,0,long,maf005,d20,0
0,550,-9,0,0,0,long,maf005,d20,0
0,551,-9,0,0,0,long,maf005,d20,0
0,552,-9,0,0,0,long,maf005,d20,0
0,554,-9,0,0,0,long,maf005,d20,0
0,556,-9,0,0,0,long,maf005,d20,0
0,559,-9,0,0,0,long,maf005,d20,0
0,561,-9,0,0,0,long,maf005,d20,0
