IID,CLASS,FROH_d09,FROH_d20,delta
547,short,0.07412556581411944,0.040799039726503554,-0.03332652608761589
548,short,0.11591263307208224,0.0636727756456992,-0.05223985742638304
550,short,0.09547430701056307,0.05044292308523819,-0.04503138392532488
551,short,0.10062338592875955,0.04921593626673803,-0.05140744966202152
552,short,0.06893382970088095,0.03659118391742856,-0.03234264578345239
554,short,0.04274882901654895,0.02396386423693601,-0.01878496477961294
556,short,0.03210566136655231,0.018158851950162935,-0.013946809416389375
559,short,0.04698630787773645,0.02651895122514703,-0.020467356652589423
561,short,0.05929646341361107,0.017569530951436662,-0.041726932462174404
547,medium,0.005961343007121493,0,-0.005961343007121493
548,medium,0.0013008943586507314,0.0030792965183939957,0.0017784021597432643
550,medium,0.0014248925050534163,0.001051100934017203,-3.737915710362134e-4
551,medium,0.006124921500886772,0.0010513833404473421,-0.00507353816043943
552,medium,0.0011466945231842723,0,-0.0011466945231842723
554,medium,0.0026194480061008003,0,-0.0026194480061008003
556,medium,0.0015655190580419233,0,-0.0015655190580419233
559,medium,0,0,0
561,medium,0.001062819813432912,0,-0.001062819813432912
547,long,0,0,0
548,long,0,0,0
550,long,0,0,0
551,long,0,0,0
552,long,0,0,0
554,long,0,0,0
556,long,0,0,0
559,long,0,0,0
561,long,0,0,0
