## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy//results/alignment/558.sorted.bam --OUTPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/markdup/558.markdup.bam --METRICS_FILE /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/metrics/558_duplicate_metrics.txt --TMP_DIR /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/tmp/558 --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 9 --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 28 19:06:00 GMT-03:00 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	176827	8627174	250390	238618411	86263	87832	0	0.015026	420815352

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	8454327	8454327
2.0	1.979708	83747	83747
3.0	2.939535	963	963
4.0	3.879885	104	104
5.0	4.801152	59	59
6.0	5.703726	37	37
7.0	6.587984	22	22
8.0	7.454298	15	15
9.0	8.303032	6	6
10.0	9.134544	13	13
11.0	9.949183	2	2
12.0	10.74729	4	4
13.0	11.529202	4	4
14.0	12.295247	2	2
15.0	13.045747	1	1
16.0	13.781018	4	4
17.0	14.501369	3	3
18.0	15.207102	1	1
19.0	15.898513	2	2
20.0	16.575895	1	1
21.0	17.239531	3	3
22.0	17.8897	2	2
23.0	18.526675	1	1
24.0	19.150725	1	1
25.0	19.762111	6	6
26.0	20.361091	2	2
27.0	20.947916	0	0
28.0	21.522833	0	0
29.0	22.086084	1	1
30.0	22.637905	0	0
31.0	23.178528	0	0
32.0	23.708181	2	2
33.0	24.227086	1	1
34.0	24.735461	2	2
35.0	25.233519	1	1
36.0	25.721471	0	0
37.0	26.199522	0	0
38.0	26.667871	0	0
39.0	27.126717	0	0
40.0	27.576251	1	1
41.0	28.016664	0	0
42.0	28.448139	0	0
43.0	28.870859	0	0
44.0	29.285001	0	0
45.0	29.690739	0	0
46.0	30.088243	2	2
47.0	30.477681	0	0
48.0	30.859217	0	0
49.0	31.23301	0	0
50.0	31.599218	0	0
51.0	31.957995	0	0
52.0	32.309491	0	0
53.0	32.653855	0	0
54.0	32.991231	0	0
55.0	33.321761	0	0
56.0	33.645583	0	0
57.0	33.962834	0	0
58.0	34.273648	0	0
59.0	34.578154	0	0
60.0	34.876481	0	0
61.0	35.168755	0	0
62.0	35.455097	0	0
63.0	35.735629	0	0
64.0	36.010469	0	0
65.0	36.279731	0	0
66.0	36.543529	0	0
67.0	36.801974	0	0
68.0	37.055175	0	0
69.0	37.303237	0	0
70.0	37.546266	0	0
71.0	37.784363	0	0
72.0	38.017629	0	0
73.0	38.246161	0	0
74.0	38.470056	0	0
75.0	38.689407	0	0
76.0	38.904307	0	0
77.0	39.114846	0	0
78.0	39.321113	0	0
79.0	39.523195	0	0
80.0	39.721175	0	0
81.0	39.915138	0	0
82.0	40.105165	0	0
83.0	40.291336	0	0
84.0	40.47373	0	0
85.0	40.652422	0	0
86.0	40.827488	0	0
87.0	40.999001	0	0
88.0	41.167034	0	0
89.0	41.331657	0	0
90.0	41.49294	0	0
91.0	41.65095	0	0
92.0	41.805753	0	0
93.0	41.957415	0	0
94.0	42.105999	0	0
95.0	42.251569	0	0
96.0	42.394184	0	0
97.0	42.533906	0	0
98.0	42.670792	0	0
99.0	42.8049	0	0
100.0	42.936287	0	0

