## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy//results/alignment/560.sorted.bam --OUTPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/markdup/560.markdup.bam --METRICS_FILE /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/metrics/560_duplicate_metrics.txt --TMP_DIR /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/tmp/560 --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 9 --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jan 29 21:59:31 GMT-03:00 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	476599	29681374	866562	291043713	265250	484367	0	0.020622	899496882

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	28731623	28731623
2.0	1.967541	449762	449762
3.0	2.903676	13352	13352
4.0	3.809425	1673	1673
5.0	4.685774	395	395
6.0	5.533677	119	119
7.0	6.354058	42	42
8.0	7.14781	14	14
9.0	7.915797	8	8
10.0	8.658856	3	3
11.0	9.377796	3	3
12.0	10.0734	1	1
13.0	10.746424	0	0
14.0	11.397603	2	2
15.0	12.027646	0	0
16.0	12.637237	2	2
17.0	13.227042	1	1
18.0	13.797702	2	2
19.0	14.349838	0	0
20.0	14.884053	1	1
21.0	15.400928	0	0
22.0	15.901025	1	1
23.0	16.384889	0	0
24.0	16.853048	0	0
25.0	17.30601	1	1
26.0	17.74427	1	1
27.0	18.168304	0	0
28.0	18.578574	0	0
29.0	18.975527	0	0
30.0	19.359596	0	0
31.0	19.731198	1	1
32.0	20.090737	0	0
33.0	20.438607	0	0
34.0	20.775185	0	0
35.0	21.100838	0	0
36.0	21.41592	0	0
37.0	21.720775	0	0
38.0	22.015734	0	0
39.0	22.30112	0	0
40.0	22.577242	0	0
41.0	22.844401	0	0
42.0	23.102889	0	0
43.0	23.352986	0	0
44.0	23.594965	0	0
45.0	23.82909	0	0
46.0	24.055615	0	0
47.0	24.274788	0	0
48.0	24.486846	0	0
49.0	24.692021	0	0
50.0	24.890536	0	0
51.0	25.082608	0	0
52.0	25.268445	0	0
53.0	25.44825	0	0
54.0	25.622218	0	0
55.0	25.79054	0	0
56.0	25.953398	0	0
57.0	26.11097	0	0
58.0	26.263427	0	0
59.0	26.410935	0	0
60.0	26.553656	0	0
61.0	26.691744	0	0
62.0	26.825349	0	0
63.0	26.954618	0	0
64.0	27.079691	0	0
65.0	27.200704	0	0
66.0	27.317789	0	0
67.0	27.431074	0	0
68.0	27.540682	0	0
69.0	27.646731	0	0
70.0	27.749339	0	0
71.0	27.848616	0	0
72.0	27.94467	0	0
73.0	28.037607	0	0
74.0	28.127527	0	0
75.0	28.214528	0	0
76.0	28.298705	0	0
77.0	28.38015	0	0
78.0	28.458951	0	0
79.0	28.535194	0	0
80.0	28.608963	0	0
81.0	28.680337	0	0
82.0	28.749394	0	0
83.0	28.81621	0	0
84.0	28.880857	0	0
85.0	28.943406	0	0
86.0	29.003924	0	0
87.0	29.062478	0	0
88.0	29.119132	0	0
89.0	29.173946	0	0
90.0	29.226981	0	0
91.0	29.278295	0	0
92.0	29.327943	0	0
93.0	29.375979	0	0
94.0	29.422457	0	0
95.0	29.467425	0	0
96.0	29.510935	0	0
97.0	29.553031	0	0
98.0	29.593762	0	0
99.0	29.63317	0	0
100.0	29.671299	0	0

