# This file was produced by bcftools stats (1.23+htslib-1.23) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/variants/filtered/cohort.snps.final.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/variants/filtered/cohort.snps.final.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	18
SN	0	number of records:	645789
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	645785
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	467407	178378	2.62	467407	178378	2.62
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	645785	467407	178378	0	0	0	0
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	645785	467407	178378	0	0	0	0
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30.0	105	64	41	0
QUAL	0	30.1	149	92	57	0
QUAL	0	30.2	111	72	39	0
QUAL	0	30.3	83	41	42	0
QUAL	0	30.4	92	56	36	0
QUAL	0	30.5	68	38	30	0
QUAL	0	30.6	50	27	23	0
QUAL	0	30.7	27	15	12	0
QUAL	0	30.8	65	40	25	0
QUAL	0	30.9	42	24	18	0
QUAL	0	31.0	43	24	19	0
QUAL	0	31.1	16	9	7	0
QUAL	0	31.2	14	10	4	0
QUAL	0	31.3	25	18	7	0
QUAL	0	31.4	38	23	15	0
QUAL	0	31.5	203	137	66	0
QUAL	0	31.6	226	153	73	0
QUAL	0	31.7	180	122	58	0
QUAL	0	31.8	130	92	38	0
QUAL	0	31.9	156	102	54	0
QUAL	0	32.0	156	115	41	0
QUAL	0	32.1	133	86	47	0
QUAL	0	32.2	99	75	24	0
QUAL	0	32.3	86	53	33	0
QUAL	0	32.4	113	74	39	0
QUAL	0	32.5	85	42	43	0
QUAL	0	32.6	69	48	21	0
QUAL	0	32.7	36	24	12	0
QUAL	0	32.8	52	30	22	0
QUAL	0	32.9	49	34	15	0
QUAL	0	33.0	32	23	9	0
QUAL	0	33.1	27	19	8	0
QUAL	0	33.2	23	10	13	0
QUAL	0	33.3	18	13	5	0
QUAL	0	33.4	22	12	10	0
QUAL	0	33.5	24	19	5	0
QUAL	0	33.6	22	14	8	0
QUAL	0	33.7	16	9	7	0
QUAL	0	33.8	9	4	5	0
QUAL	0	33.9	11	8	3	0
QUAL	0	34.0	16	7	9	0
QUAL	0	34.1	12	7	5	0
QUAL	0	34.2	18	12	6	0
QUAL	0	34.3	15	14	1	0
QUAL	0	34.4	13	11	2	0
QUAL	0	34.5	181	119	62	0
QUAL	0	34.6	194	133	61	0
QUAL	0	34.7	170	113	57	0
QUAL	0	34.8	119	79	40	0
QUAL	0	34.9	159	102	57	0
QUAL	0	35.0	173	121	52	0
QUAL	0	35.1	163	118	45	0
QUAL	0	35.2	90	58	32	0
QUAL	0	35.3	74	50	24	0
QUAL	0	35.4	103	67	36	0
QUAL	0	35.5	77	43	34	0
QUAL	0	35.6	69	40	29	0
QUAL	0	35.7	38	23	15	0
QUAL	0	35.8	58	42	16	0
QUAL	0	35.9	45	32	13	0
QUAL	0	36.0	40	29	11	0
QUAL	0	36.1	26	18	8	0
QUAL	0	36.2	27	20	7	0
QUAL	0	36.3	26	16	10	0
QUAL	0	36.4	26	22	4	0
QUAL	0	36.5	26	17	9	0
QUAL	0	36.6	17	14	3	0
