FID,IID,PHE,NSEG,KB,KBAVG,CLASS,MAF_TAG,FROH
0,547,-9,65,9902.03,152.339,short,maf005,0.019555223380642427
0,548,-9,90,14509.7,161.219,short,maf005,0.02865477328245899
0,549,-9,102,16233.6,159.153,short,maf005,0.032059251918242715
0,550,-9,98,13953.6,142.384,short,maf005,0.02755654799714121
0,551,-9,83,11759.5,141.68,short,maf005,0.023223485421137346
0,552,-9,66,9092.18,137.76,short,maf005,0.017955874797088017
0,553,-9,111,17004.3,153.191,short,maf005,0.03358128433578347
0,554,-9,51,6768.36,132.713,short,maf005,0.013366632066415167
0,555,-9,61,7975.99,130.754,short,maf005,0.015751544494590524
0,556,-9,45,6070.75,134.906,short,maf005,0.011988942907467964
0,557,-9,191,30002.2,157.079,short,maf005,0.05925044893932963
0,558,-9,177,26791.8,151.366,short,maf005,0.052910325839196186
0,559,-9,49,7175.08,146.43,short,maf005,0.01416985125009517
0,560,-9,70,10339.2,147.703,short,maf005,0.020418577360110823
0,561,-9,80,11184.6,139.807,short,maf005,0.022088132577171883
0,562,-9,53,7659.52,144.519,short,maf005,0.015126557341120788
0,563,-9,157,23576.8,150.171,short,maf005,0.046561118336414895
0,564,-9,107,16106.4,150.527,short,maf005,0.03180804843632863
0,547,-9,42,6162.98,146.738,short,maf010,0.012171085180557085
0,548,-9,56,8605.63,153.672,short,maf010,0.016995001730065237
0,549,-9,63,10080.5,160.008,short,maf010,0.01990767845467707
0,550,-9,65,9117.62,140.271,short,maf010,0.018006115493470833
0,551,-9,56,8261.65,147.53,short,maf010,0.01631568589902116
0,552,-9,40,5808.55,145.214,short,maf010,0.011471131956541291
0,553,-9,81,12121.1,149.644,short,maf010,0.023937598464062917
0,554,-9,32,4009.66,125.302,short,maf010,0.00791855780889643
0,555,-9,33,4330.65,131.232,short,maf010,0.008552471375402734
0,556,-9,25,3046.1,121.844,short,maf010,0.006015651935994427
0,557,-9,170,27171.5,159.833,short,maf010,0.05366018403167085
0,558,-9,147,22937,156.034,short,maf010,0.045297596420309304
0,559,-9,31,4847.64,156.376,short,maf010,0.0095734594895125
0,560,-9,39,5972.36,153.137,short,maf010,0.011794635434311309
0,561,-9,63,9186.87,145.823,short,maf010,0.018142875250723587
