IID,FROH_short,FROH_medium,FROH_long,NSEG_short,NSEG_medium,NSEG_long,KB_short,KB_medium,KB_long
557,0.05925044893932963,0.0019323116892990208,0,191,1,0,30002.2,978.45,0
558,0.052910325839196186,0.0013126803836512287,0,177,1,0,26791.8,664.692,0
547,0.019555223380642427,0,0,65,0,0,9902.03,0,0
548,0.02865477328245899,0,0,90,0,0,14509.7,0,0
549,0.032059251918242715,0,0,102,0,0,16233.6,0,0
550,0.02755654799714121,0,0,98,0,0,13953.6,0,0
551,0.023223485421137346,0,0,83,0,0,11759.5,0,0
552,0.017955874797088017,0,0,66,0,0,9092.18,0,0
553,0.03358128433578347,0,0,111,0,0,17004.3,0,0
554,0.013366632066415167,0,0,51,0,0,6768.36,0,0
555,0.015751544494590524,0,0,61,0,0,7975.99,0,0
556,0.011988942907467964,0,0,45,0,0,6070.75,0,0
559,0.01416985125009517,0,0,49,0,0,7175.08,0,0
560,0.020418577360110823,0,0,70,0,0,10339.2,0,0
561,0.022088132577171883,0,0,80,0,0,11184.6,0,0
562,0.015126557341120788,0,0,53,0,0,7659.52,0,0
563,0.046561118336414895,0,0,157,0,0,23576.8,0,0
564,0.03180804843632863,0,0,107,0,0,16106.4,0,0
